"","PID","index","time_elapsed","block","reward_type","stimulus_left","stimulus_right","rating_left","rating_right","painting_left","painting_right","left_chosen","chosen_obj","unchosen_obj","explain_trial","explain_response","explain_rt"
"1","0TZUd",11,269021,1,1,40,61,36,56,"Vinc1n.jpg","Grigb1.jpg",0,61,40,1,"It is more detailed",7.625
"2","0TZUd",12,284045,2,1,60,31,43,39,"Kupc1n.jpg","Picac1.jpg",0,31,60,1,"It is prettier",5.221
"3","0TZUd",14,294767,2,-1,46,10,54,39,"Lewb1n.jpg","Vinb1n.jpg",1,46,10,1,"It has more of a story",7.489
"4","0TZUd",15,305203,2,1,51,53,38,37,"Lewic1.jpg","Macc1n.jpg",0,53,51,1,"more details",4.633
"5","0TZUd",21,325444,2,1,59,58,42,40,"Macka1.jpg","Klinc1.jpg",1,59,58,1,"it looks more professionaln",9.206
"6","0TZUd",22,337114,2,1,67,3,37,56,"Picab1.jpg","Klib1n.jpg",0,3,67,1,"I prefer still lifes",7.894
"7","0TZUd",23,348032,2,1,44,56,35,54,"Mackb1.jpg","Clib1n.jpg",0,56,44,1,"details",4.697
"8","0TZUd",3,192437,1,-1,57,25,36,40,"Lassa1.jpg","Dekob1.jpg",1,57,25,1,"It looks like it took more skill to paint ",17.914
"9","0TZUd",4,213766,1,-1,30,39,37,35,"Kraa1n.jpg","Kupb1n.jpg",0,39,30,1,"I like the details more",8.923
"10","0TZUd",5,227451,1,-1,38,35,34,35,"Krasa1.jpg","Gusa1n.jpg",0,35,38,1,"historical value",7.102
"11","0TZUd",8,245775,1,-1,21,22,58,38,"Kupkc1.jpg","Klina1.jpg",1,21,22,1,"it is prettier",6.201
"12","0TZUd",9,255528,1,-1,36,52,34,38,"Gustb1.jpg","Dekoa1.jpg",1,36,52,1,"there is more going on ",7.467
"13","1mICX",1,501319,1,1,34,3,39,18,"Lasb1n.jpg","Klib1n.jpg",1,34,3,1,"I think it looks more realistic",12.109
"14","1mICX",10,605605,1,1,15,42,23,30,"Lassc1.jpg","Mackc1.jpg",0,42,15,1,"The one on the left is disturbing",12.588
"15","1mICX",12,629060,2,1,11,61,35,8,"Clifa1.jpg","Grigb1.jpg",1,11,61,1,"I think this painting looks more attractive",11.597
"16","1mICX",16,652124,2,-1,29,13,23,33,"Klinb1.jpg","Kupka1.jpg",0,13,29,1,"I think the subject of the painting is more interesting",12.89
"17","1mICX",17,668099,2,-1,1,7,37,9,"Monda1.jpg","Macb1n.jpg",1,1,7,1,"I think the subject of the painting is more interesting",32.881
"18","1mICX",2,516782,1,-1,37,64,28,14,"Deka1n.jpg","Vincb1.jpg",1,37,64,1,"I think it looks more realistic",17.528
"19","1mICX",20,711186,2,-1,27,24,9,28,"Gustc1.jpg","Lewa1n.jpg",1,27,24,1,"I think this painting is more interesting and has action instead of a still moment",24.983
"20","1mICX",21,739618,2,-1,52,16,16,40,"Dekoa1.jpg","Vincc1.jpg",1,52,16,1,"This painting leaves a bigger impression on me than the boring trees",23.62
"21","1mICX",22,766257,2,1,4,62,25,34,"Krasb1.jpg","Mona1n.jpg",1,4,62,1,"The subject of this painting is more interesting",12.844
"22","1mICX",3,538558,1,1,18,44,22,12,"Krab1n.jpg","Mackb1.jpg",1,18,44,1,"It is a young woman instead of an old one",13.562
"23","1mICX",8,573988,1,1,31,51,18,39,"Picac1.jpg","Lewic1.jpg",1,31,51,1,"This painting looks more realistic than the other",14.862
"24","1mICX",9,592378,1,-1,41,66,29,9,"Picae1.jpg","Vinca1.jpg",1,41,66,1,"This painting is more colorful ",9.852
