"","PID","time_elapsed","index","block","rt","chosen_trial","gain_left","left_chosen","higher_outcome_chosen","chosen_obj","unchosen_obj","stimulus_left","stimulus_right","rating_left","rating_right","painting_left","painting_right","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind"
"411","1ae5n",981419,0,1,1.455,1,0,0,1,8,36,36,8,61,61,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",24,25
"414","1ae5n",984581,1,1,1.636,1,1,1,1,8,41,8,41,61,57,"bruce-dixon-3M9WJQVHzog-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",25,28
"417","1ae5n",986920,2,1,0.809,1,0,0,1,8,24,24,8,58,61,"joel-mott-LaK153ghdig-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",26,25
"420","1ae5n",990645,3,1,2.2,0,0,1,0,13,49,13,49,60,46,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",34,29
"423","1ae5n",993364,4,1,1.189,0,0,1,0,22,45,22,45,57,56,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",26,27
"426","1ae5n",996412,5,1,1.507,0,1,0,0,27,3,3,27,53,47,"art-hauntington-jzY0KRJopEI-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",25,28
"429","1ae5n",998972,6,1,1.028,1,1,1,1,37,46,37,46,60,55,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","stefan-stefancik-QXevDflbl8A-unsplash.jpg",35,33
"432","1ae5n",1002064,7,1,1.561,1,1,1,1,2,1,2,1,47,60,"arjunsyah-TBUA5KHJn6k-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",29,34
"435","1ae5n",1004981,8,1,1.385,0,0,0,1,26,27,27,26,47,59,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",28,35
"438","1ae5n",1007390,9,1,0.877,1,0,0,1,8,46,46,8,55,61,"stefan-stefancik-QXevDflbl8A-unsplash.jpg","bruce-dixon-3M9WJQVHzog-unsplash.jpg",33,25
"441","1ae5n",1009740,10,1,0.822,1,0,0,1,7,41,41,7,57,55,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","brooke-cagle-HRZUzoX1e6w-unsplash.jpg",28,31
"444","1ae5n",1012502,11,1,1.229,0,0,0,1,26,13,13,26,60,59,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",34,35
"447","1ae5n",1014986,12,1,0.957,0,1,0,0,13,3,3,13,53,60,"art-hauntington-jzY0KRJopEI-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",25,34
"450","1ae5n",1017398,13,1,0.883,1,1,1,1,39,24,39,24,44,58,"philip-martin-5aGUyCW_PJw-unsplash.jpg","joel-mott-LaK153ghdig-unsplash.jpg",27,26
"453","1ae5n",1019506,14,1,0.575,1,1,1,1,39,1,39,1,44,60,"philip-martin-5aGUyCW_PJw-unsplash.jpg","aiony-haust-jmATI5Q_YgY-unsplash.jpg",27,34
"456","1ae5n",1021908,15,1,0.87,1,1,1,1,37,41,37,41,60,57,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",35,28
"459","1ae5n",1024188,16,1,0.754,1,1,1,1,40,41,40,41,45,57,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","prince-akachi-i2hoD-C2RUA-unsplash.jpg",30,28
"462","1ae5n",1028235,17,1,NA,0,0,NA,NA,NA,NA,16,3,54,53,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","art-hauntington-jzY0KRJopEI-unsplash.jpg",24,25
"465","1ae5n",1031785,18,1,1.03,0,0,1,0,23,45,23,45,46,56,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",33,27
"468","1ae5n",1034684,19,1,1.37,0,0,1,0,23,48,23,48,46,57,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",33,31
"471","1ae5n",1037056,20,1,0.848,1,1,1,1,37,36,37,36,60,61,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","ospan-ali-mGdA2fzjWLo-unsplash.jpg",35,24
"474","1ae5n",1039322,21,1,0.726,1,0,0,1,2,36,36,2,61,47,"ospan-ali-mGdA2fzjWLo-unsplash.jpg","arjunsyah-TBUA5KHJn6k-unsplash.jpg",24,29
"477","1ae5n",1042292,22,1,1.438,0,0,0,1,45,16,16,45,54,56,"giano-currie-5-9YOsmf8IQ-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",24,27
