"","PID","index","time_elapsed","stimulus_left","stimulus_right","old_pair","old_response","rt_pairs","chosen_object","rt_object","object_choice_response","object_choice_acc"
"1","0TZUd",1,1341963,39,44,0,1,2.787,NA,1.874,39,NA
"2","0TZUd",12,1390366,52,3,0,1,1.777,NA,0.792,3,NA
"3","0TZUd",15,1401842,44,56,1,1,2.589,56,0.486,56,1
"4","0TZUd",18,1412300,60,31,1,1,1.568,31,0.65,31,1
"5","0TZUd",2,1349006,46,10,1,1,3.139,46,0.68,46,1
"6","0TZUd",21,1424150,57,25,1,1,2.585,57,0.553,57,1
"7","0TZUd",22,1429598,40,61,1,1,2.853,61,0.541,61,1
"8","0TZUd",23,1434084,51,53,1,1,1.889,53,0.54,53,1
"9","0TZUd",8,1373537,58,56,0,1,2.407,NA,1.836,56,NA
"10","1mICX",1,1857422,11,7,0,1,2.1,NA,2.205,11,NA
"11","1mICX",12,1896468,31,44,0,1,1.221,NA,1.403,31,NA
"12","1mICX",13,1901021,4,62,1,1,1.129,4,1.556,4,1
"13","1mICX",14,1906220,15,42,1,1,1.621,42,1.259,15,0
"14","1mICX",15,1911517,62,52,0,1,2.012,NA,1.764,52,NA
"15","1mICX",16,1916957,1,51,0,1,1.653,NA,1.477,51,NA
"16","1mICX",17,1922284,18,44,1,1,1.828,18,1.135,18,1
"17","1mICX",18,1926828,34,3,1,1,1.39,34,0.634,34,1
"18","1mICX",19,1931069,42,61,0,1,1.584,NA,0.466,42,NA
"19","1mICX",20,1935309,27,24,1,1,1.751,27,1.564,24,0
"20","1mICX",21,1940316,1,7,1,1,1.422,1,1.366,7,0
"21","1mICX",22,1945613,16,27,0,1,1.91,NA,1.565,16,NA
"22","1mICX",23,1950796,52,16,1,1,1.598,52,1.279,16,0
"23","1mICX",7,1880598,41,66,1,1,1.21,41,1.669,41,1
