"","PID","index","time_elapsed","stimulus_id","reward_type","chosen_obj","initial_rating","outcome_eval_response","outcome_eval_rt","outcome_eval_gain","outcome_eval_acc","outcome_eval_confidence","outcome_eval_confidence_rt"
"1","0TZUd",0,1641977,56,1,1,54,1,1.646,1,1,6,2.665
"2","0TZUd",1,1651003,60,1,0,43,-1,4.83,0,0,5,2.823
"3","0TZUd",10,1699701,67,1,0,37,-1,2.931,0,0,4,1.187
"4","0TZUd",11,1704399,10,-1,0,39,-1,1.981,0,1,3,1.543
"5","0TZUd",12,1709056,35,-1,1,35,-1,1.576,0,1,6,9.342
"6","0TZUd",13,1722103,21,-1,1,58,-1,2.168,0,1,6,1.622
"7","0TZUd",14,1726918,25,-1,0,40,-1,1.655,0,1,3,1.731
"8","0TZUd",15,1731097,58,1,0,40,-1,0.907,0,0,3,1.409
"9","0TZUd",16,1734707,59,1,1,42,1,0.681,1,1,6,1.522
"10","0TZUd",17,1739766,30,-1,0,37,1,2.002,1,0,4,1.271
"11","0TZUd",18,1743770,51,1,0,38,-1,1.206,0,0,2,1.24
"12","0TZUd",19,1747594,40,1,0,36,-1,1.047,0,0,2,1.468
"13","0TZUd",2,1657022,39,-1,1,35,-1,1.661,0,1,6,2.433
"14","0TZUd",20,1751385,53,1,1,37,1,0.798,1,1,6,1.355
"15","0TZUd",21,1754942,3,1,1,56,1,0.674,1,1,6,1.496
"16","0TZUd",22,1759890,22,-1,0,38,1,1.921,1,0,3,1.487
"17","0TZUd",23,1766308,52,-1,0,38,1,3.394,1,0,3,1.38
"18","0TZUd",3,1661830,61,1,1,56,1,0.836,1,1,6,1.495
"19","0TZUd",4,1666577,46,-1,1,54,-1,1.723,0,1,6,1.584
"20","0TZUd",5,1674089,57,-1,1,36,-1,4.392,0,1,6,2.602
"21","0TZUd",6,1678984,31,1,1,39,1,0.752,1,1,6,1.168
"22","0TZUd",7,1683058,36,-1,1,34,-1,1.37,0,1,6,1.412
"23","0TZUd",8,1687646,44,1,0,35,-1,1.645,0,0,4,2.496
"24","0TZUd",9,1693926,38,-1,0,34,1,2.254,1,0,4,1.316
"25","1mICX",0,2191352,11,1,1,35,1,1.763,1,1,6,2.602
"26","1mICX",1,2196184,1,-1,1,37,-1,0.707,0,1,6,1.922
"27","1mICX",10,2240277,7,-1,0,9,-1,0.887,0,1,1,1.729
"28","1mICX",11,2244911,24,-1,0,28,1,1.385,1,0,3,1.516
"29","1mICX",12,2248815,3,1,0,18,-1,0.867,0,0,1,1.684
"30","1mICX",13,2253326,37,-1,1,28,-1,1.309,0,1,6,1.662
"31","1mICX",14,2257694,41,-1,1,29,-1,1.189,0,1,5,1.715
"32","1mICX",15,2261974,13,-1,1,33,-1,1.048,0,1,6,1.71
"33","1mICX",16,2266263,15,1,0,23,1,1.056,1,1,2,1.763
"34","1mICX",17,2270607,34,1,1,39,1,1.061,1,1,6,1.48
"35","1mICX",18,2275038,62,1,0,34,-1,1.429,0,0,2,1.505
"36","1mICX",19,2279142,44,1,0,12,-1,1.076,0,0,2,1.587
"37","1mICX",2,2200703,52,-1,1,16,-1,1.08,0,1,6,1.578
"38","1mICX",20,2283348,4,1,1,25,1,1.101,1,1,6,1.866
"39","1mICX",21,2287749,42,1,1,30,1,1.013,1,1,6,1.665
"40","1mICX",22,2292765,31,1,1,18,1,1.831,1,1,3,1.709
"41","1mICX",23,2298630,61,1,0,8,1,2.634,1,1,2,1.607
"42","1mICX",3,2206069,16,-1,0,40,-1,2.266,0,1,2,2.229
"43","1mICX",4,2210957,27,-1,1,9,-1,1.144,0,1,6,1.853
"44","1mICX",5,2216573,51,1,0,39,1,2.241,1,1,2,2.078
"45","1mICX",6,2221365,18,1,1,22,1,1.194,1,1,6,2.582
"46","1mICX",7,2227037,66,-1,0,9,-1,1.573,0,1,2,1.761
"47","1mICX",8,2231534,64,-1,0,14,-1,1.219,0,1,2,1.651
"48","1mICX",9,2235669,29,-1,0,23,-1,0.968,0,1,1,2.207
