"","PID","time_elapsed","index","stimulus_id","painting","response","rt"
"5","0TZUd",12772,0,61,"Grigb1.jpg",56,2.544
"6","0TZUd",14728,1,57,"Lassa1.jpg",36,1.948
"7","0TZUd",16869,2,2,"Dekb1n.jpg",12,2.131
"8","0TZUd",18459,3,3,"Klib1n.jpg",56,1.583
"9","0TZUd",20949,4,20,"Picb1n.jpg",67,2.486
"10","0TZUd",22777,5,52,"Dekoa1.jpg",38,1.826
"11","0TZUd",24492,6,64,"Vincb1.jpg",61,1.711
"12","0TZUd",26375,7,24,"Lewa1n.jpg",28,1.877
"13","0TZUd",28221,8,42,"Mackc1.jpg",19,1.84
"14","0TZUd",30965,9,29,"Klinb1.jpg",86,2.738
"15","0TZUd",34559,10,45,"Lasc1n.jpg",0,3.589
"16","0TZUd",36274,11,49,"Lewc1n.jpg",21,1.712
"17","0TZUd",38466,12,15,"Lassc1.jpg",0,2.188
"18","0TZUd",40800,13,44,"Mackb1.jpg",35,2.33
"19","0TZUd",43439,14,56,"Clib1n.jpg",54,2.634
"20","0TZUd",45284,15,22,"Klina1.jpg",38,1.84
"21","0TZUd",47155,16,21,"Kupkc1.jpg",58,1.865
"22","0TZUd",50567,17,63,"Lewia1.jpg",18,3.406
"23","0TZUd",52640,18,18,"Krab1n.jpg",27,2.068
"24","0TZUd",54945,19,59,"Macka1.jpg",42,2.3
"25","0TZUd",56665,20,7,"Macb1n.jpg",23,1.714
"26","0TZUd",58786,21,43,"Clifb1.jpg",62,2.117
"27","0TZUd",60480,22,31,"Picac1.jpg",39,1.69
"28","0TZUd",62722,23,51,"Lewic1.jpg",38,2.237
"29","0TZUd",64512,24,37,"Deka1n.jpg",13,1.785
"30","0TZUd",66183,25,26,"Klid1n.jpg",59,1.666
"31","0TZUd",68037,26,40,"Vinc1n.jpg",36,1.85
"32","0TZUd",70189,27,55,"Clia1n.jpg",27,2.148
"33","0TZUd",71845,28,30,"Kraa1n.jpg",37,1.652
"34","0TZUd",75171,29,69,"Picad1.jpg",63,3.322
"35","0TZUd",77157,30,58,"Klinc1.jpg",40,1.982
"36","0TZUd",78662,31,67,"Picab1.jpg",37,1.501
"37","0TZUd",81236,32,47,"Vina1n.jpg",61,2.569
"38","0TZUd",82993,33,62,"Mona1n.jpg",76,1.752
"39","0TZUd",84435,34,25,"Dekob1.jpg",40,1.437
"40","0TZUd",85861,35,53,"Macc1n.jpg",37,1.422
"41","0TZUd",87026,36,60,"Kupc1n.jpg",43,1.161
"42","0TZUd",88437,37,50,"Klic1n.jpg",65,1.407
"43","0TZUd",90662,38,27,"Gustc1.jpg",22,2.221
"44","0TZUd",92181,39,28,"Pice1n.jpg",66,1.514
"45","0TZUd",93759,40,35,"Gusa1n.jpg",35,1.573
"46","0TZUd",95495,41,54,"Rohla1.jpg",61,1.732
"47","0TZUd",97494,42,9,"Klind1.jpg",86,1.946
"48","0TZUd",99250,43,39,"Kupb1n.jpg",35,1.753
"49","0TZUd",100810,44,23,"Rohlb1.jpg",68,1.555
"50","0TZUd",102299,45,33,"Kline1.jpg",62,1.485
"51","0TZUd",103861,46,16,"Vincc1.jpg",62,1.558
"52","0TZUd",105760,47,10,"Vinb1n.jpg",39,1.895
"53","0TZUd",107811,48,34,"Lasb1n.jpg",32,2.046
"54","0TZUd",110934,49,1,"Monda1.jpg",80,3.119
"55","0TZUd",114141,50,19,"Picc1n.jpg",18,3.203
"56","0TZUd",116273,51,32,"Kupkb1.jpg",23,2.127
"57","0TZUd",118427,52,36,"Gustb1.jpg",34,2.15
"58","0TZUd",121042,53,4,"Krasb1.jpg",18,2.61
"59","0TZUd",122899,54,41,"Picae1.jpg",62,1.852
"60","0TZUd",124660,55,14,"Grib1n.jpg",60,1.758
