"","PID","index","time_elapsed","block","stimulus_id","reward_type","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","register_reward_acc"
"1","1ae5n",0,668185,1,1,-1,0,1.351,NA,NA,NA
"2","1ae5n",1,673731,1,41,-1,0,1.005,-1,0.611,1
"3","1ae5n",10,706541,1,39,1,146,0.646,1,0.655,1
"4","1ae5n",11,709913,1,37,1,159,0.337,1,0.813,1
"5","1ae5n",12,713475,1,17,-1,0,0.53,-1,0.683,1
"6","1ae5n",13,716952,1,46,-1,0,0.446,-1,0.633,1
"7","1ae5n",14,720429,1,40,1,145,0.445,1,0.521,1
"8","1ae5n",15,723923,1,2,1,154,0.461,1,0.682,1
"9","1ae5n",16,727362,1,24,-1,0,0.395,-1,0.594,1
"10","1ae5n",17,730763,1,39,1,146,0.38,1,1.098,1
"11","1ae5n",18,734319,1,17,-1,0,0.517,-1,0.798,1
"12","1ae5n",19,737747,1,7,1,154,0.388,1,0.351,1
"13","1ae5n",2,677417,1,8,1,150,0.645,1,0.81,1
"14","1ae5n",20,741370,1,36,-1,0,0.591,-1,0.486,1
"15","1ae5n",21,744680,1,46,-1,0,0.268,-1,0.684,1
"16","1ae5n",22,748203,1,8,1,150,0.501,1,0.884,1
"17","1ae5n",23,751882,1,7,1,154,0.64,1,0.657,1
"18","1ae5n",24,757568,2,41,-1,0,0.409,-1,0.652,1
"19","1ae5n",25,760830,2,37,1,159,0.227,1,0.532,1
"20","1ae5n",26,764312,2,1,-1,0,0.445,-1,0.517,1
"21","1ae5n",27,767591,2,39,1,146,0.25,1,0.498,1
"22","1ae5n",28,770939,2,46,-1,0,0.32,-1,0.572,1
"23","1ae5n",29,774463,2,41,-1,0,0.495,-1,0.519,1
"24","1ae5n",3,680975,1,41,-1,0,0.527,-1,0.585,1
"25","1ae5n",30,778130,2,36,-1,0,0.633,-1,0.326,1
"26","1ae5n",31,781541,2,46,-1,0,0.376,-1,0.335,1
"27","1ae5n",32,784958,2,24,-1,0,0.384,-1,0.49,1
"28","1ae5n",33,788416,2,36,-1,0,0.417,-1,0.395,1
"29","1ae5n",34,791864,2,37,1,159,0.401,1,0.58,1
"30","1ae5n",35,795650,2,17,-1,0,0.761,-1,0.49,1
"31","1ae5n",36,799076,2,1,-1,0,0.388,-1,0.607,1
"32","1ae5n",37,802528,2,8,1,150,0.424,1,0.448,1
"33","1ae5n",38,806086,2,7,1,154,0.53,1,0.489,1
"34","1ae5n",39,809445,2,24,-1,0,0.319,-1,0.618,1
"35","1ae5n",4,684522,1,1,-1,0,0.513,-1,0.717,1
"36","1ae5n",40,812984,2,2,1,154,0.502,1,0.509,1
"37","1ae5n",41,816461,2,7,1,154,0.446,1,0.921,1
"38","1ae5n",42,819926,2,39,1,146,0.432,1,0.505,1
"39","1ae5n",43,823269,2,8,1,150,0.312,1,0.492,1
"40","1ae5n",44,826817,2,40,1,145,0.503,1,0.42,1
"41","1ae5n",45,830246,2,2,1,154,0.392,1,0.372,1
"42","1ae5n",46,833636,2,17,-1,0,0.353,-1,0.527,1
"43","1ae5n",47,837076,2,40,1,145,0.392,1,0.81,1
"44","1ae5n",48,856689,3,1,-1,0,1.117,-1,1.01,1
"45","1ae5n",49,860497,3,46,-1,0,0.768,-1,0.5,1
"46","1ae5n",5,688264,1,2,1,154,0.713,1,0.511,1
"47","1ae5n",50,863952,3,41,-1,0,0.42,-1,0.595,1
"48","1ae5n",51,867255,3,36,-1,0,0.278,-1,0.38,1
"49","1ae5n",52,870630,3,36,-1,0,0.343,-1,0.284,1
"50","1ae5n",53,875069,3,7,1,154,1.399,1,0.622,1
"51","1ae5n",54,878694,3,37,1,159,0.594,1,0.423,1
"52","1ae5n",55,882191,3,39,1,146,0.466,1,0.695,1
"53","1ae5n",56,886320,3,24,-1,0,1.102,-1,0.652,1
"54","1ae5n",57,890023,3,17,-1,0,0.671,-1,0.393,1
"55","1ae5n",58,893764,3,8,1,150,0.702,1,0.421,1
"56","1ae5n",59,897420,3,1,-1,0,0.611,-1,0.761,1
"57","1ae5n",6,691862,1,40,1,145,0.565,1,0.856,1
"58","1ae5n",60,900956,3,2,1,154,0.5,1,0.348,1
"59","1ae5n",61,904638,3,40,1,145,0.647,1,0.585,1
"60","1ae5n",62,908255,3,40,1,145,0.584,1,0.492,1
"61","1ae5n",63,911850,3,8,1,150,0.556,1,0.681,1
"62","1ae5n",64,915465,3,46,-1,0,0.584,-1,0.51,1
"63","1ae5n",65,918936,3,24,-1,0,0.436,-1,0.956,1
"64","1ae5n",66,922513,3,17,-1,0,0.534,-1,0.528,1
"65","1ae5n",67,926364,3,2,1,154,0.813,1,1.157,1
"66","1ae5n",68,930021,3,7,1,154,0.627,-1,0.777,0
"67","1ae5n",69,933499,3,41,-1,0,0.454,-1,0.671,1
"68","1ae5n",7,695841,1,36,-1,0,0.941,-1,0.573,1
"69","1ae5n",70,937180,3,37,1,159,0.642,1,0.513,1
"70","1ae5n",71,941019,3,39,1,146,0.815,1,0.823,1
"71","1ae5n",8,699411,1,24,-1,0,0.534,-1,0.71,1
"72","1ae5n",9,702859,1,37,1,159,0.412,1,0.801,1
"73","1K9vK",0,870330,1,36,1,149,0.749,1,1.054,1
"74","1K9vK",1,873968,1,42,-1,0,0.617,-1,0.885,1
"75","1K9vK",10,907722,1,26,1,156,0.622,1,0.663,1
"76","1K9vK",11,911395,1,24,-1,0,0.652,-1,0.792,1
"77","1K9vK",12,915251,1,26,1,156,0.826,1,0.548,1
"78","1K9vK",13,919143,1,36,1,149,0.854,1,0.622,1
"79","1K9vK",14,922970,1,25,-1,0,0.793,-1,0.588,1
"80","1K9vK",15,927380,1,11,1,144,1.373,1,0.562,1
"81","1K9vK",16,931295,1,2,-1,0,0.895,-1,0.694,1
"82","1K9vK",17,935218,1,14,1,150,0.889,1,0.617,1
"83","1K9vK",18,939065,1,14,1,150,0.815,1,0.543,1
"84","1K9vK",19,942748,1,24,-1,0,0.64,-1,0.522,1
"85","1K9vK",2,877577,1,25,-1,0,0.574,-1,0.824,1
"86","1K9vK",20,946498,1,8,1,154,0.724,1,0.571,1
"87","1K9vK",21,950145,1,11,1,144,0.617,1,0.597,1
"88","1K9vK",22,953767,1,2,-1,0,0.587,-1,0.429,1
"89","1K9vK",23,957605,1,40,1,149,0.798,1,0.486,1
"90","1K9vK",24,965314,2,36,1,149,2.021,1,0.691,1
"91","1K9vK",25,968908,2,40,1,149,0.56,1,1.248,1
"92","1K9vK",26,972320,2,25,-1,0,0.372,-1,0.516,1
"93","1K9vK",27,975784,2,2,-1,0,0.423,-1,0.472,1
"94","1K9vK",28,979147,2,26,1,156,0.323,1,0.434,1
"95","1K9vK",29,982819,2,25,-1,0,0.629,-1,0.451,1
"96","1K9vK",3,881143,1,40,1,149,0.529,1,0.82,1
"97","1K9vK",30,986253,2,16,-1,0,0.4,-1,0.665,1
"98","1K9vK",31,989856,2,42,-1,0,0.564,-1,0.589,1
"99","1K9vK",32,993457,2,11,1,144,0.554,1,0.54,1
"100","1K9vK",33,997572,2,40,1,149,1.08,1,0.61,1
"101","1K9vK",34,1001339,2,8,1,154,0.726,1,0.534,1
"102","1K9vK",35,1004756,2,36,1,149,0.388,1,0.553,1
"103","1K9vK",36,1008320,2,2,-1,0,0.535,-1,0.615,1
"104","1K9vK",37,1011874,2,24,-1,0,0.515,-1,0.621,1
"105","1K9vK",38,1015738,2,24,-1,0,0.827,-1,0.472,1
"106","1K9vK",39,1019319,2,39,-1,0,0.542,-1,0.495,1
"107","1K9vK",4,884858,1,8,1,154,0.692,1,0.668,1
"108","1K9vK",40,1022678,2,39,-1,0,0.329,-1,0.592,1
"109","1K9vK",41,1026016,2,8,1,154,0.314,1,0.417,1
"110","1K9vK",42,1029578,2,14,1,150,0.525,1,0.424,1
"111","1K9vK",43,1032938,2,16,-1,0,0.32,-1,0.607,1
"112","1K9vK",44,1036563,2,14,1,150,0.585,1,0.556,1
"113","1K9vK",45,1040092,2,26,1,156,0.5,1,0.391,1
"114","1K9vK",46,1043487,2,42,-1,0,0.35,-1,0.638,1
"115","1K9vK",47,1047161,2,11,1,144,0.649,1,0.632,1
"116","1K9vK",48,1052527,3,8,1,154,0.395,1,0.4,1
"117","1K9vK",49,1056242,3,42,-1,0,0.671,-1,0.413,1
"118","1K9vK",5,888549,1,39,-1,0,0.65,-1,1.304,1
"119","1K9vK",50,1059739,3,14,1,150,0.453,1,0.432,1
"120","1K9vK",51,1063140,3,25,-1,0,0.351,-1,0.677,1
"121","1K9vK",52,1066740,3,16,-1,0,0.564,-1,0.743,1
"122","1K9vK",53,1070770,3,40,1,149,0.995,1,0.703,1
"123","1K9vK",54,1074326,3,42,-1,0,0.525,-1,1.35,1
"124","1K9vK",55,1078322,3,24,-1,0,0.956,-1,1.031,1
"125","1K9vK",56,1081826,3,36,1,149,0.468,1,1.175,1
"126","1K9vK",57,1086448,3,16,-1,0,1.595,-1,0.831,1
"127","1K9vK",58,1090520,3,39,-1,0,1.026,-1,0.863,1
"128","1K9vK",59,1094288,3,26,1,156,0.735,1,0.927,1
"129","1K9vK",6,892482,1,42,-1,0,0.906,-1,0.753,1
"130","1K9vK",60,1098660,3,11,1,144,1.336,1,0.921,1
"131","1K9vK",61,1102448,3,26,1,156,0.763,1,0.835,1
"132","1K9vK",62,1106166,3,2,-1,0,0.681,-1,0.775,1
"133","1K9vK",63,1110502,3,8,1,154,1.296,1,1.037,1
"134","1K9vK",64,1114530,3,2,-1,0,1.004,-1,0.901,1
"135","1K9vK",65,1118075,3,39,-1,0,0.504,-1,0.909,1
"136","1K9vK",66,1122015,3,14,1,150,0.906,1,1.005,1
"137","1K9vK",67,1125699,3,40,1,149,0.656,1,0.933,1
"138","1K9vK",68,1130622,3,24,-1,0,1.886,-1,0.948,1
"139","1K9vK",69,1134493,3,11,1,144,0.839,1,0.839,1
"140","1K9vK",7,896207,1,39,-1,0,0.702,-1,0.629,1
"141","1K9vK",70,1138530,3,36,1,149,0.996,1,0.766,1
"142","1K9vK",71,1142552,3,25,-1,0,0.985,-1,0.861,1
"143","1K9vK",8,900076,1,16,-1,0,0.834,-1,0.718,1
"144","1K9vK",9,904070,1,16,-1,0,0.966,-1,0.588,1
"145","1pow4",0,521272,1,48,-1,0,0.714,-1,0.757,1
"146","1pow4",1,525119,1,36,1,144,0.817,1,0.559,1
"147","1pow4",10,557951,1,1,1,158,0.541,1,0.55,1
"148","1pow4",11,561431,1,13,1,153,0.447,1,0.494,1
"149","1pow4",12,565135,1,24,-1,0,0.67,-1,0.518,1
"150","1pow4",13,568759,1,26,1,150,0.6,1,0.318,1
"151","1pow4",14,572247,1,1,1,158,0.474,1,0.414,1
"152","1pow4",15,575751,1,40,1,157,0.473,1,0.478,1
"153","1pow4",16,579127,1,18,-1,0,0.349,-1,0.479,1
"154","1pow4",17,582607,1,40,1,157,0.46,1,0.334,1
"155","1pow4",18,586199,1,17,1,157,0.567,1,0.27,1
"156","1pow4",19,589624,1,41,-1,0,0.41,-1,0.671,1
"157","1pow4",2,528968,1,12,-1,0,0.82,-1,0.614,1
"158","1pow4",20,593136,1,21,-1,0,0.49,-1,0.534,1
"159","1pow4",21,596656,1,12,-1,0,0.495,-1,0.59,1
"160","1pow4",22,600159,1,41,-1,0,0.486,-1,0.455,1
"161","1pow4",23,603632,1,21,-1,0,0.454,-1,0.381,1
"162","1pow4",24,609608,2,18,-1,0,0.554,-1,0.415,1
"163","1pow4",25,613111,2,24,-1,0,0.478,-1,0.607,1
"164","1pow4",26,616151,2,36,1,144,0.021,1,1.069,1
"165","1pow4",27,619616,2,40,1,157,0.441,1,0.519,1
"166","1pow4",28,623176,2,12,-1,0,0.54,-1,0.303,1
"167","1pow4",29,626560,2,17,1,157,0.347,1,0.303,1
"168","1pow4",3,532472,1,36,1,144,0.462,1,0.758,1
"169","1pow4",30,630167,2,18,-1,0,0.59,-1,0.303,1
"170","1pow4",31,633777,2,26,1,150,0.582,1,0.293,1
"171","1pow4",32,637344,2,1,1,158,0.548,1,0.262,1
"172","1pow4",33,640904,2,13,1,153,0.536,1,0.295,1
"173","1pow4",34,644536,2,21,-1,0,0.604,-1,0.342,1
