"","event","trial","time","PID","ttype"
"1","focus",0,0,"0TZUd","full_screen"
"2","blur",0,0,"0TZUd","full_screen"
"3","focus",0,0,"0TZUd","full_screen"
"4","blur",0,0,"0TZUd","full_screen"
"5","focus",0,0,"0TZUd","full_screen"
"6","blur",0,0,"0TZUd","full_screen"
"7","focus",0,0,"0TZUd","full_screen"
"8","fullscreenenter",0,1166,"0TZUd","full_screen"
"9","fullscreenenter",0,12848,"1mICX","full_screen"
"10","fullscreenexit",1,14526,"1mICX","rating_instructions"
"11","blur",1,18358,"1mICX","rating_instructions"
"12","focus",1,20673,"1mICX","rating_instructions"
"13","blur",35,149052,"1mICX","rating"
"14","focus",35,156491,"1mICX","rating"
"15","blur",51,208888,"1mICX","rating"
"16","focus",51,217030,"1mICX","rating"
"17","blur",64,280168,"1mICX","deliberation_instructions"
"18","focus",64,299402,"1mICX","deliberation_instructions"
"19","blur",67,347794,"1mICX","deliberation_instructions"
"20","focus",67,351852,"1mICX","deliberation_instructions"
"21","blur",140,680824,"1mICX","explain_trial"
"22","focus",140,692732,"1mICX","explain_trial"
"23","blur",199,818659,"1mICX","reward_learning_instructions"
"24","focus",199,830671,"1mICX","reward_learning_instructions"
"25","blur",199,832475,"1mICX","reward_learning_instructions"
"26","focus",199,834347,"1mICX","reward_learning_instructions"
"27","blur",199,844658,"1mICX","reward_learning_instructions"
"28","focus",199,861022,"1mICX","reward_learning_instructions"
"29","blur",274,987141,"1mICX","block_over"
"30","focus",274,997654,"1mICX","block_over"
"31","blur",348,1092824,"1mICX","block_over"
"32","focus",348,1132733,"1mICX","block_over"
"33","blur",641,1434860,"1mICX","block_over"
"34","focus",641,1454789,"1mICX","block_over"
"35","blur",1075,1813418,"1mICX","memory_test_instructions"
"36","focus",1075,1817524,"1mICX","memory_test_instructions"
"37","blur",1241,2104518,"1mICX","outcome_evaluation_instructions"
"38","focus",1241,2161763,"1mICX","outcome_evaluation_instructions"
"39","blur",1241,2161765,"1mICX","outcome_evaluation_instructions"
"40","focus",1241,2166039,"1mICX","outcome_evaluation_instructions"
"41","blur",1357,2435610,"1mICX","final_reward_tally"
"42","focus",1357,2439325,"1mICX","final_reward_tally"
