"","X","PID","time_elapsed","index","stimulus_id","painting","response","rt"
"1",5,"1ae5n",30785,0,44,"rikonavt-HQjfrvdTfak-unsplash.jpg",74,4.991
"2",6,"1ae5n",33312,1,17,"gleb-lukomets-paBzWCPN23k-unsplash.jpg",56,2.525
"3",7,"1ae5n",35944,2,10,"charles-etoroma-95UF6LXe-Lo-unsplash.jpg",80,2.63
"4",8,"1ae5n",38805,3,22,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg",57,2.858
"5",9,"1ae5n",42166,4,4,"barna-bartis-2x3vfVxwR7o-unsplash.jpg",38,3.36
"6",10,"1ae5n",45106,5,30,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",26,2.938
"7",11,"1ae5n",48584,6,46,"stefan-stefancik-QXevDflbl8A-unsplash.jpg",55,3.476
"8",12,"1ae5n",52027,7,31,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg",62,3.441
"9",13,"1ae5n",54904,8,6,"ben-o-bro-C5XyLljkMrY-unsplash.jpg",82,2.875
"10",14,"1ae5n",59934,9,0,"abstral-official-cyOKLSgkgCE-unsplash.jpg",73,5.028
"11",15,"1ae5n",71905,10,14,"freddy-kearney-o-ioeoATbIM-unsplash.jpg",75,11.969
"12",16,"1ae5n",77505,11,19,"ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",62,5.597
"13",17,"1ae5n",80161,12,42,"prince-akachi-l3IHXOdMyHQ-unsplash.jpg",34,2.653
"14",18,"1ae5n",82411,13,35,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",43,2.248
"15",19,"1ae5n",84637,14,41,"prince-akachi-i2hoD-C2RUA-unsplash.jpg",57,2.224
"16",20,"1ae5n",86963,15,21,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg",62,2.324
"17",21,"1ae5n",93191,16,36,"ospan-ali-mGdA2fzjWLo-unsplash.jpg",61,6.226
"18",22,"1ae5n",96707,17,2,"arjunsyah-TBUA5KHJn6k-unsplash.jpg",47,3.514
"19",23,"1ae5n",99490,18,20,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg",35,2.781
"20",24,"1ae5n",102220,19,3,"art-hauntington-jzY0KRJopEI-unsplash.jpg",53,2.728
"21",25,"1ae5n",104339,20,9,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",31,2.117
"22",26,"1ae5n",106999,21,39,"philip-martin-5aGUyCW_PJw-unsplash.jpg",44,2.658
"23",27,"1ae5n",109394,22,8,"bruce-dixon-3M9WJQVHzog-unsplash.jpg",61,2.392
"24",28,"1ae5n",111935,23,45,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",56,2.54
"25",29,"1ae5n",114564,24,33,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg",56,2.627
"26",30,"1ae5n",117365,25,49,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",46,2.799
"27",31,"1ae5n",119775,26,1,"aiony-haust-jmATI5Q_YgY-unsplash.jpg",60,2.409
"28",32,"1ae5n",122489,27,48,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",57,2.712
"29",33,"1ae5n",125345,28,27,"jurica-koletic-7YVZYZeITc8-unsplash.jpg",47,2.854
"30",34,"1ae5n",127753,29,47,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg",39,2.406
"31",35,"1ae5n",136009,30,11,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg",37,8.254
"32",36,"1ae5n",139599,31,5,"batel-studio-ttSRjiYG_WM-unsplash.jpg",70,3.588
"33",37,"1ae5n",141663,32,7,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg",55,2.062
"34",38,"1ae5n",145375,33,43,"raamin-ka-0qJBEzudn5E-unsplash.jpg",18,3.71
"35",39,"1ae5n",148155,34,37,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg",60,2.778
"36",40,"1ae5n",150563,35,34,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg",39,2.406
"37",41,"1ae5n",153623,36,38,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg",66,3.058
"38",42,"1ae5n",155975,37,25,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",36,2.35
"39",43,"1ae5n",158713,38,15,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",56,2.736
"40",44,"1ae5n",161233,39,28,"justin-chen-J7Cf1Gch49E-unsplash.jpg",32,2.518
"41",45,"1ae5n",163313,40,40,"prince-akachi-4Yv84VgQkRM-unsplash.jpg",45,2.078
"42",46,"1ae5n",169317,41,26,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",59,6.002
"43",47,"1ae5n",171803,42,16,"giano-currie-5-9YOsmf8IQ-unsplash.jpg",54,2.484
"44",48,"1ae5n",174483,43,32,"nathan-dumlao-ger61_TX6oI-unsplash.jpg",81,2.678
"45",49,"1ae5n",177239,44,18,"good-faces-xmSWVeGEnJw-unsplash.jpg",66,2.754
"46",50,"1ae5n",180203,45,13,"erik-lucatero-d2MSDujJl2g-unsplash.jpg",60,2.962
"47",51,"1ae5n",183989,46,29,"leilani-angel-K84vnnzxmTQ-unsplash.jpg",63,3.784
"48",52,"1ae5n",189329,47,24,"joel-mott-LaK153ghdig-unsplash.jpg",58,5.338
"49",53,"1ae5n",196676,48,12,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",37,7.344
"50",54,"1ae5n",200426,49,23,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",46,3.748
"51",1338,"1K9vK",106360,0,40,"prince-akachi-4Yv84VgQkRM-unsplash.jpg",62,3.714
"52",1339,"1K9vK",108832,1,7,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg",85,2.469
"53",1340,"1K9vK",111295,2,30,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",32,2.461
"54",1341,"1K9vK",113808,3,4,"barna-bartis-2x3vfVxwR7o-unsplash.jpg",41,2.511
"55",1342,"1K9vK",116033,4,35,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",69,2.221
"56",1343,"1K9vK",118455,5,2,"arjunsyah-TBUA5KHJn6k-unsplash.jpg",77,2.419
"57",1344,"1K9vK",121039,6,28,"justin-chen-J7Cf1Gch49E-unsplash.jpg",89,2.582
"58",1345,"1K9vK",123175,7,41,"prince-akachi-i2hoD-C2RUA-unsplash.jpg",71,2.134
"59",1346,"1K9vK",126791,8,29,"leilani-angel-K84vnnzxmTQ-unsplash.jpg",28,3.614
"60",1347,"1K9vK",129383,9,42,"prince-akachi-l3IHXOdMyHQ-unsplash.jpg",38,2.589
"61",1348,"1K9vK",131992,10,25,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",72,2.606
"62",1349,"1K9vK",136479,11,3,"art-hauntington-jzY0KRJopEI-unsplash.jpg",36,4.485
"63",1350,"1K9vK",139591,12,1,"aiony-haust-jmATI5Q_YgY-unsplash.jpg",28,3.107
"64",1351,"1K9vK",141359,13,26,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",38,1.766
"65",1352,"1K9vK",143183,14,19,"ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",87,1.822
"66",1353,"1K9vK",145303,15,43,"raamin-ka-0qJBEzudn5E-unsplash.jpg",98,2.118
"67",1354,"1K9vK",147303,16,38,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg",80,1.998
"68",1355,"1K9vK",151496,17,21,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg",32,4.191
"69",1356,"1K9vK",154416,18,15,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",91,2.917
"70",1357,"1K9vK",157015,19,17,"gleb-lukomets-paBzWCPN23k-unsplash.jpg",25,2.597
"71",1358,"1K9vK",158911,20,49,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",64,1.894
"72",1359,"1K9vK",160911,21,34,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg",37,1.998
"73",1360,"1K9vK",164503,22,10,"charles-etoroma-95UF6LXe-Lo-unsplash.jpg",87,3.59
"74",1361,"1K9vK",166391,23,18,"good-faces-xmSWVeGEnJw-unsplash.jpg",17,1.886
"75",1362,"1K9vK",168655,24,6,"ben-o-bro-C5XyLljkMrY-unsplash.jpg",98,2.262
"76",1363,"1K9vK",172303,25,33,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg",9,3.646
"77",1364,"1K9vK",175126,26,20,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg",100,2.822
"78",1365,"1K9vK",177143,27,24,"joel-mott-LaK153ghdig-unsplash.jpg",79,2.014
"79",1366,"1K9vK",179175,28,47,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg",34,2.03
"80",1367,"1K9vK",182271,29,22,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg",23,3.094
"81",1368,"1K9vK",184407,30,36,"ospan-ali-mGdA2fzjWLo-unsplash.jpg",40,2.134
"82",1369,"1K9vK",185967,31,5,"batel-studio-ttSRjiYG_WM-unsplash.jpg",83,1.557
"83",1370,"1K9vK",188087,32,37,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg",21,2.118
"84",1371,"1K9vK",189822,33,39,"philip-martin-5aGUyCW_PJw-unsplash.jpg",36,1.733
"85",1372,"1K9vK",192062,34,16,"giano-currie-5-9YOsmf8IQ-unsplash.jpg",41,2.238
"86",1373,"1K9vK",193791,35,23,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",26,1.726
"87",1374,"1K9vK",195415,36,27,"jurica-koletic-7YVZYZeITc8-unsplash.jpg",74,1.621
"88",1375,"1K9vK",197270,37,14,"freddy-kearney-o-ioeoATbIM-unsplash.jpg",64,1.853
"89",1376,"1K9vK",199071,38,46,"stefan-stefancik-QXevDflbl8A-unsplash.jpg",83,1.799
"90",1377,"1K9vK",200846,39,11,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg",77,1.773
"91",1378,"1K9vK",202591,40,32,"nathan-dumlao-ger61_TX6oI-unsplash.jpg",27,1.742
"92",1379,"1K9vK",204247,41,8,"bruce-dixon-3M9WJQVHzog-unsplash.jpg",43,1.653
"93",1380,"1K9vK",207927,42,13,"erik-lucatero-d2MSDujJl2g-unsplash.jpg",67,3.677
"94",1381,"1K9vK",212966,43,0,"abstral-official-cyOKLSgkgCE-unsplash.jpg",86,5.037
"95",1382,"1K9vK",215182,44,44,"rikonavt-HQjfrvdTfak-unsplash.jpg",21,2.214
"96",1383,"1K9vK",217670,45,12,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",98,2.485
"97",1384,"1K9vK",219967,46,31,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg",11,2.295
"98",1385,"1K9vK",222094,47,48,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",28,2.125
"99",1386,"1K9vK",224094,48,45,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",67,1.998
"100",1387,"1K9vK",228014,49,9,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",22,3.918
"101",2673,"1pow4",27589,0,36,"ospan-ali-mGdA2fzjWLo-unsplash.jpg",61,3.827
"102",2674,"1pow4",30332,1,48,"velizar-ivanov-7ktP9yZA1g4-unsplash.jpg",77,2.741
"103",2675,"1pow4",33466,2,46,"stefan-stefancik-QXevDflbl8A-unsplash.jpg",56,3.134
"104",2676,"1pow4",35895,3,45,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",65,2.427
"105",2677,"1pow4",37965,4,11,"christian-ferrer-8vT-DgHZDG4-unsplash.jpg",82,2.068
"106",2678,"1pow4",40107,5,0,"abstral-official-cyOKLSgkgCE-unsplash.jpg",54,2.141
"107",2679,"1pow4",43744,6,30,"matheus-ferrero-pg_WCHWSdT8-unsplash.jpg",77,3.635
"108",2680,"1pow4",45884,7,2,"arjunsyah-TBUA5KHJn6k-unsplash.jpg",58,2.139
"109",2681,"1pow4",48253,8,23,"joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",76,2.367
"110",2682,"1pow4",50452,9,7,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg",90,2.198
"111",2683,"1pow4",52901,10,33,"olena-sergienko-0TSd6uCKTKc-unsplash.jpg",60,2.447
"112",2684,"1pow4",55156,11,29,"leilani-angel-K84vnnzxmTQ-unsplash.jpg",69,2.254
"113",2685,"1pow4",57797,12,24,"joel-mott-LaK153ghdig-unsplash.jpg",73,2.638
"114",2686,"1pow4",61471,13,26,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg",74,3.673
"115",2687,"1pow4",63627,14,6,"ben-o-bro-C5XyLljkMrY-unsplash.jpg",87,2.154
"116",2688,"1pow4",66033,15,43,"raamin-ka-0qJBEzudn5E-unsplash.jpg",80,2.405
"117",2689,"1pow4",68385,16,5,"batel-studio-ttSRjiYG_WM-unsplash.jpg",62,2.35
"118",2690,"1pow4",71527,17,18,"good-faces-xmSWVeGEnJw-unsplash.jpg",72,3.141
"119",2691,"1pow4",74213,18,14,"freddy-kearney-o-ioeoATbIM-unsplash.jpg",78,2.684
"120",2692,"1pow4",76194,19,27,"jurica-koletic-7YVZYZeITc8-unsplash.jpg",37,1.979
"121",2693,"1pow4",78467,20,3,"art-hauntington-jzY0KRJopEI-unsplash.jpg",56,2.271
"122",2694,"1pow4",81071,21,40,"prince-akachi-4Yv84VgQkRM-unsplash.jpg",65,2.602
"123",2695,"1pow4",83070,22,35,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",46,1.997
"124",2696,"1pow4",85059,23,28,"justin-chen-J7Cf1Gch49E-unsplash.jpg",66,1.988
"125",2697,"1pow4",87709,24,8,"bruce-dixon-3M9WJQVHzog-unsplash.jpg",67,2.649
"126",2698,"1pow4",89814,25,9,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",46,2.102
"127",2699,"1pow4",92400,26,31,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg",35,2.584
"128",2700,"1pow4",94338,27,13,"erik-lucatero-d2MSDujJl2g-unsplash.jpg",59,1.936
"129",2701,"1pow4",96337,28,17,"gleb-lukomets-paBzWCPN23k-unsplash.jpg",69,1.998
"130",2702,"1pow4",99141,29,37,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg",63,2.803
"131",2703,"1pow4",101285,30,10,"charles-etoroma-95UF6LXe-Lo-unsplash.jpg",79,2.143
"132",2704,"1pow4",103455,31,19,"ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg",66,2.168
"133",2705,"1pow4",105406,32,49,"vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",54,1.949
"134",2706,"1pow4",107596,33,21,"jessica-felicio-_cvwXhGqG-o-unsplash.jpg",69,2.189
"135",2707,"1pow4",109718,34,15,"gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",88,2.121
"136",2708,"1pow4",111925,35,47,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg",67,2.206
"137",2709,"1pow4",114023,36,25,"joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",80,2.096
"138",2710,"1pow4",116255,37,38,"petr-sevcovic-HzDF-rxlSeM-unsplash.jpg",43,2.23
"139",2711,"1pow4",118176,38,22,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg",54,1.919
"140",2712,"1pow4",120844,39,39,"philip-martin-5aGUyCW_PJw-unsplash.jpg",68,2.667
"141",2713,"1pow4",123362,40,42,"prince-akachi-l3IHXOdMyHQ-unsplash.jpg",88,2.515
"142",2714,"1pow4",125278,41,1,"aiony-haust-jmATI5Q_YgY-unsplash.jpg",73,1.916
"143",2715,"1pow4",127426,42,12,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",64,2.145
"144",2716,"1pow4",130473,43,32,"nathan-dumlao-ger61_TX6oI-unsplash.jpg",58,3.045
"145",2717,"1pow4",132692,44,34,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg",83,2.217
"146",2718,"1pow4",134948,45,44,"rikonavt-HQjfrvdTfak-unsplash.jpg",71,2.254
"147",2719,"1pow4",136817,46,4,"barna-bartis-2x3vfVxwR7o-unsplash.jpg",42,1.868
"148",2720,"1pow4",138522,47,16,"giano-currie-5-9YOsmf8IQ-unsplash.jpg",79,1.704
"149",2721,"1pow4",140897,48,20,"houcine-ncib-B4TjXnI0Y2c-unsplash.jpg",86,2.373
"150",2722,"1pow4",142785,49,41,"prince-akachi-i2hoD-C2RUA-unsplash.jpg",63,1.885
"151",3999,"6mfmY",77960,0,7,"brooke-cagle-HRZUzoX1e6w-unsplash.jpg",100,4.237
"152",4000,"6mfmY",85143,1,8,"bruce-dixon-3M9WJQVHzog-unsplash.jpg",75,7.18
"153",4001,"6mfmY",104733,2,3,"art-hauntington-jzY0KRJopEI-unsplash.jpg",100,19.588
"154",4002,"6mfmY",109388,3,2,"arjunsyah-TBUA5KHJn6k-unsplash.jpg",28,4.653
"155",4003,"6mfmY",115459,4,22,"jessica-radanavong-mrYkTuAesKE-unsplash.jpg",26,6.069
"156",4004,"6mfmY",120420,5,6,"ben-o-bro-C5XyLljkMrY-unsplash.jpg",22,4.959
"157",4005,"6mfmY",131204,6,35,"oliver-ragfelt-khV4fTy6-D8-unsplash.jpg",23,10.782
"158",4006,"6mfmY",138907,7,12,"daniel-rigdon-dXmXKPP2L4E-unsplash.jpg",88,7.702
"159",4007,"6mfmY",144959,8,40,"prince-akachi-4Yv84VgQkRM-unsplash.jpg",12,6.05
"160",4008,"6mfmY",149857,9,17,"gleb-lukomets-paBzWCPN23k-unsplash.jpg",100,4.896
"161",4009,"6mfmY",179149,10,4,"barna-bartis-2x3vfVxwR7o-unsplash.jpg",30,29.291
"162",4010,"6mfmY",183780,11,34,"oliver-johnson-1TUIcKob7Zs-unsplash.jpg",100,4.63
"163",4011,"6mfmY",189491,12,37,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg",14,5.709
"164",4012,"6mfmY",193351,13,9,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",78,3.858
"165",4013,"6mfmY",196841,14,47,"tyler-nix-ZGa9d1a_4tA-unsplash.jpg",16,3.488
"166",4014,"6mfmY",200348,15,14,"freddy-kearney-o-ioeoATbIM-unsplash.jpg",15,3.505
"167",4015,"6mfmY",204814,16,31,"mathilda-khoo-vLR0YP_otCo-unsplash.jpg",22,4.464
"168",4016,"6mfmY",208611,17,28,"justin-chen-J7Cf1Gch49E-unsplash.jpg",11,3.795
