"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path"
"true","full_screen","d08172023hr1514","fullscreen","0","15665","0.0-0.0-0.0","26","49645","Male","","","","","","","","",""
"","get_id","","survey-text","1","21586","0.0-0.0-1.0","26","49645","Male","5915","{""Q0"":""26"",""Q1"":""Male""}","","","","","","",""
"","ratings_instructions","","instructions","2","35994","0.0-1.0-0.0-0.0","26","49645","Male","14014","","[{""page_index"":0,""viewing_time"":11411},{""page_index"":1,""viewing_time"":2603}]","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","3","42198","0.0-1.0-0.0-1.0","26","49645","Male","6200","{""Q0"":""True"",""Q1"":""Mouse""}","","0","","","","",""
"","","","html-keyboard-response","4","45678","0.0-1.0-1.0","26","49645","Male","3474","","","","68","","","",""
"","rating","","html-slider-response","5","49019","0.0-1.0-2.0","26","49645","Male","3336","","","","","38","0","28","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg"
"","rating","","html-slider-response","6","51517","0.0-1.0-3.0","26","49645","Male","2492","","","","","74","1","4","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg"
"","rating","","html-slider-response","7","54338","0.0-1.0-4.0","26","49645","Male","2816","","","","","31","2","35","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg"
"","rating","","html-slider-response","8","56993","0.0-1.0-5.0","26","49645","Male","2650","","","","","45","3","47","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg"
"","rating","","html-slider-response","9","59389","0.0-1.0-6.0","26","49645","Male","2390","","","","","84","4","9","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg"
"","rating","","html-slider-response","10","61834","0.0-1.0-7.0","26","49645","Male","2440","","","","","18","5","31","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg"
"","rating","","html-slider-response","11","64228","0.0-1.0-8.0","26","49645","Male","2389","","","","","82","6","5","Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg"
"","rating","","html-slider-response","12","66520","0.0-1.0-9.0","26","49645","Male","2288","","","","","38","7","27","Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg"
"","rating","","html-slider-response","13","68539","0.0-1.0-10.0","26","49645","Male","2014","","","","","59","8","37","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg"
"","rating","","html-slider-response","14","70581","0.0-1.0-11.0","26","49645","Male","2037","","","","","60","9","19","Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg"
"","rating","","html-slider-response","15","72867","0.0-1.0-12.0","26","49645","Male","2281","","","","","26","10","34","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg"
"","rating","","html-slider-response","16","78736","0.0-1.0-13.0","26","49645","Male","5866","","","","","44","11","22","Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg"
"","rating","","html-slider-response","17","82162","0.0-1.0-14.0","26","49645","Male","3421","","","","","86","12","1","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg"
"","rating","","html-slider-response","18","87276","0.0-1.0-15.0","26","49645","Male","5109","","","","","58","13","15","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg"
"","rating","","html-slider-response","19","89399","0.0-1.0-16.0","26","49645","Male","2119","","","","","39","14","17","Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg"
"","rating","","html-slider-response","20","91691","0.0-1.0-17.0","26","49645","Male","2287","","","","","57","15","12","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg"
"","rating","","html-slider-response","21","93907","0.0-1.0-18.0","26","49645","Male","2212","","","","","87","16","0","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg"
"","rating","","html-slider-response","22","97684","0.0-1.0-19.0","26","49645","Male","3772","","","","","26","17","41","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg"
