"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path"
"true","full_screen","d08112023hr1435","fullscreen","0","17043","0.0-0.0-0.0","11","16418","12","","","","","","","","",""
"","get_id","","survey-text","1","20332","0.0-0.0-1.0","11","16418","12","3285","{""Q0"":""11"",""Q1"":""12""}","","","","","","",""
"","ratings_instructions","","instructions","2","22153","0.0-1.0-0.0-0.0","11","16418","12","1776","","[{""page_index"":0,""viewing_time"":1131},{""page_index"":1,""viewing_time"":645}]","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","3","24698","0.0-1.0-0.0-1.0","11","16418","12","2540","{""Q0"":""True"",""Q1"":""Mouse""}","","0","","","","",""
"","","","html-keyboard-response","4","25786","0.0-1.0-1.0","11","16418","12","1082","","","","68","","","",""
"","rating","","html-slider-response","5","26837","0.0-1.0-2.0","11","16418","12","1046","","","","","50","0","11","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg"
"","rating","","html-slider-response","6","26991","0.0-1.0-3.0","11","16418","12","149","","","","","50","1","37","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg"
"","rating","","html-slider-response","7","27151","0.0-1.0-4.0","11","16418","12","155","","","","","50","2","43","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg"
"","rating","","html-slider-response","8","27315","0.0-1.0-5.0","11","16418","12","159","","","","","50","3","45","Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg"
"","rating","","html-slider-response","9","27522","0.0-1.0-6.0","11","16418","12","202","","","","","50","4","1","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg"
"","rating","","html-slider-response","10","27693","0.0-1.0-7.0","11","16418","12","168","","","","","50","5","4","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg"
"","rating","","html-slider-response","11","27865","0.0-1.0-8.0","11","16418","12","168","","","","","50","6","35","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg"
"","rating","","html-slider-response","12","28012","0.0-1.0-9.0","11","16418","12","141","","","","","50","7","24","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg"
"","rating","","html-slider-response","13","28171","0.0-1.0-10.0","11","16418","12","155","","","","","50","8","6","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg"
"","rating","","html-slider-response","14","28335","0.0-1.0-11.0","11","16418","12","160","","","","","50","9","3","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg"
"","rating","","html-slider-response","15","28496","0.0-1.0-12.0","11","16418","12","155","","","","","50","10","5","Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg"
"","rating","","html-slider-response","16","28647","0.0-1.0-13.0","11","16418","12","148","","","","","50","11","25","Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg"
