"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","run","task","isi","is_odd_ball","no_response","acc","duration","onset"
"true","full_screen","d06282023hr1609","fullscreen","0","1821","0.0-0.0-0.0","1","90129","","","","","","","","","","","","","","","","","",""
"","get_id","","survey-text","1","5184","0.0-0.0-1.0","1","90129","","3359","{""Q0"":""12"",""Q1"":""1""}","","","","","","","","","","","","","","",""
"","ratings_instructions","","instructions","2","6647","0.0-1.0-0.0-0.0","1","90129","","1428","","[{""page_index"":0,""viewing_time"":1237},{""page_index"":1,""viewing_time"":191}]","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","3","9229","0.0-1.0-0.0-1.0","1","90129","","2576","{""Q0"":""True"",""Q1"":""Mouse""}","","0","","","","","","","","","","","","",""
"","","","html-keyboard-response","4","9871","0.0-1.0-1.0","1","90129","","638","","","","68","","","","","","","","","","","",""
"","rating","","html-slider-response","5","11047","0.0-1.0-2.0","1","90129","","1172","","","","","50","0","28","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","6","11203","0.0-1.0-3.0","1","90129","","151","","","","","50","1","4","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","7","11449","0.0-1.0-4.0","1","90129","","242","","","","","50","2","35","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","8","11617","0.0-1.0-5.0","1","90129","","163","","","","","50","3","47","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","9","11786","0.0-1.0-6.0","1","90129","","164","","","","","50","4","9","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","10","11950","0.0-1.0-7.0","1","90129","","160","","","","","50","5","31","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","11","12109","0.0-1.0-8.0","1","90129","","155","","","","","50","6","5","Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","12","12277","0.0-1.0-9.0","1","90129","","164","","","","","50","7","27","Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","13","12432","0.0-1.0-10.0","1","90129","","150","","","","","50","8","37","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","14","12598","0.0-1.0-11.0","1","90129","","163","","","","","50","9","19","Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","15","12779","0.0-1.0-12.0","1","90129","","176","","","","","50","10","34","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","16","12948","0.0-1.0-13.0","1","90129","","165","","","","","50","11","22","Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","17","13125","0.0-1.0-14.0","1","90129","","174","","","","","50","12","1","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","18","13304","0.0-1.0-15.0","1","90129","","174","","","","","50","13","15","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","19","13484","0.0-1.0-16.0","1","90129","","176","","","","","50","14","17","Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","20","13652","0.0-1.0-17.0","1","90129","","164","","","","","50","15","12","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","21","13829","0.0-1.0-18.0","1","90129","","173","","","","","50","16","0","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","22","13995","0.0-1.0-19.0","1","90129","","161","","","","","50","17","41","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","23","14173","0.0-1.0-20.0","1","90129","","174","","","","","50","18","18","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg","","","","","","","",""
