"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path"
"true","full_screen","d06262023hr1802","fullscreen","0","66086","0.0-0.0-0.0","NaN","98039","","","","","","","","","",""
"","get_id","","survey-text","1","77494","0.0-0.0-1.0","NaN","98039","","11403","{""Q0"":""22"",""Q1"":""Male""}","","","","","","",""
"","ratings_instructions","","instructions","2","227159","0.0-1.0-0.0-0.0","NaN","98039","","149290","","[{""page_index"":0,""viewing_time"":1371},{""page_index"":1,""viewing_time"":147918}]","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","3","229668","0.0-1.0-0.0-1.0","NaN","98039","","2501","{""Q0"":""True"",""Q1"":""Mouse""}","","0","","","","",""
"","","","html-keyboard-response","4","230742","0.0-1.0-1.0","NaN","98039","","1069","","","","68","","","",""
"","rating","","html-slider-response","5","231568","0.0-1.0-2.0","NaN","98039","","821","","","","","50","0","23","Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg"
"","rating","","html-slider-response","6","231745","0.0-1.0-3.0","NaN","98039","","172","","","","","50","1","17","Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg"
"","rating","","html-slider-response","7","232002","0.0-1.0-4.0","NaN","98039","","251","","","","","50","2","10","Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg"
"","rating","","html-slider-response","8","232190","0.0-1.0-5.0","NaN","98039","","184","","","","","50","3","37","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg"
"","rating","","html-slider-response","9","232360","0.0-1.0-6.0","NaN","98039","","164","","","","","50","4","12","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg"
"","rating","","html-slider-response","10","232527","0.0-1.0-7.0","NaN","98039","","162","","","","","50","5","13","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg"
"","rating","","html-slider-response","11","232691","0.0-1.0-8.0","NaN","98039","","160","","","","","50","6","46","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg"
"","rating","","html-slider-response","12","232871","0.0-1.0-9.0","NaN","98039","","176","","","","","50","7","0","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg"
"","rating","","html-slider-response","13","233038","0.0-1.0-10.0","NaN","98039","","163","","","","","50","8","42","Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg"
"","rating","","html-slider-response","14","233209","0.0-1.0-11.0","NaN","98039","","165","","","","","50","9","29","Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg"
"","rating","","html-slider-response","15","233375","0.0-1.0-12.0","NaN","98039","","161","","","","","50","10","45","Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg"
"","rating","","html-slider-response","16","233565","0.0-1.0-13.0","NaN","98039","","185","","","","","50","11","16","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg"
"","rating","","html-slider-response","17","233743","0.0-1.0-14.0","NaN","98039","","173","","","","","50","12","35","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg"
"","rating","","html-slider-response","18","233919","0.0-1.0-15.0","NaN","98039","","172","","","","","50","13","8","Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg"
"","rating","","html-slider-response","19","234087","0.0-1.0-16.0","NaN","98039","","164","","","","","50","14","18","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg"
"","rating","","html-slider-response","20","234267","0.0-1.0-17.0","NaN","98039","","175","","","","","50","15","6","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg"
"","rating","","html-slider-response","21","234435","0.0-1.0-18.0","NaN","98039","","163","","","","","50","16","2","Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg"
"","rating","","html-slider-response","22","234603","0.0-1.0-19.0","NaN","98039","","164","","","","","50","17","33","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg"
"","rating","","html-slider-response","23","234781","0.0-1.0-20.0","NaN","98039","","173","","","","","50","18","25","Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg"
"","rating","","html-slider-response","24","234937","0.0-1.0-21.0","NaN","98039","","151","","","","","50","19","4","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg"
"","rating","","html-slider-response","25","235118","0.0-1.0-22.0","NaN","98039","","176","","","","","50","20","11","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg"
"","rating","","html-slider-response","26","235295","0.0-1.0-23.0","NaN","98039","","172","","","","","50","21","47","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg"
"","rating","","html-slider-response","27","235473","0.0-1.0-24.0","NaN","98039","","173","","","","","50","22","39","Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg"
"","rating","","html-slider-response","28","235641","0.0-1.0-25.0","NaN","98039","","164","","","","","50","23","3","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg"
"","rating","","html-slider-response","29","235822","0.0-1.0-26.0","NaN","98039","","175","","","","","50","24","34","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg"
"","rating","","html-slider-response","30","236000","0.0-1.0-27.0","NaN","98039","","173","","","","","50","25","27","Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg"
"","rating","","html-slider-response","31","236180","0.0-1.0-28.0","NaN","98039","","175","","","","","50","26","43","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg"
"","rating","","html-slider-response","32","236369","0.0-1.0-29.0","NaN","98039","","183","","","","","50","27","40","Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg"
"","rating","","html-slider-response","33","236536","0.0-1.0-30.0","NaN","98039","","162","","","","","50","28","38","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg"
"","rating","","html-slider-response","34","236714","0.0-1.0-31.0","NaN","98039","","173","","","","","50","29","9","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg"
"","rating","","html-slider-response","35","236892","0.0-1.0-32.0","NaN","98039","","173","","","","","50","30","19","Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg"
"","rating","","html-slider-response","36","237072","0.0-1.0-33.0","NaN","98039","","175","","","","","50","31","24","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg"
"","rating","","html-slider-response","37","237262","0.0-1.0-34.0","NaN","98039","","185","","","","","50","32","14","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg"
"","rating","","html-slider-response","38","237440","0.0-1.0-35.0","NaN","98039","","173","","","","","50","33","44","Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg"
"","rating","","html-slider-response","39","237608","0.0-1.0-36.0","NaN","98039","","163","","","","","50","34","15","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg"
"","rating","","html-slider-response","40","237786","0.0-1.0-37.0","NaN","98039","","173","","","","","50","35","1","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg"
"","rating","","html-slider-response","41","237966","0.0-1.0-38.0","NaN","98039","","175","","","","","50","36","22","Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg"
"","rating","","html-slider-response","42","238144","0.0-1.0-39.0","NaN","98039","","173","","","","","50","37","26","Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg"
"","rating","","html-slider-response","43","238320","0.0-1.0-40.0","NaN","98039","","171","","","","","50","38","31","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg"
"","rating","","html-slider-response","44","238498","0.0-1.0-41.0","NaN","98039","","173","","","","","50","39","36","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg"
"","rating","","html-slider-response","45","238675","0.0-1.0-42.0","NaN","98039","","173","","","","","50","40","28","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg"
"","rating","","html-slider-response","46","238868","0.0-1.0-43.0","NaN","98039","","188","","","","","50","41","20","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg"
"","rating","","html-slider-response","47","239059","0.0-1.0-44.0","NaN","98039","","187","","","","","50","42","41","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg"
"","rating","","html-slider-response","48","239238","0.0-1.0-45.0","NaN","98039","","174","","","","","50","43","7","Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg"
"","rating","","html-slider-response","49","239428","0.0-1.0-46.0","NaN","98039","","185","","","","","50","44","5","Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg"
"","rating","","html-slider-response","50","239606","0.0-1.0-47.0","NaN","98039","","173","","","","","50","45","30","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg"
"","rating","","html-slider-response","51","239796","0.0-1.0-48.0","NaN","98039","","185","","","","","50","46","32","Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg"
"","rating","","html-slider-response","52","239973","0.0-1.0-49.0","NaN","98039","","173","","","","","50","47","21","Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg"
