PID,phase,run,trial,event,onset,duration,onset_time_elapsed,duration_time_elapsed
53808,localizer,0,0,stimulus,0,400,0,420
53808,localizer,0,0,iti,400,300,420,313
53808,localizer,0,0,stimulus,700,400,733,418
53808,localizer,0,0,iti,1100,300,1151,314
53808,localizer,0,0,stimulus,1400,400,1465,417
53808,localizer,0,0,iti,1800,300,1882,313
53808,localizer,0,0,stimulus,2100,400,2195,419
53808,localizer,0,0,iti,2500,300,2614,314
53808,localizer,0,0,stimulus,2800,400,2928,410
53808,localizer,0,0,iti,3200,300,3338,314
53808,localizer,0,0,stimulus,3500,400,3652,417
53808,localizer,0,0,iti,3900,300,4069,314
53808,localizer,0,0,stimulus,4200,400,4383,410
53808,localizer,0,0,iti,4600,300,4793,312
53808,localizer,0,1,stimulus,4900,400,5105,418
53808,localizer,0,1,iti,5300,300,5523,314
53808,localizer,0,1,stimulus,5600,400,5837,418
53808,localizer,0,1,iti,6000,300,6255,313
53808,localizer,0,2,stimulus,6300,400,6568,410
53808,localizer,0,2,iti,6700,300,6978,314
53808,localizer,0,3,stimulus,7000,400,7292,418
53808,localizer,0,3,iti,7400,300,7710,315
53808,localizer,0,3,stimulus,7700,400,8025,416
53808,localizer,0,3,iti,8100,300,8441,314
53808,localizer,0,3,stimulus,8400,400,8755,410
53808,localizer,0,3,iti,8800,300,9165,312
53808,localizer,0,4,stimulus,9100,400,9477,411
53808,localizer,0,4,iti,9500,300,9888,314
53808,localizer,0,4,stimulus,9800,400,10202,418
53808,localizer,0,4,iti,10200,300,10620,314
53808,localizer,0,4,stimulus,10500,400,10934,411
53808,localizer,0,4,iti,10900,300,11345,315
53808,localizer,0,4,stimulus,11200,400,11660,419
53808,localizer,0,4,iti,11600,300,12079,313
53808,localizer,0,4,stimulus,11900,400,12392,420
53808,localizer,0,4,iti,12300,300,12812,314
53808,localizer,0,5,stimulus,12600,400,13126,410
53808,localizer,0,5,iti,13000,300,13536,315
53808,localizer,0,5,stimulus,13300,400,13851,418
53808,localizer,0,5,iti,13700,300,14269,314
53808,localizer,0,5,stimulus,14000,400,14583,410
53808,localizer,0,5,iti,14400,300,14993,314
53808,localizer,1,6,stimulus,0,400,0,418
53808,localizer,1,6,iti,400,300,418,316
53808,localizer,1,7,stimulus,700,400,734,418
53808,localizer,1,7,iti,1100,300,1152,322
53808,localizer,1,8,stimulus,1400,400,1474,409
53808,localizer,1,8,iti,1800,300,1883,313
53808,localizer,1,9,stimulus,2100,400,2196,418
53808,localizer,1,9,iti,2500,300,2614,314
53808,localizer,1,10,stimulus,2800,400,2928,411
53808,localizer,1,10,iti,3200,300,3339,313
53808,localizer,1,11,stimulus,3500,400,3652,417
53808,localizer,1,11,iti,3900,300,4069,314
53808,localizer,1,12,stimulus,4200,400,4383,418
53808,localizer,1,12,iti,4600,300,4801,316
53808,localizer,1,13,stimulus,4900,400,5117,420
53808,localizer,1,13,iti,5300,300,5537,321
53808,localizer,1,14,stimulus,5600,400,5858,409
53808,localizer,1,14,iti,6000,300,6267,314
53808,localizer,1,15,stimulus,6300,400,6581,418
53808,localizer,1,15,iti,6700,300,6999,313
53808,localizer,1,16,stimulus,7000,400,7312,418
53808,localizer,1,16,iti,7400,300,7730,313
53808,localizer,1,17,stimulus,7700,400,8043,419
53808,localizer,1,17,iti,8100,300,8462,314
53808,localizer,1,18,stimulus,8400,400,8776,418
53808,localizer,1,18,iti,8800,300,9194,311
53808,localizer,1,19,stimulus,9100,400,9505,412
53808,localizer,1,19,iti,9500,300,9917,314
53808,localizer,1,20,stimulus,9800,400,10231,418
