PID,phase,run,trial,event,onset,duration,onset_time_elapsed,duration_time_elapsed
29646,localizer,0,0,stimulus,0,400,0,416
29646,localizer,0,0,iti,400,300,416,308
29646,localizer,0,0,stimulus,700,400,724,412
29646,localizer,0,0,iti,1100,300,1136,315
29646,localizer,0,0,stimulus,1400,400,1451,413
29646,localizer,0,0,iti,1800,300,1864,311
29646,localizer,0,0,stimulus,2100,400,2175,410
29646,localizer,0,0,iti,2500,300,2585,311
29646,localizer,0,1,stimulus,2800,400,2896,417
29646,localizer,0,1,iti,3200,300,3313,314
29646,localizer,0,2,stimulus,3500,400,3627,413
29646,localizer,0,2,iti,3900,300,4040,314
29646,localizer,0,3,stimulus,4200,400,4354,414
29646,localizer,0,3,iti,4600,300,4768,313
29646,localizer,0,4,stimulus,4900,400,5081,416
29646,localizer,0,4,iti,5300,300,5497,313
29646,localizer,0,5,stimulus,5600,400,5810,417
29646,localizer,0,5,iti,6000,300,6227,307
29646,localizer,1,6,stimulus,0,400,0,419
29646,localizer,1,6,iti,400,300,419,312
29646,localizer,1,7,stimulus,700,400,731,416
29646,localizer,1,7,iti,1100,300,1147,313
29646,localizer,1,8,stimulus,1400,400,1460,416
29646,localizer,1,8,iti,1800,300,1876,317
29646,localizer,1,9,stimulus,2100,400,2193,415
29646,localizer,1,9,iti,2500,300,2608,309
29646,localizer,1,10,stimulus,2800,400,2917,415
29646,localizer,1,10,iti,3200,300,3332,314
29646,localizer,1,11,stimulus,3500,400,3646,413
29646,localizer,1,11,iti,3900,300,4059,307
29646,localizer,1,12,stimulus,4200,400,4366,410
29646,localizer,1,12,iti,4600,300,4776,310
29646,localizer,1,13,stimulus,4900,400,5086,413
29646,localizer,1,13,iti,5300,300,5499,308
29646,localizer,1,14,stimulus,5600,400,5807,406
29646,localizer,1,14,iti,6000,300,6213,315
29646,localizer,1,15,stimulus,6300,400,6528,417
29646,localizer,1,15,iti,6700,300,6945,310
29646,localizer,1,16,stimulus,7000,400,7255,411
29646,localizer,1,16,iti,7400,300,7666,308
29646,localizer,1,17,stimulus,7700,400,7974,413
29646,localizer,1,17,iti,8100,300,8387,310
29646,localizer,1,18,stimulus,8400,400,8697,413
29646,localizer,1,18,iti,8800,300,9110,316
29646,localizer,1,19,stimulus,9100,400,9426,415
29646,localizer,1,19,iti,9500,300,9841,309
29646,localizer,1,20,stimulus,9800,400,10150,412
29646,localizer,1,20,iti,10200,300,10562,312
29646,localizer,1,21,stimulus,10500,400,10874,416
29646,localizer,1,21,iti,10900,300,11290,308
29646,localizer,1,22,stimulus,11200,400,11598,412
29646,localizer,1,22,iti,11600,300,12010,309
29646,localizer,1,23,stimulus,11900,400,12319,406
29646,localizer,1,23,iti,12300,300,12725,313
29646,localizer,1,24,stimulus,12600,400,13038,407
29646,localizer,1,24,iti,13000,300,13445,314
29646,localizer,1,25,stimulus,13300,400,13759,410
