,PID,practice,trial,block,run,gain_left,left_item_id,right_item_id,left_pair_id,right_pair_id,left_stimulus,right_stimulus,left_category,right_category,left_rating,right_rating,left_path,right_path,no_response,left_chosen,rt,higher_outcome_chosen,choice_type,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,iti,long_iti,simulation,version
0,30126,1,1,0,0,0,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg,0,1,765,0,,,,,,3000,0,9,3
1,30126,1,2,0,0,0,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/patrick-perkins-3wylDrjxH-E-unsplash.jpg,0,0,1068,1,,,,,,1500,0,9,3
2,30126,1,3,0,0,0,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg,0,1,951,0,,,,,,2000,0,9,3
3,30126,1,4,0,0,0,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,0,0,1330,1,,,,,,1000,0,9,3
4,30126,0,5,1,1,1,gain5,no_gain5,F,J,17,20,faces,faces,32,44,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,0,0,1389,0,unchosen,20,17,faces,faces,4700,1,9,3
5,30126,0,6,1,1,1,gain3,no_gain2,B,L,11,18,outdoor_scenes,faces,78,43,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,0,1,1313,1,unchosen,11,18,outdoor_scenes,faces,2300,0,9,3
6,30126,0,7,1,1,1,gain1,no_gain2,G,L,3,18,outdoor_scenes,faces,59,43,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,0,1,1363,1,unchosen,3,18,outdoor_scenes,faces,1100,0,9,3
7,30126,0,8,1,1,0,no_gain4,gain5,A,F,39,24,objects,body_parts,67,42,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,1,NaN,,NaN,chosen,NaN,NaN,NaN,NaN,1600,0,9,3
8,30126,0,9,1,1,0,no_gain5,gain1,J,G,20,3,faces,outdoor_scenes,44,59,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,0,1,1157,0,unchosen,20,3,faces,outdoor_scenes,2300,0,9,3
9,30126,0,10,1,1,0,no_gain4,gain1,A,G,39,36,objects,objects,67,14,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,1,NaN,,NaN,chosen,NaN,NaN,NaN,NaN,1500,0,9,3
10,30126,0,11,1,1,1,gain1,no_gain3,G,I,36,35,objects,body_parts,14,42,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,1,NaN,,NaN,chosen,NaN,NaN,NaN,NaN,1500,0,9,3
11,30126,0,12,1,1,0,no_gain1,gain1,H,G,9,36,outdoor_scenes,objects,59,14,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,0,1,620,0,chosen,9,36,outdoor_scenes,objects,1200,0,9,3
12,30126,0,13,1,1,1,gain6,no_gain1,C,H,34,14,body_parts,faces,15,19,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,0,0,1467,0,unchosen,14,34,faces,body_parts,1300,0,9,3
13,30126,0,14,1,1,0,no_gain1,gain4,H,D,9,47,outdoor_scenes,objects,59,56,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,0,1,1441,0,chosen,9,47,outdoor_scenes,objects,1200,0,9,3
14,30126,0,15,1,1,1,gain6,no_gain4,C,A,34,2,body_parts,outdoor_scenes,15,72,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,0,0,1319,0,unchosen,2,34,outdoor_scenes,body_parts,4100,1,9,3
15,30126,0,16,1,1,1,gain4,no_gain4,D,A,22,2,faces,outdoor_scenes,46,72,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,0,0,1375,0,unchosen,2,22,outdoor_scenes,faces,1200,0,9,3
