,PID,practice,trial,block,run,gain_left,left_item_id,right_item_id,left_pair_id,right_pair_id,left_stimulus,right_stimulus,left_category,left_rating,right_rating,right_category,left_path,right_path,no_response,left_chosen,rt,higher_outcome_chosen,choice_type,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,iti,long_iti,simulation,version
0,70701,1,1,0,0,0,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg,0,1,861,0,,,,,,3000,0,7,2
1,70701,1,2,0,0,0,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/patrick-perkins-3wylDrjxH-E-unsplash.jpg,0,0,983,1,,,,,,1500,0,7,2
2,70701,1,3,0,0,0,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg,0,1,649,0,,,,,,2000,0,7,2
3,70701,1,4,0,0,0,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,0,0,929,1,,,,,,1000,0,7,2
4,70701,0,5,1,1,1,gain2,no_gain3,C,B,0,22,outdoor_scenes,71,83,faces,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,0,1,1056,1,unchosen,0,22,outdoor_scenes,faces,4100,1,7,2
5,70701,0,6,1,1,1,gain3,no_gain5,L,D,23,40,faces,70,76,objects,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,0,0,734,0,chosen,40,23,objects,faces,1200,0,7,2
6,70701,0,7,1,1,1,gain1,no_gain3,G,B,10,3,outdoor_scenes,72,79,outdoor_scenes,Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,0,1,948,1,chosen,10,3,outdoor_scenes,outdoor_scenes,2600,0,7,2
7,70701,0,8,1,1,1,gain2,no_gain4,C,E,29,28,body_parts,69,62,body_parts,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,0,1,930,1,chosen,29,28,body_parts,body_parts,2000,0,7,2
8,70701,0,9,1,1,0,no_gain5,gain1,D,G,20,43,faces,73,25,objects,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,0,1,1133,0,unchosen,20,43,faces,objects,1200,0,7,2
9,70701,0,10,1,1,0,no_gain4,gain3,E,L,28,23,body_parts,62,70,faces,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,0,0,1013,1,chosen,23,28,faces,body_parts,3200,1,7,2
10,70701,0,11,1,1,0,no_gain1,gain3,H,L,19,23,faces,78,70,faces,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,0,0,915,1,chosen,23,19,faces,faces,1200,0,7,2
11,70701,0,12,1,1,0,no_gain2,gain1,K,G,37,10,objects,79,72,outdoor_scenes,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg,0,1,1363,0,chosen,37,10,objects,outdoor_scenes,1800,0,7,2
12,70701,0,13,1,1,1,gain2,no_gain1,C,H,0,5,outdoor_scenes,71,88,outdoor_scenes,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,0,0,1098,0,unchosen,5,0,outdoor_scenes,outdoor_scenes,1600,0,7,2
13,70701,0,14,1,1,0,no_gain6,gain6,I,F,35,21,body_parts,32,72,faces,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,0,0,1334,1,unchosen,21,35,faces,body_parts,1300,0,7,2
