"","success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","missed_checkup","start_time_elapsed","run","task","isi","is_odd_ball","no_response","acc","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","scramble_acc","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally","choice_type","gain_left","left_item_id","right_item_id","warning","higher_outcome_chosen","chosen_left","old_pair","pair_type","old_response","pair_acc","reward_type","outcome_response","outcome_rt","outcome_acc","category","choice","deliberated_stim","old_rating","new_rating","total_reward_tally"
"1","true","full_screen","d08162023hr1927","fullscreen",0,8105,"0.0-0.0-0.0",33,21859,"Female","","","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"2","","get_id","","survey-text",1,36851,"0.0-0.0-1.0",33,21859,"Female","28733","{""Q0"":""33"",""Q1"":""Female""}","",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"3","","ratings_instructions","","instructions",2,47830,"0.0-1.0-0.0-0.0",33,21859,"Female","8530","","[{""page_index"":0,""viewing_time"":4380},{""page_index"":1,""viewing_time"":4149}]",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"4","","rating_comprehension_check","","survey-multi-choice",3,55287,"0.0-1.0-0.0-1.0",33,21859,"Female","7440","{""Q0"":""True"",""Q1"":""Mouse""}","",0,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"5","","","","html-keyboard-response",4,59187,"0.0-1.0-1.0",33,21859,"Female","3883","","",NA,"68","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"6","","rating","","html-slider-response",5,62358,"0.0-1.0-2.0",33,21859,"Female","3154","","",NA,"","75",0,23,"Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"7","","rating","","html-slider-response",6,64834,"0.0-1.0-3.0",33,21859,"Female","2462","","",NA,"","38",1,17,"Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"8","","rating","","html-slider-response",7,66754,"0.0-1.0-4.0",33,21859,"Female","1905","","",NA,"","69",2,10,"Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"9","","rating","","html-slider-response",8,69056,"0.0-1.0-5.0",33,21859,"Female","2287","","",NA,"","70",3,37,"Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
"10","","rating","","html-slider-response",9,71619,"0.0-1.0-6.0",33,21859,"Female","2549","","",NA,"","80",4,12,"Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","",NA,NA,"","","",NA,NA,NA,"","","","",NA,NA,NA,NA,"","",NA,NA,"",NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,NA,"","","",NA,NA,NA
