"","PID","practice","trial","run","task","stimulus_duration","iti","is_odd_ball","path","response","rt","version","no_response","acc"
"1",21859,1,1,0,NA,400,300,0,"Stimuli/Practice_stims/Localizer/annie-spratt-g9KFpAfQ5bc-unsplash.jpg",0,258,4,0,1
"2",21859,1,2,0,NA,400,300,0,"Stimuli/Practice_stims/Localizer/becca-tapert-sY5RjMB1KkE-unsplash.jpg",0,23,4,0,1
"3",21859,1,3,0,NA,400,300,1,"Stimuli/Practice_stims/Localizer/charl-durand-bsfXvI25iNg-unsplash.jpg",0,117,4,0,0
"4",21859,1,4,0,NA,400,300,0,"Stimuli/Practice_stims/Localizer/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg",1,68,4,0,0
"5",21859,1,5,0,NA,400,300,1,"Stimuli/Practice_stims/Localizer/randy-fath-epf1tdtIIkM-unsplash.jpg",1,35,4,0,1
"6",21859,1,6,0,NA,400,300,0,"Stimuli/Practice_stims/Localizer/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg",1,19,4,0,0
"7",21859,0,7,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/allef-vinicius-C_1jjFJioWg-unsplash.jpg",NA,NA,4,1,0
"8",21859,0,8,1,"faces",400,300,1,"Stimuli/Experimental_stims/localizer/faces/ayo-ogunseinde-sibVwORYqs0-unsplash.jpg",0,5,4,0,0
"9",21859,0,9,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg",1,62,4,0,0
"10",21859,0,10,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/hisu-lee-2qvxIr_DXGo-unsplash.jpg",0,5,4,0,1
"11",21859,0,11,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/austin-wade-X6Uj51n5CE8-unsplash.jpg",0,268,4,0,1
"12",21859,0,12,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/darshan-patel-QJEVpydulGs-unsplash.jpg",1,86,4,0,0
"13",21859,0,13,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/aleksandar-popovski-Jy4ELSGPHTc-unsplash.jpg",1,17,4,0,0
"14",21859,0,14,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/ethan-haddox-__ng3cRXmFE-unsplash.jpg",1,1,4,0,0
"15",21859,0,15,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/jake-nackos-IF9TK5Uy-KI-unsplash.jpg",1,171,4,0,0
"16",21859,0,16,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/mubariz-mehdizadeh-o-wlIFT4zE4-unsplash.jpg",0,48,4,0,1
"17",21859,0,17,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/stephanie-nakagawa-ADSKIn0ScDg-unsplash.jpg",0,3,4,0,1
"18",21859,0,18,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/foto-sushi-6anudmpILw4-unsplash.jpg",1,30,4,0,0
"19",21859,0,19,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/samuel-dixon--fQ5XNOcqFQ-unsplash.jpg",1,199,4,0,0
"20",21859,0,20,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/jeffery-erhunse-vp9mRauo68c-unsplash.jpg",0,2,4,0,1
"21",21859,0,21,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/ayo-ogunseinde-6W4F62sN_yI-unsplash.jpg",1,75,4,0,0
"22",21859,0,22,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/whereslugo-zl_fPgiwduo-unsplash.jpg",0,316,4,0,1
"23",21859,0,23,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/chanvre-quebec-mXu1SpzHq6w-unsplash.jpg",0,134,4,0,1
"24",21859,0,24,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/ian-dooley-d1UPkiFd04A-unsplash.jpg",0,99,4,0,1
"25",21859,0,25,1,"faces",400,300,1,"Stimuli/Experimental_stims/localizer/faces/matheus-ferrero-W7b3eDUb_2I-unsplash.jpg",0,59,4,0,0
"26",21859,0,26,1,"faces",400,14000,0,"Stimuli/Experimental_stims/localizer/faces/jeffery-erhunse-BQMZ5ligqps-unsplash.jpg",1,29,4,0,0
"27",21859,0,27,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/jeremy-bishop-mLd3hAaH2ns-unsplash.jpg",NA,NA,4,1,0
"28",21859,0,28,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sincerely-media-3DZHTq_i7Qk-unsplash.jpg",NA,NA,4,1,0
"29",21859,0,29,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/nick-page-jAGdpOGvLAA-unsplash.jpg",NA,NA,4,1,0
"30",21859,0,30,1,"body_parts",400,300,1,"Stimuli/Experimental_stims/localizer/body_parts/priscilla-du-preez-e6fcNpur53A-unsplash.jpg",0,195,4,0,0
"31",21859,0,31,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/lilartsy-1KkhQ8uL28g-unsplash.jpg",0,27,4,0,1
"32",21859,0,32,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/sippakorn-yamkasikorn-32_sJlJa5gA-unsplash.jpg",0,111,4,0,1
"33",21859,0,33,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/meghan-thompson-U1b8OB0QpIo-unsplash.jpg",0,85,4,0,1
