"","X","PID","practice","run","block","trial","pair_type","old_pair","chosen_left","pair_id","chosen_id","iti","left_stimulus","right_stimulus","left_path","right_path","old_response","pair_acc","pair_rt","long_iti","simulation","version","left_category","right_category"
"1",0,21859,1,0,0,1,"",0,0,"","",1500,NA,NA,"Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg","Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg",NA,NA,NA,0,30,4,NA,NA
"2",1,21859,1,0,0,2,"",0,0,"","",1000,NA,NA,"Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg","Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg",NA,NA,NA,0,30,4,NA,NA
"3",2,21859,1,0,0,3,"",0,0,"","",3000,NA,NA,"Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg","Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg",NA,NA,NA,0,30,4,NA,NA
"4",3,21859,0,1,1,4,"intact",1,0,"H","H",3800,22,11,"Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg",NA,NA,NA,1,30,4,"faces","outdoor_scenes"
"5",4,21859,0,1,1,5,"intact",1,1,"A","A",1300,6,38,"Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg",NA,NA,NA,0,30,4,"outdoor_scenes","objects"
"6",5,21859,0,1,1,6,"recombined",0,1,"","L",1400,33,46,"Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg",NA,NA,NA,0,30,4,"body_parts","objects"
"7",6,21859,0,1,1,7,"intact",1,0,"J","J",1100,15,47,"Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg",NA,NA,NA,0,30,4,"faces","objects"
"8",7,21859,0,1,1,8,"intact",1,1,"D","D",2700,43,18,"Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg",NA,NA,NA,0,30,4,"objects","faces"
"9",8,21859,0,1,1,9,"recombined",0,1,"","F",2800,20,38,"Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg",NA,NA,NA,1,30,4,"faces","objects"
"10",9,21859,0,1,1,10,"recombined",0,0,"","H",1200,13,11,"Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg",NA,NA,NA,0,30,4,"faces","outdoor_scenes"
"11",10,21859,0,1,1,11,"intact",1,1,"G","G",1100,40,3,"Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg",NA,NA,NA,0,30,4,"objects","outdoor_scenes"
"12",11,21859,0,1,1,12,"intact",1,1,"I","I",1200,27,0,"Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg",NA,NA,NA,0,30,4,"body_parts","outdoor_scenes"
"13",12,21859,0,1,1,13,"recombined",0,0,"","C",1300,0,30,"Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg",NA,NA,NA,0,30,4,"outdoor_scenes","body_parts"
"14",13,21859,0,1,1,14,"intact",1,1,"K","K",2000,24,46,"Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg",NA,NA,NA,0,30,4,"body_parts","objects"
