,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,pair_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,old_response,no_response
0,1,1,0,0,1,,0,0,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,0,NaN,0,12,2,NaN,NaN,1013,1,0
1,1,1,0,0,2,,0,0,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,0,NaN,0,12,2,NaN,NaN,146,1,0
2,1,1,0,0,3,,0,0,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,1,NaN,0,12,2,NaN,NaN,289,0,0
3,1,0,1,1,4,recombined,0,1,,K,1200,43,19,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,0,NaN,0,12,2,objects,faces,358,1,0
4,1,0,1,1,5,recombined,0,0,,C,2100,24,0,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,0,NaN,0,12,2,body_parts,outdoor_scenes,308,1,0
5,1,0,1,1,6,intact,1,0,K,K,2300,26,43,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,NaN,1,NaN,0,12,2,body_parts,objects,333,1,0
6,1,0,1,1,7,recombined,0,1,,J,1800,17,44,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,NaN,0,NaN,0,12,2,faces,objects,462,1,0
7,1,0,1,1,8,recombined,0,0,,B,1600,30,7,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,NaN,0,NaN,0,12,2,body_parts,outdoor_scenes,42,1,0
8,1,0,1,1,9,intact,1,1,J,J,2100,17,36,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,NaN,1,NaN,0,12,2,faces,objects,541,1,0
9,1,0,1,1,10,intact,1,1,D,D,2600,37,18,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,0,NaN,0,12,2,objects,faces,,NaN,1
10,1,0,1,1,11,recombined,0,0,,E,1300,18,40,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,NaN,0,NaN,0,12,2,faces,objects,,NaN,1
11,1,0,1,1,12,recombined,0,1,,F,4800,13,36,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,NaN,0,NaN,1,12,2,faces,objects,,NaN,1
12,1,0,1,1,13,intact,1,1,H,H,2000,15,6,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,0,NaN,0,12,2,faces,outdoor_scenes,,NaN,1
13,1,0,1,1,14,recombined,0,1,,L,1900,29,6,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,0,NaN,0,12,2,body_parts,outdoor_scenes,,NaN,1
14,1,0,1,1,15,intact,1,1,I,I,1600,27,5,Stimuli/Experimental_stims/body_parts/jonathan-borba-hTwH8QFkPMs-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,0,NaN,0,12,2,body_parts,outdoor_scenes,,NaN,1
