,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,no_response
0,71512,1,0,0,1,,0,0,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,0,NaN,0,2,1,NaN,NaN,,1
1,71512,1,0,0,2,,0,0,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,0,NaN,0,2,1,NaN,NaN,,1
2,71512,1,0,0,3,,0,0,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,0,NaN,0,2,1,NaN,NaN,,1
3,71512,0,1,1,4,recombined,0,1,,A,3700,1,27,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,NaN,0,NaN,1,2,1,outdoor_scenes,body_parts,,1
4,71512,0,1,1,5,recombined,0,0,,E,2400,16,42,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,NaN,0,NaN,0,2,1,faces,objects,,1
5,71512,0,1,1,6,intact,1,1,K,K,2600,26,39,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,0,NaN,0,2,1,body_parts,objects,,1
6,71512,0,1,1,7,intact,1,1,E,E,1300,42,24,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,NaN,0,NaN,0,2,1,objects,body_parts,,1
7,71512,0,1,1,8,recombined,0,0,,I,2200,9,35,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,NaN,0,NaN,0,2,1,outdoor_scenes,body_parts,,1
8,71512,0,1,1,9,intact,1,1,L,L,3000,31,21,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,NaN,0,NaN,1,2,1,body_parts,faces,,1
9,71512,0,1,1,10,intact,1,1,J,J,1100,14,47,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,1,1,NaN,0,2,1,faces,objects,0,0
