,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,confidence_response,confidence_rt,long_iti,simulation,version
0,82292,1,0,0,1,1500,,,,,Stimuli/Practice_stims/Outcome_estimation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
1,82292,1,0,0,2,1000,,,,,Stimuli/Practice_stims/Outcome_estimation/clay-banks-1KPfcPdbWFM-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
2,82292,1,0,0,3,3000,,,,,Stimuli/Practice_stims/Outcome_estimation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
3,82292,0,1,1,4,3300,K,chosen,no_gain,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,34,1
4,82292,0,1,1,5,2000,C,chosen,no_gain,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
5,82292,0,1,1,6,2200,J,unchosen,no_gain,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
6,82292,0,1,1,7,2600,D,unchosen,gain,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
7,82292,0,1,1,8,2500,I,chosen,gain,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
8,82292,0,1,1,9,1300,H,unchosen,gain,7,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
9,82292,0,1,1,10,1700,G,unchosen,gain,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
10,82292,0,1,1,11,1000,L,chosen,gain,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
11,82292,0,1,1,12,2900,B,unchosen,gain,16,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
12,82292,0,1,1,13,2100,E,unchosen,no_gain,31,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
13,82292,0,1,1,14,3000,H,chosen,gain,18,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,34,1
14,82292,0,1,1,15,1300,L,unchosen,gain,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
15,82292,0,1,1,16,2800,G,chosen,gain,38,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
16,82292,0,1,1,17,1300,K,unchosen,no_gain,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
17,82292,0,1,1,18,1200,J,chosen,no_gain,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
18,82292,0,1,1,19,3300,B,chosen,gain,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,34,1
19,82292,0,1,1,20,2200,C,unchosen,no_gain,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
20,82292,0,1,1,21,2700,I,unchosen,gain,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
21,82292,0,1,1,22,1200,E,chosen,no_gain,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
22,82292,0,1,1,23,1200,D,chosen,gain,37,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
23,82292,0,1,1,24,4500,A,unchosen,no_gain,41,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,34,1
24,82292,0,1,1,25,1100,A,chosen,no_gain,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
25,82292,0,1,1,26,1100,F,unchosen,no_gain,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
26,82292,0,1,1,27,2900,F,chosen,no_gain,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
27,82292,0,1,2,28,2900,F,chosen,no_gain,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
28,82292,0,1,2,29,1000,L,unchosen,gain,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
29,82292,0,1,2,30,1800,A,chosen,no_gain,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
30,82292,0,1,2,31,1400,J,unchosen,no_gain,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
31,82292,0,1,2,32,1000,C,chosen,no_gain,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
32,82292,0,1,2,33,2200,B,chosen,gain,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
33,82292,0,1,2,34,1200,A,unchosen,no_gain,41,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
34,82292,0,1,2,35,1200,D,unchosen,gain,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
35,82292,0,1,2,36,4500,L,chosen,gain,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,34,1
36,82292,0,1,2,37,1100,I,unchosen,gain,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
37,82292,0,1,2,38,1600,B,unchosen,gain,16,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
38,82292,0,1,2,39,1700,H,chosen,gain,18,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
39,82292,0,1,2,40,1800,G,unchosen,gain,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
40,82292,0,1,2,41,1000,F,unchosen,no_gain,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
41,82292,0,1,2,42,2000,K,chosen,no_gain,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
42,82292,0,1,2,43,1800,C,unchosen,no_gain,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
43,82292,0,1,2,44,1300,J,chosen,no_gain,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
44,82292,0,1,2,45,1100,I,chosen,gain,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
45,82292,0,1,2,46,4500,H,unchosen,gain,7,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,34,1
46,82292,0,1,2,47,1300,E,chosen,no_gain,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
47,82292,0,1,2,48,1500,K,unchosen,no_gain,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
48,82292,0,1,2,49,2400,G,chosen,gain,38,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
49,82292,0,1,2,50,2900,E,unchosen,no_gain,31,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
50,82292,0,1,2,51,1400,D,chosen,gain,37,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,34,1
51,82292,0,1,3,52,1900,D,chosen,gain,37,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
52,82292,0,1,3,53,1900,E,unchosen,no_gain,31,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
53,82292,0,1,3,54,2100,D,unchosen,gain,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
54,82292,0,1,3,55,1000,F,chosen,no_gain,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
55,82292,0,1,3,56,3200,F,unchosen,no_gain,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,10,1
56,82292,0,1,3,57,2400,H,chosen,gain,18,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
57,82292,0,1,3,58,1100,I,chosen,gain,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
58,82292,0,1,3,59,1000,I,unchosen,gain,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
59,82292,0,1,3,60,1000,L,chosen,gain,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
60,82292,0,1,3,61,1100,C,unchosen,no_gain,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
61,82292,0,1,3,62,1300,E,chosen,no_gain,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
62,82292,0,1,3,63,1200,K,unchosen,no_gain,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
63,82292,0,1,3,64,1800,H,unchosen,gain,7,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
64,82292,0,1,3,65,1900,G,chosen,gain,38,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
65,82292,0,1,3,66,4200,B,chosen,gain,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,10,1
66,82292,0,1,3,67,3000,L,unchosen,gain,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
67,82292,0,1,3,68,1000,J,chosen,no_gain,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
68,82292,0,1,3,69,2100,A,unchosen,no_gain,41,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
69,82292,0,1,3,70,1000,K,chosen,no_gain,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
70,82292,0,1,3,71,3000,C,chosen,no_gain,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
71,82292,0,1,3,72,3400,J,unchosen,no_gain,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,10,1
72,82292,0,1,3,73,1800,G,unchosen,gain,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
73,82292,0,1,3,74,1400,A,chosen,no_gain,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
74,82292,0,1,3,75,1300,B,unchosen,gain,16,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
75,82292,0,1,4,76,2200,K,chosen,no_gain,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
76,82292,0,1,4,77,3800,I,unchosen,gain,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,1,10,1
77,82292,0,1,4,78,1200,H,unchosen,gain,7,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
78,82292,0,1,4,79,3000,J,chosen,no_gain,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
79,82292,0,1,4,80,2100,E,unchosen,no_gain,31,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
80,82292,0,1,4,81,1300,I,chosen,gain,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,NaN,NaN,NaN,NaN,NaN,0,10,1
