,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block
0,53725,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN,0,3,2,,,0
1,53725,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,NaN,NaN,NaN,0,3,2,,,0
2,53725,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,NaN,NaN,NaN,0,3,2,,,0
3,53725,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN,0,3,2,,,0
4,53725,0,1,5,K,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,no_gain,4200,1800,NaN,NaN,NaN,1,3,2,0.0,4.0,1
5,53725,0,1,6,B,,,no_gain,1200,2100,NaN,NaN,NaN,0,3,2,1.0,5.0,1
6,53725,0,1,7,J,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,1100,1900,NaN,NaN,NaN,0,3,2,2.0,6.0,1
7,53725,0,1,8,D,,,gain,1000,1100,NaN,NaN,NaN,0,3,2,3.0,7.0,1
8,53725,0,1,9,C,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,gain,2100,1400,NaN,NaN,NaN,0,3,2,4.0,8.0,1
9,53725,0,1,10,E,,,no_gain,2000,2000,NaN,NaN,NaN,0,3,2,5.0,9.0,1
10,53725,0,1,11,I,,,no_gain,1300,2900,NaN,NaN,NaN,0,3,2,6.0,10.0,1
11,53725,0,1,12,H,,,gain,1100,1900,NaN,NaN,NaN,0,3,2,7.0,11.0,1
12,53725,0,1,13,L,,,gain,1100,1100,NaN,NaN,NaN,0,3,2,8.0,12.0,1
13,53725,0,1,14,F,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,gain,4200,3200,NaN,NaN,NaN,1,3,2,9.0,13.0,1
14,53725,0,1,15,G,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,no_gain,2700,1000,NaN,NaN,NaN,0,3,2,10.0,14.0,1
15,53725,0,1,16,A,,,gain,1600,1700,NaN,NaN,NaN,0,3,2,11.0,15.0,1
16,53725,0,1,17,H,,,gain,1000,1500,NaN,NaN,NaN,0,3,2,12.0,16.0,2
17,53725,0,1,18,A,,,gain,2700,1700,NaN,NaN,NaN,0,3,2,13.0,17.0,2
18,53725,0,1,19,I,,,no_gain,1600,1500,NaN,NaN,NaN,0,3,2,14.0,18.0,2
19,53725,0,1,20,J,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,no_gain,1100,2100,NaN,NaN,NaN,0,3,2,15.0,19.0,2
20,53725,0,1,21,E,,,no_gain,3000,2200,NaN,NaN,NaN,1,3,2,16.0,20.0,2
