,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
0,56536,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,gain,1,843,0,19,1,,,0,0
1,56536,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,no_gain,0,409,0,19,1,,,0,0
2,56536,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,no_gain,0,369,0,19,1,,,0,0
3,56536,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,gain,1,412,0,19,1,,,0,0
4,56536,0,1,5,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,no_gain,3200,1200,no_gain,1,478,1,19,1,0.0,4.0,1,0
5,56536,0,1,6,B,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,gain,1300,2800,gain,1,517,0,19,1,1.0,5.0,1,0
6,56536,0,1,7,J,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,1200,1500,gain,1,391,0,19,1,2.0,6.0,1,0
7,56536,0,1,8,D,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,no_gain,1400,1300,no_gain,1,382,0,19,1,3.0,7.0,1,0
8,56536,0,1,9,C,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,gain,1400,1000,gain,1,524,0,19,1,4.0,8.0,1,0
9,56536,0,1,10,E,43,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,no_gain,1200,1700,no_gain,1,482,0,19,1,5.0,9.0,1,0
10,56536,0,1,11,I,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1200,1700,gain,1,372,0,19,1,6.0,10.0,1,0
11,56536,0,1,12,H,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,gain,1100,2200,gain,1,384,0,19,1,7.0,11.0,1,0
12,56536,0,1,13,L,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,no_gain,1200,1800,no_gain,1,416,0,19,1,8.0,12.0,1,0
13,56536,0,1,14,F,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,3700,1600,no_gain,1,428,1,19,1,9.0,13.0,1,0
14,56536,0,1,15,G,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,no_gain,2300,1200,no_gain,1,368,0,19,1,10.0,14.0,1,0
15,56536,0,1,16,A,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,gain,1400,3500,gain,1,425,0,19,1,11.0,15.0,1,0
16,56536,0,1,17,H,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,gain,1900,1100,gain,1,387,0,19,1,12.0,16.0,2,0
17,56536,0,1,18,A,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,gain,1700,1700,gain,1,505,0,19,1,13.0,17.0,2,0
18,56536,0,1,19,I,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1000,2400,gain,1,273,0,19,1,14.0,18.0,2,0
19,56536,0,1,20,J,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,5400,1200,gain,1,301,1,19,1,15.0,19.0,2,0
20,56536,0,1,21,E,43,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,no_gain,2500,2700,no_gain,1,340,0,19,1,16.0,20.0,2,0
21,56536,0,1,22,F,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1600,1400,no_gain,1,423,0,19,1,17.0,21.0,2,0
22,56536,0,1,23,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,no_gain,1100,2000,no_gain,1,301,0,19,1,18.0,22.0,2,0
23,56536,0,1,24,D,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,no_gain,1800,1200,no_gain,1,385,0,19,1,19.0,23.0,2,0
24,56536,0,1,25,B,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,gain,1500,2100,gain,1,288,0,19,1,20.0,24.0,2,0
25,56536,0,1,26,L,27,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,no_gain,2300,1100,no_gain,1,467,0,19,1,21.0,25.0,2,0
26,56536,0,1,27,C,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,gain,3600,1900,gain,1,341,1,19,1,22.0,26.0,2,0
