,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
0,14054,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,gain,1,212,0,20,3,,,0,0
1,14054,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,gain,0,118,0,20,3,,,0,0
2,14054,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,gain,0,618,0,20,3,,,0,0
3,14054,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,gain,1,781,0,20,3,,,0,0
4,14054,0,1,5,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,1800,1900,no_response,0,NaN,0,20,3,0.0,4.0,1,1
5,14054,0,1,6,B,9,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,gain,1200,1600,no_response,0,NaN,0,20,3,1.0,5.0,1,1
6,14054,0,1,7,J,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,no_gain,1100,1800,no_response,0,NaN,0,20,3,2.0,6.0,1,1
7,14054,0,1,8,D,40,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,gain,1700,1800,no_response,0,NaN,0,20,3,3.0,7.0,1,1
8,14054,0,1,9,C,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,no_gain,3300,1000,no_response,0,NaN,1,20,3,4.0,8.0,1,1
9,14054,0,1,10,E,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,1900,1100,no_response,0,NaN,0,20,3,5.0,9.0,1,1
