,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block
0,50477,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN,0,3,2,,,0
1,50477,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,NaN,NaN,NaN,0,3,2,,,0
2,50477,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,NaN,NaN,NaN,0,3,2,,,0
3,50477,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN,0,3,2,,,0
4,50477,0,1,5,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,4200,1800,NaN,NaN,NaN,1,3,2,0.0,4.0,1
5,50477,0,1,6,B,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,1200,2100,NaN,NaN,NaN,0,3,2,1.0,5.0,1
6,50477,0,1,7,J,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1100,1900,NaN,NaN,NaN,0,3,2,2.0,6.0,1
7,50477,0,1,8,D,44,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,1000,1100,NaN,NaN,NaN,0,3,2,3.0,7.0,1
8,50477,0,1,9,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,2100,1400,NaN,NaN,NaN,0,3,2,4.0,8.0,1
9,50477,0,1,10,E,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,2000,2000,NaN,NaN,NaN,0,3,2,5.0,9.0,1
10,50477,0,1,11,I,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,no_gain,1300,2900,NaN,NaN,NaN,0,3,2,6.0,10.0,1
11,50477,0,1,12,H,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,no_gain,1100,1900,NaN,NaN,NaN,0,3,2,7.0,11.0,1
12,50477,0,1,13,L,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1100,1100,NaN,NaN,NaN,0,3,2,8.0,12.0,1
13,50477,0,1,14,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,4200,3200,NaN,NaN,NaN,1,3,2,9.0,13.0,1
14,50477,0,1,15,G,36,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,no_gain,2700,1000,NaN,NaN,NaN,0,3,2,10.0,14.0,1
15,50477,0,1,16,A,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1600,1700,NaN,NaN,NaN,0,3,2,11.0,15.0,1
16,50477,0,1,17,H,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,no_gain,1000,1500,NaN,NaN,NaN,0,3,2,12.0,16.0,2
17,50477,0,1,18,A,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,2700,1700,NaN,NaN,NaN,0,3,2,13.0,17.0,2
18,50477,0,1,19,I,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,no_gain,1600,1500,NaN,NaN,NaN,0,3,2,14.0,18.0,2
19,50477,0,1,20,J,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1100,2100,NaN,NaN,NaN,0,3,2,15.0,19.0,2
20,50477,0,1,21,E,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,3000,2200,NaN,NaN,NaN,1,3,2,16.0,20.0,2
21,50477,0,1,22,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1300,1700,NaN,NaN,NaN,0,3,2,17.0,21.0,2
22,50477,0,1,23,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,2700,1400,NaN,NaN,NaN,0,3,2,18.0,22.0,2
23,50477,0,1,24,D,44,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,2000,3100,NaN,NaN,NaN,0,3,2,19.0,23.0,2
24,50477,0,1,25,B,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,1300,1000,NaN,NaN,NaN,0,3,2,20.0,24.0,2
25,50477,0,1,26,L,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,4100,1600,NaN,NaN,NaN,1,3,2,21.0,25.0,2
26,50477,0,1,27,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,2800,1400,NaN,NaN,NaN,0,3,2,22.0,26.0,2
27,50477,0,1,28,G,36,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,no_gain,1000,1200,NaN,NaN,NaN,0,3,2,23.0,27.0,2
28,50477,0,1,29,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,1600,2100,NaN,NaN,NaN,0,3,2,24.0,28.0,3
29,50477,0,1,30,A,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1000,3200,NaN,NaN,NaN,0,3,2,25.0,29.0,3
30,50477,0,1,31,G,36,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,no_gain,1400,1400,NaN,NaN,NaN,0,3,2,26.0,30.0,3
31,50477,0,1,32,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,3200,3100,NaN,NaN,NaN,1,3,2,27.0,31.0,3
32,50477,0,1,33,I,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,no_gain,1700,2900,NaN,NaN,NaN,0,3,2,28.0,32.0,3
33,50477,0,1,34,H,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,no_gain,2200,2900,NaN,NaN,NaN,0,3,2,29.0,33.0,3
34,50477,0,1,35,B,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,2800,1600,NaN,NaN,NaN,0,3,2,30.0,34.0,3
35,50477,0,1,36,E,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1900,1500,NaN,NaN,NaN,0,3,2,31.0,35.0,3
36,50477,0,1,37,L,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1100,2500,NaN,NaN,NaN,0,3,2,32.0,36.0,3
37,50477,0,1,38,J,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1200,2100,NaN,NaN,NaN,0,3,2,33.0,37.0,3
38,50477,0,1,39,D,44,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,2600,2900,NaN,NaN,NaN,0,3,2,34.0,38.0,3
39,50477,0,1,40,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,3100,3300,NaN,NaN,NaN,1,3,2,35.0,39.0,3
40,50477,0,2,41,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,4000,3000,NaN,NaN,NaN,1,9,2,36.0,40.0,4
41,50477,0,2,42,D,44,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN,0,9,2,37.0,41.0,4
42,50477,0,2,43,H,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,no_gain,1600,2000,NaN,NaN,NaN,0,9,2,38.0,42.0,4
43,50477,0,2,44,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,1100,2300,NaN,NaN,NaN,0,9,2,39.0,43.0,4
44,50477,0,2,45,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1300,2300,NaN,NaN,NaN,0,9,2,40.0,44.0,4
45,50477,0,2,46,J,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,2000,1500,NaN,NaN,NaN,0,9,2,41.0,45.0,4
46,50477,0,2,47,B,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,4300,2000,NaN,NaN,NaN,1,9,2,42.0,46.0,4
47,50477,0,2,48,E,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1300,3300,NaN,NaN,NaN,0,9,2,43.0,47.0,4
48,50477,0,2,49,I,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,no_gain,2300,2200,NaN,NaN,NaN,0,9,2,44.0,48.0,4
49,50477,0,2,50,A,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1400,1100,NaN,NaN,NaN,0,9,2,45.0,49.0,4
50,50477,0,2,51,G,36,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,no_gain,2500,1400,NaN,NaN,NaN,0,9,2,46.0,50.0,4
51,50477,0,2,52,L,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1800,2300,NaN,NaN,NaN,0,9,2,47.0,51.0,4
52,50477,0,2,53,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,3700,2000,NaN,NaN,NaN,1,9,2,48.0,52.0,5
53,50477,0,2,54,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1400,1400,NaN,NaN,NaN,0,9,2,49.0,53.0,5
54,50477,0,2,55,G,36,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,no_gain,1600,1100,NaN,NaN,NaN,0,9,2,50.0,54.0,5
55,50477,0,2,56,J,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1300,2700,NaN,NaN,NaN,0,9,2,51.0,55.0,5
56,50477,0,2,57,D,44,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,1300,1100,NaN,NaN,NaN,0,9,2,52.0,56.0,5
57,50477,0,2,58,A,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1100,1200,NaN,NaN,NaN,0,9,2,53.0,57.0,5
58,50477,0,2,59,E,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1500,1400,NaN,NaN,NaN,0,9,2,54.0,58.0,5
59,50477,0,2,60,H,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,no_gain,4200,2000,NaN,NaN,NaN,1,9,2,55.0,59.0,5
60,50477,0,2,61,L,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1400,1300,NaN,NaN,NaN,0,9,2,56.0,60.0,5
61,50477,0,2,62,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,1500,1200,NaN,NaN,NaN,0,9,2,57.0,61.0,5
62,50477,0,2,63,B,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,1000,1800,NaN,NaN,NaN,0,9,2,58.0,62.0,5
63,50477,0,2,64,I,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,no_gain,1800,2900,NaN,NaN,NaN,0,9,2,59.0,63.0,5
64,50477,0,2,65,D,44,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,gain,1400,1400,NaN,NaN,NaN,0,9,2,60.0,64.0,6
65,50477,0,2,66,L,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,3300,1800,NaN,NaN,NaN,1,9,2,61.0,65.0,6
66,50477,0,2,67,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,2200,2500,NaN,NaN,NaN,0,9,2,62.0,66.0,6
67,50477,0,2,68,H,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,no_gain,1200,2900,NaN,NaN,NaN,0,9,2,63.0,67.0,6
68,50477,0,2,69,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,2500,1600,NaN,NaN,NaN,0,9,2,64.0,68.0,6
69,50477,0,2,70,B,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,2600,2300,NaN,NaN,NaN,0,9,2,65.0,69.0,6
70,50477,0,2,71,I,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,no_gain,2200,2700,NaN,NaN,NaN,0,9,2,66.0,70.0,6
71,50477,0,2,72,J,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,4600,2500,NaN,NaN,NaN,1,9,2,67.0,71.0,6
72,50477,0,2,73,G,36,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,no_gain,1100,2100,NaN,NaN,NaN,0,9,2,68.0,72.0,6
73,50477,0,2,74,A,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1400,3300,NaN,NaN,NaN,0,9,2,69.0,73.0,6
74,50477,0,2,75,E,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1700,2200,NaN,NaN,NaN,0,9,2,70.0,74.0,6
75,50477,0,2,76,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1400,1200,NaN,NaN,NaN,0,9,2,71.0,75.0,6
