,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block
0,90251,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,NaN,NaN,NaN,0,7,4,,,0
1,90251,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,NaN,NaN,NaN,0,7,4,,,0
2,90251,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,NaN,NaN,NaN,0,7,4,,,0
3,90251,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,NaN,NaN,NaN,0,7,4,,,0
4,90251,0,1,5,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,1100,1300,NaN,NaN,NaN,0,7,4,0.0,4.0,1
5,90251,0,1,6,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,1300,2100,NaN,NaN,NaN,0,7,4,1.0,5.0,1
6,90251,0,1,7,J,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,1400,1900,NaN,NaN,NaN,0,7,4,2.0,6.0,1
7,90251,0,1,8,D,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,1200,1500,NaN,NaN,NaN,0,7,4,3.0,7.0,1
8,90251,0,1,9,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,1900,2600,NaN,NaN,NaN,0,7,4,4.0,8.0,1
9,90251,0,1,10,E,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,1100,3400,NaN,NaN,NaN,0,7,4,5.0,9.0,1
10,90251,0,1,11,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,2400,1700,NaN,NaN,NaN,0,7,4,6.0,10.0,1
11,90251,0,1,12,H,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,4500,2100,NaN,NaN,NaN,1,7,4,7.0,11.0,1
12,90251,0,1,13,L,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1900,2100,NaN,NaN,NaN,0,7,4,8.0,12.0,1
13,90251,0,1,14,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1900,3100,NaN,NaN,NaN,0,7,4,9.0,13.0,1
14,90251,0,1,15,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1200,1400,NaN,NaN,NaN,0,7,4,10.0,14.0,1
15,90251,0,1,16,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1200,1500,NaN,NaN,NaN,0,7,4,11.0,15.0,1
16,90251,0,1,17,H,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,4000,2400,NaN,NaN,NaN,1,7,4,12.0,16.0,2
17,90251,0,1,18,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1100,1300,NaN,NaN,NaN,0,7,4,13.0,17.0,2
