"event","trial","time","PID"
"fullscreenenter","0","7403",""
"blur","51","182246","21859"
"focus","51","182260","21859"
"blur","51","184778","21859"
"focus","51","184790","21859"
"fullscreenexit","2475","3263050","21859"
"blur","2477","3271246","21859"
"focus","2479","3275541","21859"
"blur","2784","3810528","21859"
"focus","2784","3810540","21859"
"blur","2784","3811418","21859"
"focus","2784","3811440","21859"
"blur","2822","3887507","21859"
"focus","2822","3887523","21859"
"blur","2834","4009297","21859"
"focus","2834","4011887","21859"
"blur","2834","4016992","21859"
"focus","2834","4017007","21859"
"blur","2835","4027191","21859"
"focus","2835","4027210","21859"
