"event","trial","time","PID"
"blur","0","0",""
"focus","0","0",""
"blur","0","0",""
"focus","0","0",""
"fullscreenenter","0","3041",""
"fullscreenexit","87","50405","71512"
"blur","94","52833","71512"
"focus","102","60260","71512"
"blur","102","60271","71512"
"focus","120","66930","71512"
"blur","125","68644","71512"
"focus","134","71947","71512"
"blur","151","78087","71512"
"focus","553","242833","71512"
"blur","745","305210","71512"
"focus","911","372077","71512"
"blur","1025","398795","71512"
"focus","1077","409236","71512"
"blur","1078","411236","71512"
"focus","1078","423084","71512"
"blur","1225","480983","71512"
"focus","1225","508713","71512"
"blur","1225","510273","71512"
"focus","1225","514382","71512"
"blur","1225","515824","71512"
"focus","1225","529912","71512"
"blur","1225","532647","71512"
"focus","1225","533336","71512"
"blur","1495","560532","71512"
"focus","1675","583887","71512"
"blur","1868","597687","71512"
"focus","1893","602583","71512"
"blur","1904","605297","71512"
"focus","2009","617299","71512"
"blur","2201","650963","71512"
"focus","2411","674952","71512"
"blur","2415","678027","71512"
"focus","2415","682443","71512"
"blur","2533","703440","71512"
"focus","2717","727950","71512"
"blur","2718","730052","71512"
"focus","2718","730888","71512"
"blur","2806","782083","71512"
