,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_rating,unchosen_rating,chosen_path,unchosen_path,long_iti,simulation,version
0,,1,prac1,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,1500,,,,0,,,,,,,,,,,,3,1
1,,2,prac2,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2500,2500,left,,0,,,,,,,,,,,,3,1
2,,3,prac3,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,3000,1500,right,,0,,,,,,,,,,,,3,1
3,,4,prac4,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2000,,,,0,,,,,,,,,,,,3,1
4,,5,L,original,0,1,1,body_parts,faces,,,,,,,2000,,,,0,,,,,,,,,,,0,3,1
5,,6,K,scramble,0,1,1,body_parts,objects,,,,,,,1400,1800,left,,0,,,,,,,,,,,0,3,1
6,,7,K,original,0,1,1,body_parts,objects,,,,,,,1700,,,,0,,,,,,,,,,,0,3,1
7,,8,C,scramble,0,1,1,outdoor_scenes,body_parts,,,,,,,2100,1500,right,,0,,,,,,,,,,,0,3,1
8,,9,I,original,0,1,1,body_parts,outdoor_scenes,,,,,,,3600,,,,0,,,,,,,,,,,1,3,1
9,,10,F,original,0,1,1,faces,body_parts,,,,,,,2500,,,,0,,,,,,,,,,,0,3,1
10,,11,J,scramble,0,1,1,faces,objects,,,,,,,1100,1300,right,,0,,,,,,,,,,,0,3,1
11,,12,B,original,0,1,1,outdoor_scenes,faces,,,,,,,1400,,,,0,,,,,,,,,,,0,3,1
12,,13,B,scramble,0,1,1,outdoor_scenes,faces,,,,,,,1400,1500,right,,0,,,,,,,,,,,0,3,1
13,,14,H,original,0,1,1,faces,outdoor_scenes,,,,,,,1800,,,,0,,,,,,,,,,,0,3,1
14,,15,G,scramble,0,1,1,objects,outdoor_scenes,,,,,,,4000,1000,left,,0,,,,,,,,,,,1,3,1
15,,16,J,original,0,1,1,faces,objects,,,,,,,1100,,,,0,,,,,,,,,,,0,3,1
16,,17,G,original,0,1,1,objects,outdoor_scenes,,,,,,,1400,,,,0,,,,,,,,,,,0,3,1
17,,18,F,scramble,0,1,1,faces,body_parts,,,,,,,1300,1100,left,,0,,,,,,,,,,,0,3,1
18,,19,E,original,0,1,1,objects,body_parts,,,,,,,1600,,,,0,,,,,,,,,,,0,3,1
19,,20,I,scramble,0,1,1,body_parts,outdoor_scenes,,,,,,,4000,1600,left,,0,,,,,,,,,,,1,3,1
20,,21,H,scramble,0,1,1,faces,outdoor_scenes,,,,,,,2400,2000,right,,0,,,,,,,,,,,0,3,1
21,,22,C,original,0,1,1,outdoor_scenes,body_parts,,,,,,,1800,,,,0,,,,,,,,,,,0,3,1
22,,23,L,scramble,0,1,1,body_parts,faces,,,,,,,1600,700,left,,0,,,,,,,,,,,0,3,1
23,,24,D,original,0,1,1,objects,faces,,,,,,,1500,,,,0,,,,,,,,,,,0,3,1
24,,25,E,scramble,0,1,1,objects,body_parts,,,,,,,2400,1300,right,,0,,,,,,,,,,,0,3,1
25,,26,A,original,0,1,1,outdoor_scenes,objects,,,,,,,1000,,,,0,,,,,,,,,,,0,3,1
26,,27,A,scramble,0,1,1,outdoor_scenes,objects,,,,,,,4400,1900,left,,0,,,,,,,,,,,1,3,1
27,,28,D,scramble,0,1,1,objects,faces,,,,,,,1100,1300,right,,0,,,,,,,,,,,0,3,1
28,,29,H,original,0,1,2,faces,outdoor_scenes,,,,,,,2700,,,,0,,,,,,,,,,,0,3,1
29,,30,L,scramble,0,1,2,body_parts,faces,,,,,,,1100,1300,left,,0,,,,,,,,,,,0,3,1
30,,31,E,scramble,0,1,2,objects,body_parts,,,,,,,1000,1000,left,,0,,,,,,,,,,,0,3,1
31,,32,D,original,0,1,2,objects,faces,,,,,,,3700,,,,0,,,,,,,,,,,1,3,1
32,,33,H,scramble,0,1,2,faces,outdoor_scenes,,,,,,,1400,700,left,,0,,,,,,,,,,,0,3,1
33,,34,G,original,0,1,2,objects,outdoor_scenes,,,,,,,2800,,,,0,,,,,,,,,,,0,3,1
34,,35,K,original,0,1,2,body_parts,objects,,,,,,,1000,,,,0,,,,,,,,,,,0,3,1
35,,36,A,scramble,0,1,2,outdoor_scenes,objects,,,,,,,1000,1200,left,,0,,,,,,,,,,,0,3,1
36,,37,A,original,0,1,2,outdoor_scenes,objects,,,,,,,1700,,,,0,,,,,,,,,,,0,3,1
37,,38,L,original,0,1,2,body_parts,faces,,,,,,,1400,,,,0,,,,,,,,,,,0,3,1
38,,39,C,scramble,0,1,2,outdoor_scenes,body_parts,,,,,,,1500,1600,right,,0,,,,,,,,,,,0,3,1
39,,40,B,scramble,0,1,2,outdoor_scenes,faces,,,,,,,3400,1700,right,,0,,,,,,,,,,,1,3,1
40,,41,I,original,0,1,2,body_parts,outdoor_scenes,,,,,,,2400,,,,0,,,,,,,,,,,0,3,1
41,,42,G,scramble,0,1,2,objects,outdoor_scenes,,,,,,,1900,1800,right,,0,,,,,,,,,,,0,3,1
42,,43,I,scramble,0,1,2,body_parts,outdoor_scenes,,,,,,,2700,1300,right,,0,,,,,,,,,,,0,3,1
43,,44,C,original,0,1,2,outdoor_scenes,body_parts,,,,,,,2700,,,,0,,,,,,,,,,,0,3,1
44,,45,F,scramble,0,1,2,faces,body_parts,,,,,,,1800,1800,right,,0,,,,,,,,,,,0,3,1
