,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_path,unchosen_path,long_iti,simulation,version
0,,1,prac1,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,1500.0,,,,0,,,,,,,,,,9,2
1,,2,prac2,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2500.0,2500.0,left,,0,,,,,,,,,,9,2
2,,3,prac3,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,3000.0,1500.0,right,,0,,,,,,,,,,9,2
3,,4,prac4,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2000.0,,,,0,,,,,,,,,,9,2
4,,5,C,scramble,0,1,1,outdoor_scenes,body_parts,,,,,,,3500.0,1500.0,right,,0,,,,,,,,,1.0,9,2
5,,6,J,scramble,0,1,1,faces,objects,,,,,,,2700.0,1300.0,right,,0,,,,,,,,,0.0,9,2
6,,7,E,original,0,1,1,objects,body_parts,,,,,,,1000.0,,,,0,,,,,,,,,0.0,9,2
7,,8,I,scramble,0,1,1,body_parts,outdoor_scenes,,,,,,,2800.0,1600.0,left,,0,,,,,,,,,0.0,9,2
8,,9,L,original,0,1,1,body_parts,faces,,,,,,,1000.0,,,,0,,,,,,,,,0.0,9,2
9,,10,H,original,0,1,1,faces,outdoor_scenes,,,,,,,1600.0,,,,0,,,,,,,,,0.0,9,2
