,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_path,unchosen_path,long_iti,simulation,version
0,,1,prac1,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,1500.0,,,,0,,,,,,,,,,29,4
1,,2,prac2,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2500.0,2500.0,left,,0,,,,,,,,,,29,4
2,,3,prac3,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,3000.0,1500.0,right,,0,,,,,,,,,,29,4
3,,4,prac4,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2000.0,,,,0,,,,,,,,,,29,4
4,,5,D,scramble,0,1,1,objects,faces,,,,,,,3300.0,1300.0,right,,0,,,,,,,,,1.0,29,4
5,,6,B,scramble,0,1,1,outdoor_scenes,faces,,,,,,,1100.0,1500.0,right,,0,,,,,,,,,0.0,29,4
6,,7,A,original,0,1,1,outdoor_scenes,objects,,,,,,,1800.0,,,,0,,,,,,,,,0.0,29,4
7,,8,E,original,0,1,1,objects,body_parts,,,,,,,1500.0,,,,0,,,,,,,,,0.0,29,4
8,,9,K,scramble,0,1,1,body_parts,objects,,,,,,,2200.0,1800.0,left,,0,,,,,,,,,0.0,29,4
9,,10,J,original,0,1,1,faces,objects,,,,,,,2400.0,,,,0,,,,,,,,,0.0,29,4
10,,11,L,scramble,0,1,1,body_parts,faces,,,,,,,3000.0,700.0,left,,0,,,,,,,,,1.0,29,4
11,,12,C,original,0,1,1,outdoor_scenes,body_parts,,,,,,,1100.0,,,,0,,,,,,,,,0.0,29,4
12,,13,F,original,0,1,1,faces,body_parts,,,,,,,2300.0,,,,0,,,,,,,,,0.0,29,4
13,,14,I,scramble,0,1,1,body_parts,outdoor_scenes,,,,,,,1400.0,1600.0,left,,0,,,,,,,,,0.0,29,4
14,,15,H,original,0,1,1,faces,outdoor_scenes,,,,,,,2600.0,,,,0,,,,,,,,,0.0,29,4
15,,16,C,scramble,0,1,1,outdoor_scenes,body_parts,,,,,,,4300.0,1500.0,right,,0,,,,,,,,,1.0,29,4
16,,17,K,original,0,1,1,body_parts,objects,,,,,,,1900.0,,,,0,,,,,,,,,0.0,29,4
17,,18,J,scramble,0,1,1,faces,objects,,,,,,,1100.0,1300.0,right,,0,,,,,,,,,0.0,29,4
18,,19,G,original,0,1,1,objects,outdoor_scenes,,,,,,,1500.0,,,,0,,,,,,,,,0.0,29,4
19,,20,H,scramble,0,1,1,faces,outdoor_scenes,,,,,,,1300.0,2000.0,right,,0,,,,,,,,,0.0,29,4
20,,21,A,scramble,0,1,1,outdoor_scenes,objects,,,,,,,3500.0,1900.0,left,,0,,,,,,,,,1.0,29,4
21,,22,L,original,0,1,1,body_parts,faces,,,,,,,1400.0,,,,0,,,,,,,,,0.0,29,4
22,,23,I,original,0,1,1,body_parts,outdoor_scenes,,,,,,,1300.0,,,,0,,,,,,,,,0.0,29,4
23,,24,G,scramble,0,1,1,objects,outdoor_scenes,,,,,,,1100.0,1000.0,left,,0,,,,,,,,,0.0,29,4
24,,25,B,original,0,1,1,outdoor_scenes,faces,,,,,,,1200.0,,,,0,,,,,,,,,0.0,29,4
25,,26,E,scramble,0,1,1,objects,body_parts,,,,,,,1100.0,1300.0,right,,0,,,,,,,,,0.0,29,4
26,,27,D,original,0,1,1,objects,faces,,,,,,,1700.0,,,,0,,,,,,,,,0.0,29,4
