,PID,practice,trial,block,run,gain_left,left_item_id,right_item_id,left_pair_id,right_pair_id,left_stimulus,right_stimulus,left_category,left_rating,right_rating,right_category,left_path,right_path,no_response,left_chosen,rt,higher_outcome_chosen,choice_type,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,iti,long_iti,simulation,version
0,,1,1,0,0,,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg,0,,,,,,,,,3000,,7,2
1,,1,2,0,0,,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/patrick-perkins-3wylDrjxH-E-unsplash.jpg,0,,,,,,,,,1500,,7,2
2,,1,3,0,0,,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg,0,,,,,,,,,2000,,7,2
3,,1,4,0,0,,,,,,,,,,,,Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg,Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg,0,,,,,,,,,1000,,7,2
4,,0,5,1,1,1,gain2,no_gain3,,,,,,,,,,,0,,,,unchosen,,,,,4100,1,7,2
5,,0,6,1,1,1,gain3,no_gain5,,,,,,,,,,,0,,,,chosen,,,,,1200,0,7,2
6,,0,7,1,1,1,gain1,no_gain3,,,,,,,,,,,0,,,,chosen,,,,,2600,0,7,2
7,,0,8,1,1,1,gain2,no_gain4,,,,,,,,,,,0,,,,chosen,,,,,2000,0,7,2
8,,0,9,1,1,0,no_gain5,gain1,,,,,,,,,,,0,,,,unchosen,,,,,1200,0,7,2
9,,0,10,1,1,0,no_gain4,gain3,,,,,,,,,,,0,,,,chosen,,,,,3200,1,7,2
10,,0,11,1,1,0,no_gain1,gain3,,,,,,,,,,,0,,,,chosen,,,,,1200,0,7,2
11,,0,12,1,1,0,no_gain2,gain1,,,,,,,,,,,0,,,,chosen,,,,,1800,0,7,2
12,,0,13,1,1,1,gain2,no_gain1,,,,,,,,,,,0,,,,unchosen,,,,,1600,0,7,2
13,,0,14,1,1,0,no_gain6,gain6,,,,,,,,,,,0,,,,unchosen,,,,,1300,0,7,2
14,,0,15,1,1,0,no_gain1,gain5,,,,,,,,,,,0,,,,unchosen,,,,,1900,0,7,2
15,,0,16,1,1,0,no_gain3,gain2,,,,,,,,,,,0,,,,chosen,,,,,4100,1,7,2
16,,0,17,1,1,1,gain4,no_gain2,,,,,,,,,,,0,,,,unchosen,,,,,1100,0,7,2
17,,0,18,1,1,1,gain6,no_gain2,,,,,,,,,,,0,,,,chosen,,,,,1200,0,7,2
18,,0,19,1,1,1,gain5,no_gain4,,,,,,,,,,,0,,,,unchosen,,,,,1400,0,7,2
19,,0,20,1,1,0,no_gain4,gain1,,,,,,,,,,,0,,,,chosen,,,,,1300,0,7,2
20,,0,21,1,1,1,gain6,no_gain6,,,,,,,,,,,0,,,,chosen,,,,,4600,1,7,2
21,,0,22,1,1,0,no_gain1,gain3,,,,,,,,,,,0,,,,unchosen,,,,,1000,0,7,2
22,,0,23,1,1,1,gain4,no_gain4,,,,,,,,,,,0,,,,chosen,,,,,1100,0,7,2
23,,0,24,1,1,0,no_gain1,gain4,,,,,,,,,,,0,,,,unchosen,,,,,1700,0,7,2
