"PID","trial","rt","old_rating","new_rating","stimulus_index","type","category","stimulus","path"
NA,1,NA,NA,NA,23,"original","outdoor_scenes","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg"
NA,2,NA,NA,NA,48,"original","objects","alexander-andrews-JYGnB9gTCls-unsplash.jpg","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg"
NA,3,NA,NA,NA,58,"original","objects","mockup-graphics-PNsj6RiHAF4-unsplash.jpg","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg"
NA,4,NA,NA,NA,56,"original","objects","jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg"
NA,5,NA,NA,NA,85,"scramble","faces","scrambled_aiony-haust-jmATI5Q_YgY-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_aiony-haust-jmATI5Q_YgY-unsplash.jpg"
NA,6,NA,NA,NA,91,"scramble","faces","scrambled_jessica-radanavong-mrYkTuAesKE-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_jessica-radanavong-mrYkTuAesKE-unsplash.jpg"
NA,7,NA,NA,NA,26,"original","faces","art-hauntington-jzY0KRJopEI-unsplash.jpg","Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg"
NA,8,NA,NA,NA,82,"scramble","outdoor_scenes","scrambled_stephen-leonardi-gyIRjKPXupE-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_stephen-leonardi-gyIRjKPXupE-unsplash.jpg"
NA,9,NA,NA,NA,42,"original","body_parts","lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg","Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg"
NA,10,NA,NA,NA,100,"scramble","body_parts","scrambled_klara-kulikova-TcUfF24fUMY-unsplash.jpg","Stimuli/Experimental_stims/scramble/body_parts/scrambled_klara-kulikova-TcUfF24fUMY-unsplash.jpg"
NA,11,NA,NA,NA,51,"original","objects","art-lasovsky-8XddFc6NkBY-unsplash.jpg","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg"
NA,12,NA,NA,NA,16,"original","outdoor_scenes","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg"
NA,13,NA,NA,NA,108,"scramble","objects","scrambled_alexander-andrews-JYGnB9gTCls-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_alexander-andrews-JYGnB9gTCls-unsplash.jpg"
NA,14,NA,NA,NA,22,"original","outdoor_scenes","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg"
NA,15,NA,NA,NA,73,"scramble","outdoor_scenes","scrambled_ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg"
NA,16,NA,NA,NA,79,"scramble","outdoor_scenes","scrambled_petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_petr-vysohlid-9fqwGqGLUxc-unsplash.jpg"
NA,17,NA,NA,NA,78,"scramble","outdoor_scenes","scrambled_meng-ji-8BH_M-53CyA-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_meng-ji-8BH_M-53CyA-unsplash.jpg"
NA,18,NA,NA,NA,34,"original","faces","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","Stimuli/Experimental_stims/faces/olena-sergienko-0TSd6uCKTKc-unsplash.jpg"
NA,19,NA,NA,NA,29,"original","faces","freddy-kearney-o-ioeoATbIM-unsplash.jpg","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg"
NA,20,NA,NA,NA,12,"original","outdoor_scenes","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg"
NA,21,NA,NA,NA,111,"scramble","objects","scrambled_art-lasovsky-8XddFc6NkBY-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_art-lasovsky-8XddFc6NkBY-unsplash.jpg"
NA,22,NA,NA,NA,36,"original","body_parts","callum-skelton-3KLMq7y46nA-unsplash.jpg","Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg"
NA,23,NA,NA,NA,77,"scramble","outdoor_scenes","scrambled_jeff-king-bJHWJeiHfHc-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_jeff-king-bJHWJeiHfHc-unsplash.jpg"
NA,24,NA,NA,NA,41,"original","body_parts","lucaxx-freire-CacZwMexYdk-unsplash.jpg","Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg"
NA,25,NA,NA,NA,101,"scramble","body_parts","scrambled_lucaxx-freire-CacZwMexYdk-unsplash.jpg","Stimuli/Experimental_stims/scramble/body_parts/scrambled_lucaxx-freire-CacZwMexYdk-unsplash.jpg"
NA,26,NA,NA,NA,76,"scramble","outdoor_scenes","scrambled_jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_jarrett-kow-1ZOyYPOBn7I-unsplash.jpg"
NA,27,NA,NA,NA,115,"scramble","objects","scrambled_jiangxulei1990-eIzzzwtkBjU-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_jiangxulei1990-eIzzzwtkBjU-unsplash.jpg"
NA,28,NA,NA,NA,87,"scramble","faces","scrambled_daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_daniel-rigdon-dXmXKPP2L4E-unsplash.jpg"
NA,29,NA,NA,NA,80,"scramble","outdoor_scenes","scrambled_samsommer-vddccTqwal8-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_samsommer-vddccTqwal8-unsplash.jpg"
NA,30,NA,NA,NA,110,"scramble","objects","scrambled_andrew-petrov-TVJqDat4MAw-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_andrew-petrov-TVJqDat4MAw-unsplash.jpg"
NA,31,NA,NA,NA,25,"original","faces","aiony-haust-jmATI5Q_YgY-unsplash.jpg","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg"
NA,32,NA,NA,NA,27,"original","faces","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg"
NA,33,NA,NA,NA,49,"original","objects","alexander-andrews-VLGWE_SumrA-unsplash.jpg","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg"
NA,34,NA,NA,NA,112,"scramble","objects","scrambled_fabian-blank-pElSkGRA2NU-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_fabian-blank-pElSkGRA2NU-unsplash.jpg"
NA,35,NA,NA,NA,72,"scramble","outdoor_scenes","scrambled_aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg"
NA,36,NA,NA,NA,117,"scramble","objects","scrambled_kuiye-chen-NuOGFo4PudE-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_kuiye-chen-NuOGFo4PudE-unsplash.jpg"
NA,37,NA,NA,NA,99,"scramble","body_parts","scrambled_jonathan-borba-hTwH8QFkPMs-unsplash.jpg","Stimuli/Experimental_stims/scramble/body_parts/scrambled_jonathan-borba-hTwH8QFkPMs-unsplash.jpg"
NA,38,NA,NA,NA,43,"original","body_parts","megan-menegay-UojxG_BJxnI-unsplash.jpg","Stimuli/Experimental_stims/body_parts/megan-menegay-UojxG_BJxnI-unsplash.jpg"
NA,39,NA,NA,NA,104,"scramble","body_parts","scrambled_pure-julia-9lVaya31sMk-unsplash.jpg","Stimuli/Experimental_stims/scramble/body_parts/scrambled_pure-julia-9lVaya31sMk-unsplash.jpg"
NA,40,NA,NA,NA,119,"scramble","objects","scrambled_ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg"
NA,41,NA,NA,NA,24,"original","faces","abstral-official-cyOKLSgkgCE-unsplash.jpg","Stimuli/Experimental_stims/faces/abstral-official-cyOKLSgkgCE-unsplash.jpg"
NA,42,NA,NA,NA,38,"original","body_parts","engin-akyurt-x_3gyC42btc-unsplash.jpg","Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg"
NA,43,NA,NA,NA,88,"scramble","faces","scrambled_erik-lucatero-d2MSDujJl2g-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_erik-lucatero-d2MSDujJl2g-unsplash.jpg"
NA,44,NA,NA,NA,81,"scramble","outdoor_scenes","scrambled_sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_sergey-pesterev-y-b_FOmJXdg-unsplash.jpg"
NA,45,NA,NA,NA,74,"scramble","outdoor_scenes","scrambled_bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg"
NA,46,NA,NA,NA,30,"original","faces","good-faces-xmSWVeGEnJw-unsplash.jpg","Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg"
NA,47,NA,NA,NA,106,"scramble","body_parts","scrambled_sincerely-media-VN6DbKajo5s-unsplash.jpg","Stimuli/Experimental_stims/scramble/body_parts/scrambled_sincerely-media-VN6DbKajo5s-unsplash.jpg"
NA,48,NA,NA,NA,50,"original","objects","andrew-petrov-TVJqDat4MAw-unsplash.jpg","Stimuli/Experimental_stims/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg"
NA,49,NA,NA,NA,57,"original","objects","kuiye-chen-NuOGFo4PudE-unsplash.jpg","Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg"
NA,50,NA,NA,NA,113,"scramble","objects","scrambled_insung-yoon-w2JtIQQXoRU-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_insung-yoon-w2JtIQQXoRU-unsplash.jpg"
