,PID,practice,trial,block,run,gain_left,left_item_id,right_item_id,left_pair_id,right_pair_id,left_stimulus,right_stimulus,left_category,right_category,left_path,right_path,no_response,left_chosen,rt,higher_outcome_chosen,choice_type,iti,long_iti,simulation,version
0,,0,5,1,1,1.0,gain5,no_gain6,,,,,,,,,0,,,,chosen,1900.0,0,1,1
1,,0,6,1,1,1.0,gain3,no_gain5,,,,,,,,,0,,,,unchosen,2000.0,0,1,1
2,,0,7,1,1,1.0,gain4,no_gain3,,,,,,,,,0,,,,unchosen,2800.0,0,1,1
3,,0,8,1,1,0.0,no_gain4,gain1,,,,,,,,,0,,,,unchosen,1200.0,0,1,1
4,,0,9,1,1,1.0,gain4,no_gain4,,,,,,,,,0,,,,chosen,3400.0,1,1,1
5,,0,10,1,1,1.0,gain5,no_gain3,,,,,,,,,0,,,,chosen,1300.0,0,1,1
6,,0,11,1,1,0.0,no_gain6,gain1,,,,,,,,,0,,,,unchosen,1100.0,0,1,1
7,,0,12,1,1,1.0,gain6,no_gain1,,,,,,,,,0,,,,chosen,1100.0,0,1,1
8,,0,13,1,1,0.0,no_gain3,gain2,,,,,,,,,0,,,,chosen,1400.0,0,1,1
9,,0,14,1,1,1.0,gain4,no_gain4,,,,,,,,,0,,,,unchosen,1100.0,0,1,1
10,,0,15,1,1,0.0,no_gain1,gain4,,,,,,,,,0,,,,unchosen,1000.0,0,1,1
11,,0,16,1,1,1.0,gain6,no_gain2,,,,,,,,,0,,,,chosen,2800.0,0,1,1
12,,0,17,1,1,1.0,gain6,no_gain3,,,,,,,,,0,,,,chosen,1800.0,0,1,1
13,,0,18,1,1,1.0,gain2,no_gain5,,,,,,,,,0,,,,unchosen,1500.0,0,1,1
14,,0,19,1,1,1.0,gain4,no_gain3,,,,,,,,,0,,,,chosen,3500.0,1,1,1
15,,0,20,1,1,1.0,gain2,no_gain1,,,,,,,,,0,,,,chosen,1400.0,0,1,1
16,,0,21,1,1,1.0,gain5,no_gain4,,,,,,,,,0,,,,unchosen,1200.0,0,1,1
17,,0,22,1,1,1.0,gain1,no_gain3,,,,,,,,,0,,,,chosen,1700.0,0,1,1
18,,0,23,1,1,1.0,gain4,no_gain5,,,,,,,,,0,,,,unchosen,1400.0,0,1,1
19,,0,24,1,1,1.0,gain2,no_gain5,,,,,,,,,0,,,,chosen,1000.0,0,1,1
20,,0,25,1,1,0.0,no_gain5,gain6,,,,,,,,,0,,,,unchosen,3000.0,1,1,1
21,,0,26,1,1,0.0,no_gain2,gain2,,,,,,,,,0,,,,unchosen,1100.0,0,1,1
22,,0,27,1,1,1.0,gain6,no_gain4,,,,,,,,,0,,,,chosen,2000.0,0,1,1
23,,0,28,1,1,0.0,no_gain4,gain3,,,,,,,,,0,,,,chosen,2000.0,0,1,1
24,,0,29,1,1,1.0,gain3,no_gain2,,,,,,,,,0,,,,unchosen,1700.0,0,1,1
25,,0,30,1,1,0.0,no_gain3,gain3,,,,,,,,,0,,,,chosen,2100.0,0,1,1
26,,0,31,1,1,0.0,no_gain4,gain5,,,,,,,,,0,,,,chosen,1400.0,0,1,1
27,,0,32,1,1,0.0,no_gain2,gain5,,,,,,,,,0,,,,chosen,2100.0,0,1,1
28,,0,33,1,1,0.0,no_gain6,gain6,,,,,,,,,0,,,,unchosen,4600.0,1,1,1
29,,0,34,1,1,1.0,gain4,no_gain6,,,,,,,,,0,,,,chosen,1300.0,0,1,1
30,,0,35,1,1,0.0,no_gain4,gain3,,,,,,,,,0,,,,unchosen,2200.0,0,1,1
31,,0,36,1,1,1.0,gain2,no_gain1,,,,,,,,,0,,,,unchosen,1000.0,0,1,1
32,,0,37,1,1,1.0,gain6,no_gain6,,,,,,,,,0,,,,chosen,1900.0,0,1,1
33,,0,38,1,1,1.0,gain5,no_gain5,,,,,,,,,0,,,,unchosen,2600.0,0,1,1
34,,0,39,1,1,1.0,gain1,no_gain2,,,,,,,,,0,,,,unchosen,4000.0,1,1,1
35,,0,40,1,1,1.0,gain4,no_gain2,,,,,,,,,0,,,,unchosen,1200.0,0,1,1
36,,0,41,1,1,1.0,gain2,no_gain4,,,,,,,,,0,,,,chosen,1100.0,0,1,1
37,,0,42,1,1,0.0,no_gain1,gain3,,,,,,,,,0,,,,unchosen,1700.0,0,1,1
38,,0,43,1,1,0.0,no_gain5,gain6,,,,,,,,,0,,,,chosen,2400.0,0,1,1
39,,0,44,1,1,0.0,no_gain2,gain1,,,,,,,,,0,,,,chosen,1200.0,0,1,1
40,,0,45,1,1,1.0,gain5,no_gain2,,,,,,,,,0,,,,unchosen,3600.0,1,1,1
41,,0,46,1,1,0.0,no_gain1,gain1,,,,,,,,,0,,,,chosen,2200.0,0,1,1
42,,0,47,1,1,0.0,no_gain3,gain5,,,,,,,,,0,,,,unchosen,2700.0,0,1,1
43,,0,48,1,1,1.0,gain3,no_gain6,,,,,,,,,0,,,,chosen,2600.0,0,1,1
44,,0,49,1,1,0.0,no_gain1,gain5,,,,,,,,,0,,,,unchosen,1400.0,0,1,1
45,,0,50,1,1,0.0,no_gain4,gain2,,,,,,,,,0,,,,unchosen,4200.0,1,1,1
46,,0,51,1,1,0.0,no_gain5,gain4,,,,,,,,,0,,,,chosen,1600.0,0,1,1
47,,0,52,1,1,0.0,no_gain2,gain6,,,,,,,,,0,,,,unchosen,1700.0,0,1,1
