,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,pair_response,pair_acc,pair_rt,long_iti,simulation,version
0,,0,1,1,4,intact,1.0,,L,L,3400.0,,,,,,,,1,1,1
1,,0,1,1,5,intact,1.0,,K,K,1700.0,,,,,,,,0,1,1
2,,0,1,1,6,recombined,0.0,1.0,,J,1300.0,,,,,,,,0,1,1
3,,0,1,1,7,intact,1.0,,J,J,1800.0,,,,,,,,0,1,1
4,,0,1,1,8,recombined,0.0,0.0,,I,2400.0,,,,,,,,0,1,1
5,,0,1,1,9,recombined,0.0,1.0,,F,1200.0,,,,,,,,0,1,1
6,,0,1,1,10,intact,1.0,,G,G,1400.0,,,,,,,,0,1,1
7,,0,1,1,11,recombined,0.0,0.0,,E,2000.0,,,,,,,,0,1,1
8,,0,1,1,12,recombined,0.0,0.0,,G,1300.0,,,,,,,,0,1,1
9,,0,1,1,13,intact,1.0,,C,C,2800.0,,,,,,,,1,1,1
10,,0,1,1,14,recombined,0.0,0.0,,C,1700.0,,,,,,,,0,1,1
11,,0,1,1,15,recombined,0.0,0.0,,H,1500.0,,,,,,,,0,1,1
12,,0,1,1,16,intact,1.0,,E,E,1900.0,,,,,,,,0,1,1
13,,0,1,1,17,intact,1.0,,A,A,1200.0,,,,,,,,0,1,1
14,,0,1,1,18,recombined,0.0,1.0,,D,1500.0,,,,,,,,0,1,1
15,,0,1,1,19,intact,1.0,,H,H,2900.0,,,,,,,,1,1,1
16,,0,1,1,20,recombined,0.0,1.0,,A,2400.0,,,,,,,,0,1,1
17,,0,1,1,21,intact,1.0,,B,B,2400.0,,,,,,,,0,1,1
18,,0,1,1,22,intact,1.0,,F,F,1600.0,,,,,,,,0,1,1
19,,0,1,1,23,recombined,0.0,1.0,,K,2700.0,,,,,,,,0,1,1
20,,0,1,1,24,intact,1.0,,I,I,2400.0,,,,,,,,0,1,1
21,,0,1,1,25,recombined,0.0,1.0,,L,2200.0,,,,,,,,0,1,1
22,,0,1,1,26,recombined,0.0,0.0,,B,1200.0,,,,,,,,0,1,1
23,,0,1,1,27,intact,1.0,,D,D,3800.0,,,,,,,,1,1,1
24,,0,1,2,28,intact,1.0,,B,B,2100.0,,,,,,,,0,1,1
25,,0,1,2,29,recombined,0.0,1.0,,K,1500.0,,,,,,,,0,1,1
26,,0,1,2,30,intact,1.0,,I,I,1300.0,,,,,,,,0,1,1
27,,0,1,2,31,recombined,0.0,0.0,,C,1100.0,,,,,,,,0,1,1
28,,0,1,2,32,recombined,0.0,1.0,,J,3200.0,,,,,,,,1,1,1
29,,0,1,2,33,intact,1.0,,F,F,1400.0,,,,,,,,0,1,1
30,,0,1,2,34,recombined,0.0,0.0,,H,1600.0,,,,,,,,0,1,1
31,,0,1,2,35,recombined,0.0,1.0,,D,2100.0,,,,,,,,0,1,1
32,,0,1,2,36,intact,1.0,,A,A,1300.0,,,,,,,,0,1,1
33,,0,1,2,37,intact,1.0,,K,K,1700.0,,,,,,,,0,1,1
34,,0,1,2,38,recombined,0.0,0.0,,E,1200.0,,,,,,,,0,1,1
35,,0,1,2,39,intact,1.0,,L,L,1600.0,,,,,,,,0,1,1
36,,0,1,2,40,recombined,0.0,0.0,,F,4300.0,,,,,,,,1,1,1
37,,0,1,2,41,recombined,0.0,0.0,,B,2700.0,,,,,,,,0,1,1
38,,0,1,2,42,intact,1.0,,E,E,2200.0,,,,,,,,0,1,1
39,,0,1,2,43,intact,1.0,,J,J,1400.0,,,,,,,,0,1,1
40,,0,1,2,44,recombined,0.0,1.0,,G,1300.0,,,,,,,,0,1,1
41,,0,1,2,45,intact,1.0,,H,H,3000.0,,,,,,,,1,1,1
42,,0,1,2,46,intact,1.0,,D,D,2700.0,,,,,,,,0,1,1
43,,0,1,2,47,recombined,0.0,1.0,,L,1100.0,,,,,,,,0,1,1
44,,0,1,2,48,recombined,0.0,0.0,,I,1700.0,,,,,,,,0,1,1
45,,0,1,2,49,intact,1.0,,G,G,2100.0,,,,,,,,0,1,1
46,,0,1,2,50,intact,1.0,,C,C,1900.0,,,,,,,,0,1,1
47,,0,1,2,51,recombined,0.0,1.0,,A,2800.0,,,,,,,,1,1,1
0,,0,1,1,4,recombined,0.0,1.0,,A,3700.0,,,,,,,,1,2,1
1,,0,1,1,5,recombined,0.0,0.0,,E,2400.0,,,,,,,,0,2,1
2,,0,1,1,6,intact,1.0,,K,K,2600.0,,,,,,,,0,2,1
3,,0,1,1,7,intact,1.0,,E,E,1300.0,,,,,,,,0,2,1
4,,0,1,1,8,recombined,0.0,0.0,,I,2200.0,,,,,,,,0,2,1
5,,0,1,1,9,intact,1.0,,L,L,3000.0,,,,,,,,1,2,1
6,,0,1,1,10,intact,1.0,,J,J,1100.0,,,,,,,,0,2,1
7,,0,1,1,11,recombined,0.0,0.0,,B,1500.0,,,,,,,,0,2,1
8,,0,1,1,12,recombined,0.0,1.0,,F,1400.0,,,,,,,,0,2,1
