,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,confidence_response,confidence_rt,long_iti,simulation,version
0,,0,1,1.0,4,1700.0,J,unchosen,,,,,,,,,0,1,1
1,,0,1,1.0,5,2600.0,I,unchosen,,,,,,,,,0,1,1
2,,0,1,1.0,6,2300.0,L,chosen,,,,,,,,,0,1,1
3,,0,1,1.0,7,2600.0,K,unchosen,,,,,,,,,0,1,1
4,,0,1,1.0,8,5000.0,A,chosen,,,,,,,,,1,1,1
5,,0,1,1.0,9,2000.0,C,unchosen,,,,,,,,,0,1,1
6,,0,1,1.0,10,1600.0,A,unchosen,,,,,,,,,0,1,1
7,,0,1,1.0,11,1100.0,K,chosen,,,,,,,,,0,1,1
8,,0,1,1.0,12,1900.0,F,unchosen,,,,,,,,,0,1,1
9,,0,1,1.0,13,1100.0,C,chosen,,,,,,,,,0,1,1
10,,0,1,1.0,14,1400.0,D,chosen,,,,,,,,,0,1,1
11,,0,1,1.0,15,4100.0,D,unchosen,,,,,,,,,1,1,1
12,,0,1,1.0,16,2000.0,I,chosen,,,,,,,,,0,1,1
13,,0,1,1.0,17,1300.0,F,chosen,,,,,,,,,0,1,1
14,,0,1,1.0,18,1700.0,L,unchosen,,,,,,,,,0,1,1
15,,0,1,1.0,19,1800.0,B,unchosen,,,,,,,,,0,1,1
16,,0,1,1.0,20,3000.0,B,chosen,,,,,,,,,1,1,1
17,,0,1,1.0,21,1900.0,H,chosen,,,,,,,,,0,1,1
18,,0,1,1.0,22,2600.0,H,unchosen,,,,,,,,,0,1,1
19,,0,1,1.0,23,2100.0,G,chosen,,,,,,,,,0,1,1
20,,0,1,1.0,24,1300.0,G,unchosen,,,,,,,,,0,1,1
21,,0,1,1.0,25,1800.0,E,chosen,,,,,,,,,0,1,1
22,,0,1,1.0,26,3400.0,E,unchosen,,,,,,,,,1,1,1
23,,0,1,1.0,27,1300.0,J,chosen,,,,,,,,,0,1,1
24,,0,1,2.0,28,1700.0,E,chosen,,,,,,,,,0,1,1
25,,0,1,2.0,29,1700.0,E,unchosen,,,,,,,,,0,1,1
26,,0,1,2.0,30,1500.0,J,unchosen,,,,,,,,,0,1,1
27,,0,1,2.0,31,3700.0,K,chosen,,,,,,,,,1,1,1
28,,0,1,2.0,32,2300.0,B,unchosen,,,,,,,,,0,1,1
29,,0,1,2.0,33,1100.0,J,chosen,,,,,,,,,0,1,1
30,,0,1,2.0,34,1500.0,H,unchosen,,,,,,,,,0,1,1
31,,0,1,2.0,35,1700.0,F,unchosen,,,,,,,,,0,1,1
32,,0,1,2.0,36,1300.0,H,chosen,,,,,,,,,0,1,1
33,,0,1,2.0,37,2200.0,I,unchosen,,,,,,,,,0,1,1
34,,0,1,2.0,38,1800.0,L,chosen,,,,,,,,,0,1,1
35,,0,1,2.0,39,1100.0,B,chosen,,,,,,,,,0,1,1
36,,0,1,2.0,40,1800.0,C,unchosen,,,,,,,,,0,1,1
37,,0,1,2.0,41,2700.0,L,unchosen,,,,,,,,,1,1,1
38,,0,1,2.0,42,1400.0,D,chosen,,,,,,,,,0,1,1
39,,0,1,2.0,43,1700.0,D,unchosen,,,,,,,,,0,1,1
40,,0,1,2.0,44,1200.0,F,chosen,,,,,,,,,0,1,1
41,,0,1,2.0,45,1900.0,G,unchosen,,,,,,,,,0,1,1
42,,0,1,2.0,46,3000.0,G,chosen,,,,,,,,,1,1,1
43,,0,1,2.0,47,2100.0,I,chosen,,,,,,,,,0,1,1
44,,0,1,2.0,48,1100.0,K,unchosen,,,,,,,,,0,1,1
45,,0,1,2.0,49,1800.0,A,chosen,,,,,,,,,0,1,1
46,,0,1,2.0,50,2600.0,C,chosen,,,,,,,,,0,1,1
47,,0,1,2.0,51,1500.0,A,unchosen,,,,,,,,,0,1,1
0,,0,1,1.0,4,2800.0,C,unchosen,,,,,,,,,1,2,1
1,,0,1,1.0,5,1500.0,K,unchosen,,,,,,,,,0,2,1
2,,0,1,1.0,6,1800.0,E,chosen,,,,,,,,,0,2,1
3,,0,1,1.0,7,1000.0,J,chosen,,,,,,,,,0,2,1
4,,0,1,1.0,8,2700.0,F,unchosen,,,,,,,,,0,2,1
5,,0,1,1.0,9,2300.0,C,chosen,,,,,,,,,0,2,1
6,,0,1,1.0,10,2100.0,B,chosen,,,,,,,,,0,2,1
