,corr,simulation,version,run
0,-0.17489498268037046,1,1,1
1,-0.18203566478752944,2,1,1
2,-0.05879923833285667,3,1,1
3,-0.17063392655745568,4,1,1
4,-0.06157577742706004,5,1,1
5,-0.16254883033097722,6,1,1
6,-0.14786661992026293,7,1,1
7,-0.1111018234176662,8,1,1
8,-0.26196082794103415,9,1,1
9,-0.17441690315407135,10,1,1
10,-0.22436156591992057,11,1,1
11,-0.2652173724587679,12,1,1
12,-0.09877986084778126,13,1,1
13,-0.2714637418669661,14,1,1
14,-0.2990393622355036,15,1,1
15,-0.09682123738569812,16,1,1
16,-0.2722602592377535,17,1,1
17,-0.12777587898069367,18,1,1
18,-0.032870572519343694,19,1,1
19,-0.2370504373118819,20,1,1
20,-0.20408870166944076,1,2,1
21,-0.21849972474000273,2,2,1
22,-0.0324335340807168,3,2,1
23,-0.19808891363747197,4,2,1
24,-0.31678307784974996,5,2,1
25,-0.13635737107527554,6,2,1
26,-0.07826774337913672,7,2,1
27,-0.07087770682744066,8,2,1
28,-0.20498404653367736,9,2,1
29,-0.17660392524475818,10,2,1
30,-0.17610602088476307,11,2,1
31,-0.1718035382394849,12,2,1
32,-0.20459952898508207,13,2,1
33,-0.2060418835503754,14,2,1
34,-0.11392779458115657,15,2,1
35,-0.20184938900970448,16,2,1
36,-0.20229043223278412,17,2,1
37,-0.21839010765865988,18,2,1
38,-0.19724453108284784,19,2,1
39,-0.17097409822743348,20,2,1
40,-0.24183490495134013,1,3,1
41,-0.18648707307781623,2,3,1
42,-0.21413848199156665,3,3,1
43,-0.14695359077224546,4,3,1
44,-0.2351953222064613,5,3,1
45,-0.09731397262581382,6,3,1
46,-0.24321525781596168,7,3,1
47,-0.1768598889840042,8,3,1
48,-0.24839985340090603,9,3,1
49,-0.14189616771869187,10,3,1
50,-0.14931344261608148,11,3,1
51,-0.27307773275625896,12,3,1
52,-0.08722406414366195,13,3,1
53,-0.21177643332155294,14,3,1
54,-0.19146797974191979,15,3,1
55,-0.11057856295989467,16,3,1
56,-0.22046007328686865,17,3,1
57,-0.14154558144248186,18,3,1
58,-0.14827552131767527,19,3,1
59,-0.08223504341825282,20,3,1
60,-0.1810679246688393,1,4,1
61,-0.29606728963321266,2,4,1
62,-0.1648874145543087,3,4,1
63,-0.20770077046745442,4,4,1
64,-0.13802018894889712,5,4,1
65,-0.19878032668622234,6,4,1
66,-0.05028384769302708,7,4,1
