,original,original_derivative,scramble,scramble_derivative,.5*original + .5*scramble,original - scramble,simulation,version,run,.5*scramble + .5*original,scramble - original
0,2.766092022598982,3.3195234528422204,2.789277579892218,3.28782858619113,1.0352809137985484,1.0028559163524602,1,1,1,,
1,3.0984648754204023,3.2385392518873886,3.170189794281216,3.160162312193352,1.0587114950744778,1.0289949905522782,2,1,1,,
2,2.1527537615921486,2.6844655589094333,2.16128047167274,2.6740531129885645,1.0299262093249095,1.0009410745521217,3,1,1,,
3,2.8626456253480326,3.0921397402886943,2.7706523376560277,3.1936849433851173,,,4,1,1,1.1318322350880106,1.0433271861941251
4,3.132960114421061,3.1714259122220665,3.0799842908027006,3.2080809296218167,1.0451684389576656,1.0210405011384753,5,1,1,,
5,4.448453617757958,3.9695080296401843,4.388314786850188,4.008316687771487,,,6,1,1,1.0903075592547908,1.0082286842581725
6,2.6077111855524913,3.0290494048684145,2.5179953269470636,3.1280069041394007,,,7,1,1,1.0693547566533632,1.0528636379744243
7,4.110212560646368,3.701609709455896,4.229295434596092,3.5869744041966904,,,8,1,1,1.0843861320809733,1.0859590484270238
8,3.1800629721003792,3.0009814922715936,3.1155333682402517,3.0639164414904654,,,9,1,1,1.0733402306472104,1.048845912051782
9,3.2943116214212917,3.4758014840741094,3.243408869925295,3.531854907273235,,,10,1,1,1.0932105174273443,1.010645298995354
10,3.9308784803205468,3.4733218758205644,3.989198364330894,3.4366222923760406,1.0453024465638432,1.0367185378710697,11,1,1,,
11,3.2559537676953125,3.773292244794341,3.2757011950564414,3.7691648561821727,,,12,1,1,1.0461496513253363,1.0015505698549267
12,2.531610356669873,3.107548565485157,2.497223330364207,3.138546283379557,1.0726446567268615,1.0075531585945048,13,1,1,,
13,2.52877047645666,3.1572720324103196,2.4572972122871932,3.225798513556494,,,14,1,1,1.049542045943142,1.0443419867237231
14,2.4820558147631444,2.649921720517395,2.461483640642936,2.675608105186418,,,15,1,1,1.0238593883073355,1.0044603451145928
15,2.823582495685232,3.749569595350593,2.723937209706596,3.850364105079262,,,16,1,1,1.0668286173736878,1.0520983732939602
16,3.3631430844019095,3.17021109309626,3.1816579991806266,3.3342191960049443,,,17,1,1,1.1404228912071008,1.1210197172931218
17,3.5420296447336983,3.4902291699230323,3.5123037995300272,3.538415383380186,,,18,1,1,1.0951157975319554,1.002927654864609
18,2.6798814230825228,3.3550198073028565,2.749179904531263,3.2946717108419175,1.0395358056494977,1.0239435955029956,19,1,1,,
19,3.1153394630832354,2.9985616022446093,3.1608850271778612,2.96332268240374,1.2032381399691288,1.019423751550989,20,1,1,,
20,3.4101618705232952,3.382705390808688,3.4314617427376035,3.3430362484216993,,,21,1,1,1.0412856257866057,1.0449242885296504
21,2.904377860715047,3.495423824315264,2.857616263557536,3.5364921606542676,1.087478475217892,1.0114543587053133,22,1,1,,
22,2.742713879731589,3.0911704952485515,2.722584367577195,3.12101305380129,1.0509080850534311,1.0105847618770312,23,1,1,,
23,2.793205877652375,3.165212434522262,2.693195132614336,3.254617889504891,,,24,1,1,1.0765647500427185,1.0481418185720188
24,2.2295510238815797,2.881033315918935,2.224028302805065,2.8793750420341477,,,25,1,1,1.0581789826483614,1.0086087675590256
25,3.259282670626242,3.060562177174836,3.2428302002530813,3.0829688982524046,1.0286939621941664,1.0082955737549741,26,1,1,,
26,2.694401377821876,3.036380351882787,2.6958935509868107,3.0262006087540443,1.019283534516444,1.0047071523170368,27,1,1,,
27,2.934590125886455,3.249137435244455,2.887285432734143,3.29996439544522,1.2475928221746235,1.023048578130954,28,1,1,,
28,3.171112459862543,3.4841802416403644,3.1432306047608427,3.523280938725847,,,29,1,1,1.0378873772544746,1.007193663074594
29,3.3240051102003054,3.550542274555304,3.379766025057672,3.499843069046933,1.0392081607651122,1.011216140794141,30,1,1,,
30,2.9206747655740553,3.1384156334839486,2.7884180244321013,3.268178651709987,,,31,1,1,1.1073125161481019,1.0991186958216435
31,3.0601235326994147,3.754139033342717,2.9572125493221564,3.8407964787817033,,,32,1,1,1.2944360931674772,1.0330497399974552
32,4.077239212495366,4.08634120812248,4.241349111689521,3.929927534281637,1.1123749420016988,1.093055067136614,33,1,1,,
33,3.204990842159663,3.1577087308415055,3.1188356029572426,3.2445394247417774,1.073276625528182,1.1006586062786665,34,1,1,,
34,3.2385446503711917,3.3031832939405392,3.1843857128868254,3.3651296908494945,,,35,1,1,1.0728058998319017,1.0131017700228515
