,chosen,chosen_derivative,unchosen,unchosen_derivative,.5*unchosen + .5*chosen,unchosen - chosen,simulation,version,run,.5*chosen + .5*unchosen,chosen - unchosen
0,1.6818269425437145,2.6152117374805104,1.6592710749428763,2.6333298213202725,1.0376230551322319,1.0036866012250745,1,1,1,,
1,1.904154982340661,2.787110502236921,1.8450605581808155,2.84350739669006,1.132909386148421,1.0293886314730851,2,1,1,,
2,1.4520236643412936,3.0392828129935303,1.541980054178863,2.9557852606262296,1.2684723634807924,1.154320268445409,3,1,1,,
3,1.2597411207924862,2.0242402623178672,1.286578551962468,1.9907908404301446,,,4,1,1,1.0361452665154407,1.006193624026545
4,1.6079120991220266,2.41457281837643,1.513552849059777,2.498715869597184,,,5,1,1,1.079761660462241,1.0566680017030512
5,1.847161238157004,3.080483748325257,1.7735605436032664,3.1525215627490515,1.2044754814874992,1.023189879829758,6,1,1,,
6,1.417637729837737,2.018488188415206,1.3328164630504031,2.112031568072327,1.100359657912534,1.1057697871102712,7,1,1,,
7,1.7589294045534312,2.6047295236750667,1.8749126531855158,2.491215162552403,1.083573626940168,1.0767821026953928,8,1,1,,
8,1.4432617623731105,2.728076883487992,1.4916727410692279,2.6765045787685797,,,9,1,1,1.1924931972116204,1.024877471262348
9,2.174394555720105,3.6506152540831383,1.9573984580853425,3.8506977521664547,1.1237536249790212,1.1415907860055319,10,1,1,,
10,1.7958562107051386,3.3160009506179495,1.9238802920976765,3.179592675324462,1.1876015894101801,1.0518325716664088,11,1,1,,
11,1.6861359005063858,3.30971971611396,1.6741837316061823,3.3215173421281525,1.2016084427350888,1.0014069360436553,12,1,1,,
12,2.0541637192221724,2.8325505390047003,1.7663343140478172,3.1078788293318675,,,13,1,1,1.1489615093129995,1.2145631250806272
13,1.7769555770548562,2.5098169070122727,1.7436855054955227,2.5542224584827244,1.129439341536079,1.0127677595010764,14,1,1,,
14,1.806120116565456,3.5080819550646747,1.7259074332907485,3.5695385434922384,1.122095275648703,1.0428456292750417,15,1,1,,
15,1.612309429881965,2.450216921428064,1.6199979826320616,2.440463753344772,,,16,1,1,1.161272341579869,1.075929440636895
16,1.7272616619754877,2.701621609795819,1.800123623696094,2.6303123799750314,,,17,1,1,1.0544233206357083,1.0267915661672673
17,1.6597757562008866,2.572153659504899,1.6242265963667812,2.6135945173985005,,,18,1,1,1.091319348818062,1.0067978235914634
18,1.4300312876956196,2.2459310336622225,1.420956807294669,2.2602718627340876,1.0461254742643964,1.0541181954549839,19,1,1,,
19,1.5470552939390312,3.2513359770921064,1.541421992298587,3.2726245861048278,,,20,1,1,1.0452020796450343,1.0044583245356413
20,1.6898704484310916,3.353656031610808,1.9284301964101906,3.1269222336522935,1.4195709070483178,1.1900008911881697,21,1,1,,
21,1.4615451661940826,2.5886883630034627,1.5007499362300756,2.5621267021543255,,,22,1,1,1.0315858851942274,1.0706029160383577
