,Unnamed: 0,chosen,chosen_derivative,unchosen,unchosen_derivative,.5*chosen + .5*unchosen,chosen - unchosen,simulation,version,run
5,5,2.057667569307408,2.5629324657594963,2.039373113907711,2.5796036428763176,1.0490050670602311,1.0057515840623443,6,1,1
43,43,2.259521748041544,2.671484839371165,2.266860070037409,2.6749269872797634,1.0446384247788871,1.0011253910671956,4,1,2
84,84,2.0386332576229567,1.9990630783451864,2.041868847186032,1.9963047294563208,1.0118107396158122,1.0106471316944905,5,1,3
122,122,2.932550718900022,3.361053664062576,2.914114673007591,3.383869717130913,1.021291637680542,1.0020596047883492,3,1,4
16,16,1.9652117923031616,2.045990970158726,1.9655070774451024,2.042793838302568,1.0105669699005373,1.0007788619868876,7,2,1
59,59,1.866049151922194,3.20618705415372,1.8758628480792536,3.195847114099997,1.0187681200598877,1.0022098642244588,10,2,2
99,99,2.131209113568336,2.837274444236513,2.1223692383441475,2.8484279461771136,1.0154869446438028,1.0018966297528091,10,2,3
138,138,2.4953804903852173,2.913438021595109,2.483449680627071,2.9147666658827336,1.3645503541080009,1.0041019362878678,9,2,4
28,28,2.012902678373516,2.561266718312992,1.9996609752529009,2.567591704596597,1.0747199913844718,1.0095856703031552,9,3,1
68,68,2.041044762990166,2.4652150480508297,2.038661512236172,2.462167522052312,1.1045696606895858,1.0040984408397444,9,3,2
102,102,1.805997781802104,2.670944549428283,1.7905377564586764,2.6921868478902464,1.248402775798719,1.0024285154699704,3,3,3
140,140,2.146418176699019,2.6236516489332478,2.141221704270569,2.631865444007842,1.012924108828452,1.001775591654679,1,3,4
34,34,2.1069175531627784,2.649452554936079,2.1042065434733157,2.650913563504853,1.0130933595844902,1.003989802657988,5,4,1
77,77,2.2261169552269973,2.5376359204139343,2.208010459136416,2.551116658145314,1.285417155489806,1.0039104008369717,8,4,2
116,116,3.1464154752946363,2.969627441706055,3.1287564508769776,2.9734429365127157,1.080301417872986,1.0026260108053826,7,4,3
157,157,2.185076766894643,2.872644054379538,2.183550307956607,2.871327874928696,1.043655319763669,1.002119258147179,8,4,4
