"PID","practice","trial","run","task","stimulus_duration","iti","is_odd_ball","path","response","rt","version"
NA,1,1,0,"NaN",400,300,0,"Stimuli/Practice_stims/Localizer/annie-spratt-g9KFpAfQ5bc-unsplash.jpg",NA,NA,1
NA,1,2,0,"NaN",400,300,0,"Stimuli/Practice_stims/Localizer/becca-tapert-sY5RjMB1KkE-unsplash.jpg",NA,NA,1
NA,1,3,0,"NaN",400,300,1,"Stimuli/Practice_stims/Localizer/charl-durand-bsfXvI25iNg-unsplash.jpg",NA,NA,1
NA,1,4,0,"NaN",400,300,0,"Stimuli/Practice_stims/Localizer/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg",NA,NA,1
NA,1,5,0,"NaN",400,300,1,"Stimuli/Practice_stims/Localizer/randy-fath-epf1tdtIIkM-unsplash.jpg",NA,NA,1
NA,1,6,0,"NaN",400,300,0,"Stimuli/Practice_stims/Localizer/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg",NA,NA,1
NA,0,7,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/christina-wocintechchat-com-0Zx1bDv5BNY-unsplash.jpg",NA,NA,1
NA,0,8,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/jeffery-erhunse-BQMZ5ligqps-unsplash.jpg",NA,NA,1
NA,0,9,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/matheus-ferrero-W7b3eDUb_2I-unsplash.jpg",NA,NA,1
NA,0,10,1,"faces",400,300,1,"Stimuli/Experimental_stims/localizer/faces/jurica-koletic-7YVZYZeITc8-unsplash.jpg",NA,NA,1
NA,0,11,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/drew-hays-agGIKYs4mYs-unsplash.jpg",NA,NA,1
NA,0,12,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/rui-silvestre-hAMJpesMeDE-unsplash.jpg",NA,NA,1
NA,0,13,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/sean-kong--1B_y4wGs-s-unsplash.jpg",NA,NA,1
NA,0,14,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/vince-fleming-j3lf-Jn6deo-unsplash.jpg",NA,NA,1
