PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt
NA,1,0,0,1,NaN,NA,NA,NaN,NaN,1500,NA,NA,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NA,NA,NA
NA,1,0,0,2,NaN,NA,NA,NaN,NaN,1000,NA,NA,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NA,NA,NA
NA,1,0,0,3,NaN,NA,NA,NaN,NaN,3000,NA,NA,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NA,NA,NA
NA,0,1,1,4,intact,1,NA,D,D,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,5,intact,1,NA,L,L,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,6,intact,1,NA,B,B,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,7,intact,1,NA,J,J,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,8,intact,1,NA,F,F,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,9,recombined,0,1,NaN,K,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,10,intact,1,NA,H,H,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,11,intact,1,NA,C,C,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,12,recombined,0,1,NaN,F,3500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,13,recombined,0,0,NaN,G,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,14,recombined,0,1,NaN,J,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,15,recombined,0,0,NaN,H,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,16,intact,1,NA,E,E,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,17,recombined,0,0,NaN,C,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,18,recombined,0,0,NaN,E,3500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,19,intact,1,NA,I,I,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,20,intact,1,NA,G,G,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,21,recombined,0,1,NaN,D,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,22,recombined,0,0,NaN,I,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,23,recombined,0,1,NaN,L,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,24,recombined,0,0,NaN,B,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,25,intact,1,NA,K,K,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,26,intact,1,NA,A,A,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,1,27,recombined,0,1,NaN,A,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,28,recombined,0,1,NaN,G,3500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,29,intact,1,NA,F,F,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,30,intact,1,NA,B,B,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,31,intact,1,NA,E,E,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,32,intact,1,NA,C,C,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,33,recombined,0,1,NaN,D,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,34,recombined,0,0,NaN,C,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,35,intact,1,NA,I,I,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,36,intact,1,NA,H,H,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,37,recombined,0,0,NaN,E,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,38,recombined,0,1,NaN,L,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,39,intact,1,NA,J,J,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,40,intact,1,NA,K,K,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,41,recombined,0,0,NaN,I,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,42,recombined,0,0,NaN,B,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,43,intact,1,NA,L,L,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,44,intact,1,NA,D,D,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,45,intact,1,NA,A,A,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,46,recombined,0,0,NaN,H,3500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,47,recombined,0,0,NaN,F,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,48,recombined,0,1,NaN,A,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,49,recombined,0,1,NaN,K,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,50,intact,1,NA,G,G,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,1,2,51,recombined,0,1,NaN,J,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,52,recombined,0,1,NaN,H,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,53,recombined,0,0,NaN,A,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,54,recombined,0,1,NaN,J,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,55,recombined,0,1,NaN,L,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,56,intact,1,NA,L,L,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,57,intact,1,NA,A,A,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,58,recombined,0,0,NaN,E,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,59,intact,1,NA,F,F,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,60,recombined,0,1,NaN,D,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,61,intact,1,NA,E,E,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,62,recombined,0,0,NaN,G,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,63,recombined,0,0,NaN,C,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,64,intact,1,NA,B,B,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,65,intact,1,NA,G,G,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,66,intact,1,NA,H,H,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,67,recombined,0,1,NaN,I,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,68,intact,1,NA,J,J,3500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,69,intact,1,NA,I,I,3500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,70,intact,1,NA,D,D,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,71,intact,1,NA,K,K,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,72,recombined,0,1,NaN,B,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,73,recombined,0,0,NaN,F,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,74,intact,1,NA,C,C,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,3,75,recombined,0,0,NaN,K,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,76,recombined,0,1,NaN,E,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,77,recombined,0,1,NaN,G,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,78,recombined,0,1,NaN,J,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,79,intact,1,NA,J,J,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,80,intact,1,NA,E,E,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,81,intact,1,NA,B,B,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,82,intact,1,NA,L,L,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,83,intact,1,NA,C,C,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,84,recombined,0,1,NaN,H,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,85,intact,1,NA,F,F,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,86,recombined,0,0,NaN,A,3500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,87,recombined,0,0,NaN,L,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,88,intact,1,NA,K,K,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,89,recombined,0,0,NaN,I,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,90,recombined,0,1,NaN,D,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,91,intact,1,NA,G,G,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,92,recombined,0,0,NaN,C,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,93,intact,1,NA,D,D,1500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,94,intact,1,NA,A,A,3000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,95,recombined,0,0,NaN,K,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,96,recombined,0,1,NaN,B,3500,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,97,intact,1,NA,H,H,1000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,98,recombined,0,0,NaN,F,2000,NA,NA,NaN,NaN,NA,NA,NA
NA,0,2,4,99,intact,1,NA,I,I,2000,NA,NA,NaN,NaN,NA,NA,NA
