,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version
0,,1,0,0,1,,,,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,,,,,2,1
1,,1,0,0,2,,,,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,,,,,2,1
2,,1,0,0,3,,,,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,,,,,2,1
3,,0,1,1,4,recombined,0,1,,A,3700,,,,,,,,1,2,1
4,,0,1,1,5,recombined,0,0,,E,2400,,,,,,,,0,2,1
5,,0,1,1,6,intact,1,,K,K,2600,,,,,,,,0,2,1
6,,0,1,1,7,intact,1,,E,E,1300,,,,,,,,0,2,1
7,,0,1,1,8,recombined,0,0,,I,2200,,,,,,,,0,2,1
8,,0,1,1,9,intact,1,,L,L,3000,,,,,,,,1,2,1
9,,0,1,1,10,intact,1,,J,J,1100,,,,,,,,0,2,1
10,,0,1,1,11,recombined,0,0,,B,1500,,,,,,,,0,2,1
11,,0,1,1,12,recombined,0,1,,F,1400,,,,,,,,0,2,1
12,,0,1,1,13,intact,1,,B,B,2200,,,,,,,,0,2,1
13,,0,1,1,14,recombined,0,1,,K,3200,,,,,,,,1,2,1
14,,0,1,1,15,intact,1,,I,I,1300,,,,,,,,0,2,1
15,,0,1,1,16,recombined,0,0,,H,2700,,,,,,,,0,2,1
16,,0,1,1,17,recombined,0,0,,G,1100,,,,,,,,0,2,1
17,,0,1,1,18,intact,1,,H,H,2700,,,,,,,,0,2,1
18,,0,1,1,19,recombined,0,1,,J,2500,,,,,,,,0,2,1
19,,0,1,1,20,recombined,0,1,,L,1700,,,,,,,,0,2,1
20,,0,1,1,21,intact,1,,A,A,2400,,,,,,,,0,2,1
21,,0,1,1,22,intact,1,,C,C,1300,,,,,,,,0,2,1
22,,0,1,1,23,recombined,0,1,,D,2400,,,,,,,,0,2,1
23,,0,1,1,24,intact,1,,F,F,1800,,,,,,,,0,2,1
24,,0,1,1,25,recombined,0,0,,C,1000,,,,,,,,0,2,1
25,,0,1,1,26,intact,1,,D,D,3200,,,,,,,,1,2,1
26,,0,1,1,27,intact,1,,G,G,1100,,,,,,,,0,2,1
27,,0,1,2,28,recombined,0,0,,B,1400,,,,,,,,0,2,1
28,,0,1,2,29,intact,1,,I,I,2100,,,,,,,,0,2,1
29,,0,1,2,30,intact,1,,G,G,1800,,,,,,,,0,2,1
30,,0,1,2,31,recombined,0,1,,G,1300,,,,,,,,0,2,1
31,,0,1,2,32,recombined,0,0,,F,1200,,,,,,,,0,2,1
32,,0,1,2,33,intact,1,,F,F,1800,,,,,,,,0,2,1
33,,0,1,2,34,recombined,0,1,,K,2100,,,,,,,,0,2,1
34,,0,1,2,35,recombined,0,1,,L,2800,,,,,,,,0,2,1
35,,0,1,2,36,intact,1,,K,K,2800,,,,,,,,0,2,1
36,,0,1,2,37,intact,1,,D,D,1600,,,,,,,,0,2,1
37,,0,1,2,38,recombined,0,0,,H,2900,,,,,,,,1,2,1
38,,0,1,2,39,recombined,0,0,,C,2400,,,,,,,,0,2,1
39,,0,1,2,40,intact,1,,L,L,1500,,,,,,,,0,2,1
40,,0,1,2,41,recombined,0,1,,D,2100,,,,,,,,0,2,1
41,,0,1,2,42,intact,1,,J,J,1000,,,,,,,,0,2,1
42,,0,1,2,43,intact,1,,B,B,1100,,,,,,,,0,2,1
43,,0,1,2,44,recombined,0,1,,J,2900,,,,,,,,1,2,1
44,,0,1,2,45,intact,1,,A,A,2200,,,,,,,,0,2,1
45,,0,1,2,46,intact,1,,E,E,1100,,,,,,,,0,2,1
46,,0,1,2,47,recombined,0,1,,A,1700,,,,,,,,0,2,1
47,,0,1,2,48,intact,1,,C,C,1200,,,,,,,,0,2,1
48,,0,1,2,49,recombined,0,0,,I,1700,,,,,,,,0,2,1
49,,0,1,2,50,recombined,0,0,,E,1000,,,,,,,,0,2,1
50,,0,1,2,51,intact,1,,H,H,4500,,,,,,,,1,2,1
51,,0,1,3,52,recombined,0,0,,F,1900,,,,,,,,0,31,1
52,,0,1,3,53,recombined,0,1,,B,1800,,,,,,,,0,31,1
53,,0,1,3,54,intact,1,,C,C,1300,,,,,,,,0,31,1
54,,0,1,3,55,intact,1,,L,L,2500,,,,,,,,0,31,1
55,,0,1,3,56,recombined,0,1,,H,2900,,,,,,,,1,31,1
56,,0,1,3,57,intact,1,,D,D,2200,,,,,,,,0,31,1
57,,0,1,3,58,recombined,0,1,,L,1300,,,,,,,,0,31,1
58,,0,1,3,59,intact,1,,H,H,2200,,,,,,,,0,31,1
59,,0,1,3,60,recombined,0,1,,J,2500,,,,,,,,0,31,1
60,,0,1,3,61,intact,1,,G,G,4500,,,,,,,,1,31,1
61,,0,1,3,62,recombined,0,0,,K,1900,,,,,,,,0,31,1
62,,0,1,3,63,intact,1,,F,F,2200,,,,,,,,0,31,1
63,,0,1,3,64,intact,1,,A,A,1200,,,,,,,,0,31,1
64,,0,1,3,65,recombined,0,0,,A,1500,,,,,,,,0,31,1
65,,0,1,3,66,recombined,0,1,,I,1500,,,,,,,,0,31,1
66,,0,1,3,67,intact,1,,E,E,4300,,,,,,,,1,31,1
67,,0,1,3,68,intact,1,,J,J,1000,,,,,,,,0,31,1
68,,0,1,3,69,recombined,0,0,,E,2300,,,,,,,,0,31,1
69,,0,1,3,70,intact,1,,B,B,1500,,,,,,,,0,31,1
70,,0,1,3,71,recombined,0,1,,D,1700,,,,,,,,0,31,1
71,,0,1,3,72,recombined,0,0,,G,4800,,,,,,,,1,31,1
72,,0,1,3,73,intact,1,,I,I,2100,,,,,,,,0,31,1
73,,0,1,3,74,recombined,0,0,,C,1800,,,,,,,,0,31,1
