PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc
NA,1,0,NA,1,1500,NaN,NaN,NA,NA,Stimuli/Practice_stims/Outcome_estimation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,NA,NA,NA
NA,1,0,NA,2,1000,NaN,NaN,NA,NA,Stimuli/Practice_stims/Outcome_estimation/clay-banks-1KPfcPdbWFM-unsplash.jpg,NA,NA,NA
NA,1,0,NA,3,3000,NaN,NaN,NA,NA,Stimuli/Practice_stims/Outcome_estimation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,NA,NA,NA
NA,0,1,1,4,2000,F,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,5,1000,C,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,6,1500,J,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,7,3000,B,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,8,3000,F,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,9,1500,K,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,10,1000,D,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,11,1000,J,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,12,2000,B,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,13,1500,I,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,14,1000,L,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,15,1500,G,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,16,2000,E,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,17,3500,G,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,18,1000,I,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,19,2000,A,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,20,3500,H,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,21,1000,K,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,22,1000,D,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,23,3000,E,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,24,1500,H,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,25,1500,L,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,26,1000,C,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,1,27,3000,A,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,28,1000,G,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,29,3000,K,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,30,1000,G,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,31,3000,A,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,32,1500,A,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,33,2000,K,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,34,1500,J,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,35,2000,I,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,36,3500,D,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,37,1500,I,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,38,1000,C,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,39,1000,E,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,40,1000,D,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,41,3500,C,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,42,3000,B,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,43,1500,E,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,44,1000,H,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,45,1500,F,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,46,2000,L,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,47,1000,F,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,48,1000,H,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,49,1500,B,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,50,2000,J,chosen,NA,NA,NaN,NA,NA,NA
NA,0,1,2,51,3000,L,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,52,3000,A,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,53,2000,K,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,54,1500,D,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,55,3500,H,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,56,1000,E,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,57,1000,B,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,58,3000,B,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,59,1000,H,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,60,2000,J,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,61,1000,A,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,62,1500,I,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,63,2000,L,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,64,3500,G,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,65,1000,G,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,66,3000,C,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,67,1500,J,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,68,1000,K,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,69,1000,L,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,70,1500,F,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,71,1500,C,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,72,1500,E,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,73,3000,D,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,74,2000,I,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,3,75,1000,F,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,76,1000,B,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,77,2000,L,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,78,1500,G,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,79,1000,H,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,80,3000,I,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,81,1500,J,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,82,2000,K,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,83,1000,A,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,84,1500,C,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,85,1000,G,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,86,1000,L,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,87,1000,E,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,88,1000,K,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,89,3500,D,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,90,1500,D,chosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,91,1500,I,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,92,2000,A,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,93,3500,C,unchosen,NA,NA,NaN,NA,NA,NA
NA,0,2,4,94,3000,F,unchosen,NA,NA,NaN,NA,NA,NA
