,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,long_iti,simulation,version
0,,1,0,,1,1500,,,,,Stimuli/Practice_stims/Outcome_estimation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,,,31,2
1,,1,0,,2,1000,,,,,Stimuli/Practice_stims/Outcome_estimation/clay-banks-1KPfcPdbWFM-unsplash.jpg,,,,,31,2
2,,1,0,,3,3000,,,,,Stimuli/Practice_stims/Outcome_estimation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,,,31,2
3,,0,1,1,4,2300,E,unchosen,,,,,,,0,31,2
4,,0,1,1,5,2500,B,chosen,,,,,,,0,31,2
5,,0,1,1,6,1600,A,unchosen,,,,,,,0,31,2
6,,0,1,1,7,1000,L,unchosen,,,,,,,0,31,2
7,,0,1,1,8,2800,F,chosen,,,,,,,0,31,2
8,,0,1,1,9,1200,F,unchosen,,,,,,,0,31,2
9,,0,1,1,10,1000,C,unchosen,,,,,,,0,31,2
10,,0,1,1,11,3400,J,chosen,,,,,,,1,31,2
11,,0,1,1,12,2900,I,unchosen,,,,,,,0,31,2
12,,0,1,1,13,2700,D,chosen,,,,,,,0,31,2
13,,0,1,1,14,2200,B,unchosen,,,,,,,0,31,2
14,,0,1,1,15,1400,H,chosen,,,,,,,0,31,2
15,,0,1,1,16,2200,L,chosen,,,,,,,0,31,2
16,,0,1,1,17,3200,D,unchosen,,,,,,,1,31,2
17,,0,1,1,18,2500,C,chosen,,,,,,,0,31,2
18,,0,1,1,19,1100,G,unchosen,,,,,,,0,31,2
19,,0,1,1,20,2100,I,chosen,,,,,,,0,31,2
20,,0,1,1,21,2600,E,chosen,,,,,,,0,31,2
21,,0,1,1,22,3300,H,unchosen,,,,,,,1,31,2
22,,0,1,1,23,1900,G,chosen,,,,,,,0,31,2
23,,0,1,1,24,1200,J,unchosen,,,,,,,0,31,2
24,,0,1,1,25,2400,K,chosen,,,,,,,0,31,2
25,,0,1,1,26,1300,A,chosen,,,,,,,0,31,2
26,,0,1,1,27,1800,K,unchosen,,,,,,,0,31,2
27,,0,1,2,28,4200,E,unchosen,,,,,,,1,31,2
