"PID","practice","run","block","trial","item_id","stimulus","path","outcome","iti","isi","response","response_acc","response_rt"
NA,1,0,0,1,"prac1",NA,"Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg","gain",1500,1000,NA,NA,NA
NA,1,0,0,2,"prac2",NA,"Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg","no-gain",1000,1500,NA,NA,NA
NA,1,0,0,3,"prac2",NA,"Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg","no-gain",4000,1000,NA,NA,NA
NA,1,0,0,4,"prac1",NA,"Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg","gain",2000,2000,NA,NA,NA
NA,0,1,1,5,"K",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,6,"B",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,7,"J",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,8,"D",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,9,"C",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,10,"E",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,11,"I",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,12,"H",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,13,"L",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,14,"F",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,15,"G",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,1,16,"A",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,17,"H",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,18,"A",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,19,"I",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,20,"J",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,21,"E",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,22,"F",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,23,"K",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,24,"D",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,25,"B",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,26,"L",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,27,"C",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,2,28,"G",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,29,"C",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,30,"A",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,31,"G",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,32,"F",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,33,"I",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,34,"H",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,35,"B",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,36,"E",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,37,"L",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,38,"J",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,39,"D",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,1,3,40,"K",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,41,"C",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,42,"D",NA,"NaN","NaN",NA,NA,NA,NA,NA
NA,0,2,4,43,"H",NA,"NaN","NaN",NA,NA,NA,NA,NA
