,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block
0,,1,0,1,prac1,,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500.0,1000.0,,,,,7,4,,,
1,,1,0,2,prac2,,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000.0,1500.0,,,,,7,4,,,
2,,1,0,3,prac2,,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000.0,1000.0,,,,,7,4,,,
3,,1,0,4,prac1,,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000.0,2000.0,,,,,7,4,,,
4,,0,1,5,K,,,,1100.0,1300.0,,,,0.0,7,4,0.0,4.0,1.0
5,,0,1,6,B,,,,1300.0,2100.0,,,,0.0,7,4,1.0,5.0,1.0
6,,0,1,7,J,,,,1400.0,1900.0,,,,0.0,7,4,2.0,6.0,1.0
7,,0,1,8,D,,,,1200.0,1500.0,,,,0.0,7,4,3.0,7.0,1.0
8,,0,1,9,C,,,,1900.0,2600.0,,,,0.0,7,4,4.0,8.0,1.0
9,,0,1,10,E,,,,1100.0,3400.0,,,,0.0,7,4,5.0,9.0,1.0
10,,0,1,11,I,,,,2400.0,1700.0,,,,0.0,7,4,6.0,10.0,1.0
11,,0,1,12,H,,,,4500.0,2100.0,,,,1.0,7,4,7.0,11.0,1.0
12,,0,1,13,L,,,,1900.0,2100.0,,,,0.0,7,4,8.0,12.0,1.0
13,,0,1,14,F,,,,1900.0,3100.0,,,,0.0,7,4,9.0,13.0,1.0
14,,0,1,15,G,,,,1200.0,1400.0,,,,0.0,7,4,10.0,14.0,1.0
15,,0,1,16,A,,,,1200.0,1500.0,,,,0.0,7,4,11.0,15.0,1.0
