"","PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path","version"
"1",NA,1,"prac1","original",1,0,0,"NaN","NaN",NA,NA,"Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"NaN"
"2",NA,2,"prac2","scramble",1,0,0,"NaN","NaN",NA,NA,"Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg",NA,NA,2500,2500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"NaN"
"3",NA,3,"prac3","scramble",1,0,0,"NaN","NaN",NA,NA,"Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg",NA,NA,3000,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"NaN"
"4",NA,4,"prac4","original",1,0,0,"NaN","NaN",NA,NA,"Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"NaN"
"5",NA,5,"E","scramble",0,1,1,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"6",NA,6,"K","original",0,1,1,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,5500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"7",NA,7,"H","scramble",0,1,1,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,2000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"8",NA,8,"J","original",0,1,1,"faces","objects",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"9",NA,9,"B","scramble",0,1,1,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2000,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"10",NA,10,"I","original",0,1,1,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"11",NA,11,"I","scramble",0,1,1,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,1600,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"12",NA,12,"G","scramble",0,1,1,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"13",NA,13,"B","original",0,1,1,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"14",NA,14,"A","scramble",0,1,1,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1000,1900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"15",NA,15,"E","original",0,1,1,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"16",NA,16,"D","scramble",0,1,1,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"17",NA,17,"C","scramble",0,1,1,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"18",NA,18,"L","original",0,1,1,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"19",NA,19,"G","original",0,1,1,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"20",NA,20,"K","scramble",0,1,1,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,4500,1800,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"21",NA,21,"D","original",0,1,1,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"22",NA,22,"F","scramble",0,1,1,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"23",NA,23,"C","original",0,1,1,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"24",NA,24,"L","scramble",0,1,1,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,3000,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"25",NA,25,"H","original",0,1,1,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"26",NA,26,"A","original",0,1,1,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"27",NA,27,"J","scramble",0,1,1,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2500,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"28",NA,28,"F","original",0,1,1,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"29",NA,29,"G","scramble",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,1800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"30",NA,30,"K","original",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"31",NA,31,"K","scramble",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,2500,1400,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"32",NA,32,"B","original",0,1,2,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"33",NA,33,"L","scramble",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,2500,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"34",NA,34,"B","scramble",0,1,2,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2500,1700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"35",NA,35,"L","original",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"36",NA,36,"E","original",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"37",NA,37,"A","scramble",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,3500,1200,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
