"","PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path","version"
"1",NA,1,"prac1","original",1,0,0,"NaN","NaN",NA,NA,"Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"NaN"
"2",NA,2,"prac2","scramble",1,0,0,"NaN","NaN",NA,NA,"Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg",NA,NA,2500,2500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"NaN"
"3",NA,3,"prac3","scramble",1,0,0,"NaN","NaN",NA,NA,"Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg",NA,NA,3000,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"NaN"
"4",NA,4,"prac4","original",1,0,0,"NaN","NaN",NA,NA,"Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"NaN"
"5",NA,5,"L","scramble",0,1,1,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"6",NA,6,"K","original",0,1,1,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"7",NA,7,"H","scramble",0,1,1,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,2000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"8",NA,8,"I","original",0,1,1,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"9",NA,9,"E","scramble",0,1,1,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"10",NA,10,"B","original",0,1,1,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"11",NA,11,"J","scramble",0,1,1,"faces","objects",NA,NA,"NaN","NaN",NA,NA,5500,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"12",NA,12,"G","original",0,1,1,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"13",NA,13,"K","scramble",0,1,1,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,2000,1800,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"14",NA,14,"C","original",0,1,1,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"15",NA,15,"F","original",0,1,1,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"16",NA,16,"F","scramble",0,1,1,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,4500,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"17",NA,17,"L","original",0,1,1,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"18",NA,18,"C","scramble",0,1,1,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"19",NA,19,"E","original",0,1,1,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"20",NA,20,"D","scramble",0,1,1,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"21",NA,21,"D","original",0,1,1,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"22",NA,22,"J","original",0,1,1,"faces","objects",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"23",NA,23,"A","scramble",0,1,1,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,3500,1900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"24",NA,24,"A","original",0,1,1,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,6000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"25",NA,25,"I","scramble",0,1,1,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,1600,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"26",NA,26,"B","scramble",0,1,1,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2500,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"27",NA,27,"H","original",0,1,1,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"28",NA,28,"G","scramble",0,1,1,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"29",NA,29,"F","original",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"30",NA,30,"B","scramble",0,1,2,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1500,1700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"31",NA,31,"L","scramble",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1000,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"32",NA,32,"D","original",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,5500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"33",NA,33,"E","scramble",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"34",NA,34,"E","original",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"35",NA,35,"B","original",0,1,2,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"36",NA,36,"G","scramble",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,4500,1800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
"37",NA,37,"I","original",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"b"
