success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,response,stimulus_id,painting,index,stimulus_left,stimulus_right,explain_trial,reward_type,rating_left,rating_right,painting_left,painting_right,block,left_chosen,chosen_obj,unchosen_obj,explain_response,reward_amount,see_reward_rt,register_reward_response,register_reward_rt,deliberation_reward_tally,stimulus_left_deliberation_ind,stimulus_right_deliberation_ind,chosen_trial,gain_left,higher_outcome_chosen,old_pair,chosen_object,rt_pairs,left_object_chosen,rt_object,old_response,new_rating,deliberated_stim,initial_rating,outcome_eval_rt,outcome_eval_response,outcome_eval_gain,outcome_eval_acc,preamble,outcome_eval_confidence,outcome_eval_confidence_rt,total_reward_tally,stim_type
TRUE,full_screen,d04132020hr1542,fullscreen,0,13467,0.0-0.0,0,0,1mICX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating_instructions,,instructions,1,25165,0.0-1.0-0.0,0,0,1mICX,"[{""page_index"":0,""viewing_time"":9802},{""page_index"":1,""viewing_time"":1891}]",11694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating_comprehension_check,,survey-multi-choice,2,30745,0.0-1.0-1.0,0,0,1mICX,,5573,"{""Q0"":""True"",""Q1"":""Mouse""}",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,start_phase,,html-keyboard-response,3,34817,0.0-2.0,0,0,1mICX,,4062,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,4,38743,0.0-3.0,0,0,1mICX,,3922,,,,23,15,Lassc1.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,5,42782,0.0-4.0,0,0,1mICX,,4035,,,,66,63,Lewia1.jpg,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,6,46437,0.0-5.0,0,0,1mICX,,3651,,,,7,47,Vina1n.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,7,52717,0.0-6.0,0,0,1mICX,,6276,,,,64,55,Clia1n.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,8,56259,0.0-7.0,0,0,1mICX,,3536,,,,63,38,Krasa1.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,9,59994,0.0-8.0,0,0,1mICX,,3731,,,,82,32,Kupkb1.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,10,63009,0.0-9.0,0,0,1mICX,,3011,,,,5,33,Kline1.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,11,66126,0.0-10.0,0,0,1mICX,,3113,,,,18,3,Klib1n.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,12,69005,0.0-11.0,0,0,1mICX,,2877,,,,28,37,Deka1n.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rating,,html-slider-response,13,72840,0.0-12.0,0,0,1mICX,,3832,,,,54,65,Roha1n.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
