"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1359","fullscreen","0","21753","0.0-0.0","0","0","1K9vK","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","94536","0.0-1.0-0.0","0","0","1K9vK","People","[{""page_index"":0,""viewing_time"":17748},{""page_index"":1,""viewing_time"":55031}]","72780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","100625","0.0-1.0-1.0","0","0","1K9vK","People","","6082","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","102642","0.0-2.0","0","0","1K9vK","People","","2014","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","106360","0.0-3.0","0","0","1K9vK","People","","3714","","","","","62","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","108832","0.0-4.0","0","0","1K9vK","People","","2469","","","","","85","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","111295","0.0-5.0","0","0","1K9vK","People","","2461","","","","","32","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","113808","0.0-6.0","0","0","1K9vK","People","","2511","","","","","41","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","116033","0.0-7.0","0","0","1K9vK","People","","2221","","","","","69","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","118455","0.0-8.0","0","0","1K9vK","People","","2419","","","","","77","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
