"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2036","fullscreen","0","10974","0.0-0.0","0","0","1aJL1","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","82348","0.0-1.0-0.0","0","0","1aJL1","Scenes","[{""page_index"":0,""viewing_time"":7990},{""page_index"":1,""viewing_time"":61176},{""page_index"":0,""viewing_time"":1063},{""page_index"":1,""viewing_time"":1143}]","71372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","86886","0.0-1.0-1.0","0","0","1aJL1","Scenes","","4536","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","88581","0.0-2.0","0","0","1aJL1","Scenes","","1691","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","92504","0.0-3.0","0","0","1aJL1","Scenes","","3920","","","","100","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","94410","0.0-4.0","0","0","1aJL1","Scenes","","1905","","","","100","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","96294","0.0-5.0","0","0","1aJL1","Scenes","","1883","","","","100","125","john-lee-oMneOBYhJxY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","98568","0.0-6.0","0","0","1aJL1","Scenes","","2273","","","","100","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","100937","0.0-7.0","0","0","1aJL1","Scenes","","2368","","","","100","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","103360","0.0-8.0","0","0","1aJL1","Scenes","","2421","","","","74","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","105954","0.0-9.0","0","0","1aJL1","Scenes","","2593","","","","100","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","108037","0.0-10.0","0","0","1aJL1","Scenes","","2082","","","","100","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","110673","0.0-11.0","0","0","1aJL1","Scenes","","2634","","","","81","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","112999","0.0-12.0","0","0","1aJL1","Scenes","","2324","","","","86","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","115310","0.0-13.0","0","0","1aJL1","Scenes","","2309","","","","90","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","117254","0.0-14.0","0","0","1aJL1","Scenes","","1943","","","","66","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","118897","0.0-15.0","0","0","1aJL1","Scenes","","1641","","","","57","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","121257","0.0-16.0","0","0","1aJL1","Scenes","","2358","","","","56","113","damian-denis-D8R_txR_0PE-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","123343","0.0-17.0","0","0","1aJL1","Scenes","","2084","","","","94","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","125683","0.0-18.0","0","0","1aJL1","Scenes","","2339","","","","100","139","samsommer-vddccTqwal8-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","127393","0.0-19.0","0","0","1aJL1","Scenes","","1708","","","","83","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","128811","0.0-20.0","0","0","1aJL1","Scenes","","1416","","","","71","103","anton-darius-FBJugtbHsWU-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","130321","0.0-21.0","0","0","1aJL1","Scenes","","1508","","","","55","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","131799","0.0-22.0","0","0","1aJL1","Scenes","","1476","","","","63","118","henry-be-NLF6hTe4PAg-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","133104","0.0-23.0","0","0","1aJL1","Scenes","","1305","","","","69","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","134440","0.0-24.0","0","0","1aJL1","Scenes","","1334","","","","71","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","136932","0.0-25.0","0","0","1aJL1","Scenes","","2491","","","","84","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","138561","0.0-26.0","0","0","1aJL1","Scenes","","1628","","","","97","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","140251","0.0-27.0","0","0","1aJL1","Scenes","","1689","","","","58","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","141659","0.0-28.0","0","0","1aJL1","Scenes","","1406","","","","68","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","143391","0.0-29.0","0","0","1aJL1","Scenes","","1730","","","","83","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","145081","0.0-30.0","0","0","1aJL1","Scenes","","1689","","","","61","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","146330","0.0-31.0","0","0","1aJL1","Scenes","","1248","","","","77","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","147867","0.0-32.0","0","0","1aJL1","Scenes","","1537","","","","84","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","149077","0.0-33.0","0","0","1aJL1","Scenes","","1209","","","","69","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","150278","0.0-34.0","0","0","1aJL1","Scenes","","1199","","","","73","115","darrell-cassell-hoCXpPUMCoE-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","151459","0.0-35.0","0","0","1aJL1","Scenes","","1180","","","","64","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","152570","0.0-36.0","0","0","1aJL1","Scenes","","1109","","","","82","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","154449","0.0-37.0","0","0","1aJL1","Scenes","","1878","","","","40","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","155436","0.0-38.0","0","0","1aJL1","Scenes","","986","","","","65","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","157546","0.0-39.0","0","0","1aJL1","Scenes","","2109","","","","79","107","benjamin-davies-Zm2n2O7Fph4-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","159658","0.0-40.0","0","0","1aJL1","Scenes","","2110","","","","66","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","161289","0.0-41.0","0","0","1aJL1","Scenes","","1630","","","","78","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","163454","0.0-42.0","0","0","1aJL1","Scenes","","2163","","","","90","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","165317","0.0-43.0","0","0","1aJL1","Scenes","","1862","","","","100","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","45","167056","0.0-44.0","0","0","1aJL1","Scenes","","1738","","","","100","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","46","168438","0.0-45.0","0","0","1aJL1","Scenes","","1380","","","","76","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","47","170500","0.0-46.0","0","0","1aJL1","Scenes","","2061","","","","88","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","48","172448","0.0-47.0","0","0","1aJL1","Scenes","","1947","","","","87","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","49","174056","0.0-48.0","0","0","1aJL1","Scenes","","1607","","","","85","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","50","175553","0.0-49.0","0","0","1aJL1","Scenes","","1497","","","","77","132","meng-ji-8BH_M-53CyA-unsplash.jpg","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","51","177158","0.0-50.0","0","0","1aJL1","Scenes","","1603","","","","78","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","52","178672","0.0-51.0","0","0","1aJL1","Scenes","","1513","","","","82","130","lina-loos-04-C1NZk1hE-unsplash.jpg","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","53","180827","0.0-52.0","0","0","1aJL1","Scenes","","2154","","","","100","124","johannes-plenio-sPt5RIjKfpk-unsplash.jpg","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_instructions","","instructions","54","375082","0.0-53.0-0.0","0","0","1aJL1","Scenes","[{""page_index"":0,""viewing_time"":157854},{""page_index"":1,""viewing_time"":7445},{""page_index"":2,""viewing_time"":10828},{""page_index"":3,""viewing_time"":15897},{""page_index"":4,""viewing_time"":2228}]","194252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_comprehension_check","","survey-multi-choice","55","396865","0.0-53.0-1.0","0","0","1aJL1","Scenes","","21781","{""Q0"":""True"",""Q1"":""False"",""Q2"":""Consider carefully and take your time (up to 10 seconds)"",""Q3"":""True"",""Q4"":""D""}","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","56","399399","0.0-53.0-2.0-0.0","0","1","1aJL1","Scenes","","2531","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_instructions","","instructions","57","439626","0.0-53.1-0.1","0","0","1aJL1","Scenes","[{""page_index"":0,""viewing_time"":1580},{""page_index"":1,""viewing_time"":10566},{""page_index"":2,""viewing_time"":13260},{""page_index"":3,""viewing_time"":13566},{""page_index"":4,""viewing_time"":1254}]","40226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_comprehension_check","","survey-multi-choice","58","461331","0.0-53.1-1.1","0","0","1aJL1","Scenes","","21702","{""Q0"":""True"",""Q1"":""True"",""Q2"":""Consider carefully and take your time (up to 10 seconds)"",""Q3"":""True"",""Q4"":""D""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","59","462943","0.0-54.0","0","0","1aJL1","Scenes","","1611","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","first_deliberation_block","","html-keyboard-response","60","466094","0.0-55.0","0","0","1aJL1","Scenes","","3150","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","61","467102","0.0-56.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","62","470956","0.0-56.0-1.0","0","0","1aJL1","Scenes","","3852","","","68","","","","0","145","126","0","1","84","84","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","1","1","145","126","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","63","471462","0.0-56.0-2.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","0","145","126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","64","472471","0.0-57.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","65","474151","0.0-57.0-1.0","0","0","1aJL1","Scenes","","1679","","","68","","","","1","136","116","1","1","83","71","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","david-marcu-W5MhJ6cy1So-unsplash.jpg","1","1","136","116","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","66","474654","0.0-57.0-2.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","1","136","116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","explain_trial","","survey-text","67","480725","0.0-57.0-5.0-0.0","0","0","1aJL1","Scenes","","6069","{""Q0"":""It is more unique""}","","","","","","1","136","116","","","","","","","","","","","{""Q0"":""It is more unique""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","68","481734","0.0-58.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","69","485448","0.0-58.0-1.0","0","0","1aJL1","Scenes","","3713","","","68","","","","2","119","123","1","1","83","78","james-wheeler-AFC0XvICMgs-unsplash.jpg","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","1","1","119","123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","70","485950","0.0-58.0-2.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","2","119","123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","explain_trial","","survey-text","71","500712","0.0-58.0-5.0-0.0","0","0","1aJL1","Scenes","","14760","{""Q0"":""I think there is more beautiful colors in this one""}","","","","","","2","119","123","","","","","","","","","","","{""Q0"":""I think there is more beautiful colors in this one""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","72","501718","0.0-59.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","73","508583","0.0-59.0-1.0","0","0","1aJL1","Scenes","","6863","","","68","","","","3","144","131","1","1","77","85","solotravelgoals-7kLufxYoqWk-unsplash.jpg","luca-bravo-hFzIoD0F_i8-unsplash.jpg","1","1","144","131","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","74","509086","0.0-59.0-2.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","3","144","131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","explain_trial","","survey-text","75","523246","0.0-59.0-5.0-0.0","0","0","1aJL1","Scenes","","14159","{""Q0"":""I can see it being more popular but they are both great""}","","","","","","3","144","131","","","","","","","","","","","{""Q0"":""I can see it being more popular but they are both great""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","76","524253","0.0-60.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","77","534262","0.0-60.0-1.0","0","0","1aJL1","Scenes","","null","","","null","","","","4","132","108","0","-1","77","90","meng-ji-8BH_M-53CyA-unsplash.jpg","benjamin-voros-phIFdC6lA4E-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_too_slow","","html-keyboard-response","78","535765","0.0-60.0-4.0-0.0","1","0","1aJL1","Scenes","","null","","","null","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","79","536774","0.0-60.1-0.1","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","80","540819","0.0-60.1-1.1","0","0","1aJL1","Scenes","","4043","","","75","","","","4","132","108","0","-1","77","90","meng-ji-8BH_M-53CyA-unsplash.jpg","benjamin-voros-phIFdC6lA4E-unsplash.jpg","1","0","108","132","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","81","541326","0.0-60.1-2.1-0.1","0","0","1aJL1","Scenes","","null","","","null","","","","4","132","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","82","542331","0.0-61.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","83","544916","0.0-61.0-1.0","0","0","1aJL1","Scenes","","2585","","","75","","","","5","111","130","0","1","81","82","claudio-testa-U3F2o6vz3bs-unsplash.jpg","lina-loos-04-C1NZk1hE-unsplash.jpg","1","0","130","111","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","84","545422","0.0-61.0-2.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","5","111","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","85","546430","0.0-62.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","86","547989","0.0-62.0-1.0","0","0","1aJL1","Scenes","","1558","","","68","","","","6","127","120","1","-1","78","86","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","1","1","127","120","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","87","548494","0.0-62.0-2.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","6","127","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","explain_trial","","survey-text","88","555673","0.0-62.0-5.0-0.0","0","0","1aJL1","Scenes","","7177","{""Q0"":""Makes me feel relaxed""}","","","","","","6","127","120","","","","","","","","","","","{""Q0"":""Makes me feel relaxed""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","89","556676","0.0-63.0-0.0","0","0","1aJL1","Scenes","","null","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
