"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1359","fullscreen","0","11409","0.0-0.0","0","0","1ae5n","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","18067","0.0-1.0-0.0","0","0","1ae5n","People","[{""page_index"":0,""viewing_time"":4776},{""page_index"":1,""viewing_time"":1877}]","6653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","23635","0.0-1.0-1.0","0","0","1ae5n","People","","5557","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","25789","0.0-2.0","0","0","1ae5n","People","","2149","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","30785","0.0-3.0","0","0","1ae5n","People","","4991","","","","","74","44","rikonavt-HQjfrvdTfak-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","33312","0.0-4.0","0","0","1ae5n","People","","2525","","","","","56","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","35944","0.0-5.0","0","0","1ae5n","People","","2630","","","","","80","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","38805","0.0-6.0","0","0","1ae5n","People","","2858","","","","","57","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","42166","0.0-7.0","0","0","1ae5n","People","","3360","","","","","38","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","45106","0.0-8.0","0","0","1ae5n","People","","2938","","","","","26","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","48584","0.0-9.0","0","0","1ae5n","People","","3476","","","","","55","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","52027","0.0-10.0","0","0","1ae5n","People","","3441","","","","","62","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","54904","0.0-11.0","0","0","1ae5n","People","","2875","","","","","82","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","59934","0.0-12.0","0","0","1ae5n","People","","5028","","","","","73","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","71905","0.0-13.0","0","0","1ae5n","People","","11969","","","","","75","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","77505","0.0-14.0","0","0","1ae5n","People","","5597","","","","","62","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","80161","0.0-15.0","0","0","1ae5n","People","","2653","","","","","34","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","82411","0.0-16.0","0","0","1ae5n","People","","2248","","","","","43","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","84637","0.0-17.0","0","0","1ae5n","People","","2224","","","","","57","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","86963","0.0-18.0","0","0","1ae5n","People","","2324","","","","","62","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","93191","0.0-19.0","0","0","1ae5n","People","","6226","","","","","61","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","96707","0.0-20.0","0","0","1ae5n","People","","3514","","","","","47","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","99490","0.0-21.0","0","0","1ae5n","People","","2781","","","","","35","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","102220","0.0-22.0","0","0","1ae5n","People","","2728","","","","","53","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","104339","0.0-23.0","0","0","1ae5n","People","","2117","","","","","31","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","106999","0.0-24.0","0","0","1ae5n","People","","2658","","","","","44","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","109394","0.0-25.0","0","0","1ae5n","People","","2392","","","","","61","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","111935","0.0-26.0","0","0","1ae5n","People","","2540","","","","","56","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","114564","0.0-27.0","0","0","1ae5n","People","","2627","","","","","56","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","117365","0.0-28.0","0","0","1ae5n","People","","2799","","","","","46","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","119775","0.0-29.0","0","0","1ae5n","People","","2409","","","","","60","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","122489","0.0-30.0","0","0","1ae5n","People","","2712","","","","","57","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","125345","0.0-31.0","0","0","1ae5n","People","","2854","","","","","47","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","127753","0.0-32.0","0","0","1ae5n","People","","2406","","","","","39","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","136009","0.0-33.0","0","0","1ae5n","People","","8254","","","","","37","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","139599","0.0-34.0","0","0","1ae5n","People","","3588","","","","","70","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","141663","0.0-35.0","0","0","1ae5n","People","","2062","","","","","55","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","145375","0.0-36.0","0","0","1ae5n","People","","3710","","","","","18","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","148155","0.0-37.0","0","0","1ae5n","People","","2778","","","","","60","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","150563","0.0-38.0","0","0","1ae5n","People","","2406","","","","","39","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","153623","0.0-39.0","0","0","1ae5n","People","","3058","","","","","66","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","155975","0.0-40.0","0","0","1ae5n","People","","2350","","","","","36","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","158713","0.0-41.0","0","0","1ae5n","People","","2736","","","","","56","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","161233","0.0-42.0","0","0","1ae5n","People","","2518","","","","","32","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","163313","0.0-43.0","0","0","1ae5n","People","","2078","","","","","45","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","45","169317","0.0-44.0","0","0","1ae5n","People","","6002","","","","","59","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","46","171803","0.0-45.0","0","0","1ae5n","People","","2484","","","","","54","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","47","174483","0.0-46.0","0","0","1ae5n","People","","2678","","","","","81","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","48","177239","0.0-47.0","0","0","1ae5n","People","","2754","","","","","66","18","good-faces-xmSWVeGEnJw-unsplash.jpg","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","49","180203","0.0-48.0","0","0","1ae5n","People","","2962","","","","","60","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","50","183989","0.0-49.0","0","0","1ae5n","People","","3784","","","","","63","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","51","189329","0.0-50.0","0","0","1ae5n","People","","5338","","","","","58","24","joel-mott-LaK153ghdig-unsplash.jpg","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
