"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1359","fullscreen","0","6969","0.0-0.0","0","0","1pow4","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","17442","0.0-1.0-0.0","0","0","1pow4","People","[{""page_index"":0,""viewing_time"":8818},{""page_index"":1,""viewing_time"":1649}]","10468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","21820","0.0-1.0-1.0","0","0","1pow4","People","","4375","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","23760","0.0-2.0","0","0","1pow4","People","","1937","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","27589","0.0-3.0","0","0","1pow4","People","","3827","","","","","61","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","30332","0.0-4.0","0","0","1pow4","People","","2741","","","","","77","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","33466","0.0-5.0","0","0","1pow4","People","","3134","","","","","56","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","35895","0.0-6.0","0","0","1pow4","People","","2427","","","","","65","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","37965","0.0-7.0","0","0","1pow4","People","","2068","","","","","82","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","40107","0.0-8.0","0","0","1pow4","People","","2141","","","","","54","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","43744","0.0-9.0","0","0","1pow4","People","","3635","","","","","77","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","45884","0.0-10.0","0","0","1pow4","People","","2139","","","","","58","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","48253","0.0-11.0","0","0","1pow4","People","","2367","","","","","76","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","50452","0.0-12.0","0","0","1pow4","People","","2198","","","","","90","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","52901","0.0-13.0","0","0","1pow4","People","","2447","","","","","60","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","55156","0.0-14.0","0","0","1pow4","People","","2254","","","","","69","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","57797","0.0-15.0","0","0","1pow4","People","","2638","","","","","73","24","joel-mott-LaK153ghdig-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
