"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2047","fullscreen","0","28065","0.0-0.0","0","0","8Mzwz","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","41493","0.0-1.0-0.0","0","0","8Mzwz","Scenes","[{""page_index"":0,""viewing_time"":9657},{""page_index"":1,""viewing_time"":3765}]","13423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","49028","0.0-1.0-1.0","0","0","8Mzwz","Scenes","","7531","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","52170","0.0-2.0","0","0","8Mzwz","Scenes","","3137","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","57267","0.0-3.0","0","0","8Mzwz","Scenes","","5091","","","","78","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","60867","0.0-4.0","0","0","8Mzwz","Scenes","","3597","","","","85","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","77298","0.0-5.0","0","0","8Mzwz","Scenes","","16428","","","","62","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","81738","0.0-6.0","0","0","8Mzwz","Scenes","","4438","","","","72","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","85618","0.0-7.0","0","0","8Mzwz","Scenes","","3877","","","","34","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","89562","0.0-8.0","0","0","8Mzwz","Scenes","","3942","","","","74","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","92994","0.0-9.0","0","0","8Mzwz","Scenes","","3430","","","","87","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","156408","0.0-10.0","0","0","8Mzwz","Scenes","","63411","","","","77","132","meng-ji-8BH_M-53CyA-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","157833","0.0-11.0","0","0","8Mzwz","Scenes","","1422","","","","67","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","159175","0.0-12.0","0","0","8Mzwz","Scenes","","1340","","","","68","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","160727","0.0-13.0","0","0","8Mzwz","Scenes","","1549","","","","79","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
