"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1541","fullscreen","0","6606","0.0-0.0","0","0","9nseM","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","74347","0.0-1.0-0.0","0","0","9nseM","People","[{""page_index"":0,""viewing_time"":65908},{""page_index"":1,""viewing_time"":1827}]","67736","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","83505","0.0-1.0-1.0","0","0","9nseM","People","","9152","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","86699","0.0-2.0","0","0","9nseM","People","","3190","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","93016","0.0-3.0","0","0","9nseM","People","","6313","","","","","88","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","97728","0.0-4.0","0","0","9nseM","People","","4709","","","","","66","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","101721","0.0-5.0","0","0","9nseM","People","","3990","","","","","66","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","106552","0.0-6.0","0","0","9nseM","People","","4828","","","","","95","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","111641","0.0-7.0","0","0","9nseM","People","","5087","","","","","26","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","116608","0.0-8.0","0","0","9nseM","People","","4964","","","","","89","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","120999","0.0-9.0","0","0","9nseM","People","","4388","","","","","35","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","126096","0.0-10.0","0","0","9nseM","People","","5094","","","","","7","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","133498","0.0-11.0","0","0","9nseM","People","","7401","","","","","83","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","138496","0.0-12.0","0","0","9nseM","People","","4995","","","","","86","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","143192","0.0-13.0","0","0","9nseM","People","","4694","","","","","67","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","147920","0.0-14.0","0","0","9nseM","People","","4726","","","","","36","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","152719","0.0-15.0","0","0","9nseM","People","","4797","","","","","70","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","157032","0.0-16.0","0","0","9nseM","People","","4311","","","","","16","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","161967","0.0-17.0","0","0","9nseM","People","","4932","","","","","31","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","166640","0.0-18.0","0","0","9nseM","People","","4672","","","","","70","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","170857","0.0-19.0","0","0","9nseM","People","","4214","","","","","31","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","175963","0.0-20.0","0","0","9nseM","People","","5103","","","","","52","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","192844","0.0-21.0","0","0","9nseM","People","","16878","","","","","38","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","199884","0.0-22.0","0","0","9nseM","People","","7036","","","","","32","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","204428","0.0-23.0","0","0","9nseM","People","","4542","","","","","72","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","208795","0.0-24.0","0","0","9nseM","People","","4364","","","","","20","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","212693","0.0-25.0","0","0","9nseM","People","","3895","","","","","33","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","216622","0.0-26.0","0","0","9nseM","People","","3927","","","","","75","24","joel-mott-LaK153ghdig-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","221357","0.0-27.0","0","0","9nseM","People","","4733","","","","","71","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","226014","0.0-28.0","0","0","9nseM","People","","4653","","","","","23","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","230564","0.0-29.0","0","0","9nseM","People","","4548","","","","","75","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","236500","0.0-30.0","0","0","9nseM","People","","5933","","","","","84","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","244155","0.0-31.0","0","0","9nseM","People","","7654","","","","","78","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","249443","0.0-32.0","0","0","9nseM","People","","5286","","","","","82","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","254659","0.0-33.0","0","0","9nseM","People","","5215","","","","","79","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","260290","0.0-34.0","0","0","9nseM","People","","5630","","","","","0","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","263940","0.0-35.0","0","0","9nseM","People","","3647","","","","","78","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","267788","0.0-36.0","0","0","9nseM","People","","3846","","","","","76","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","272715","0.0-37.0","0","0","9nseM","People","","4924","","","","","85","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","276560","0.0-38.0","0","0","9nseM","People","","3843","","","","","84","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","280457","0.0-39.0","0","0","9nseM","People","","3895","","","","","31","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","284629","0.0-40.0","0","0","9nseM","People","","4170","","","","","66","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","288088","0.0-41.0","0","0","9nseM","People","","3457","","","","","66","18","good-faces-xmSWVeGEnJw-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","294750","0.0-42.0","0","0","9nseM","People","","6660","","","","","81","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","300451","0.0-43.0","0","0","9nseM","People","","5699","","","","","16","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","45","306066","0.0-44.0","0","0","9nseM","People","","5613","","","","","61","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","46","319109","0.0-45.0","0","0","9nseM","People","","13041","","","","","56","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","47","324116","0.0-46.0","0","0","9nseM","People","","5004","","","","","74","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","48","328378","0.0-47.0","0","0","9nseM","People","","4259","","","","","100","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","49","332524","0.0-48.0","0","0","9nseM","People","","4143","","","","","56","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","50","337267","0.0-49.0","0","0","9nseM","People","","4740","","","","","43","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","51","340812","0.0-50.0","0","0","9nseM","People","","3543","","","","","63","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","52","344330","0.0-51.0","0","0","9nseM","People","","3515","","","","","14","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","53","348418","0.0-52.0","0","0","9nseM","People","","4085","","","","","61","44","rikonavt-HQjfrvdTfak-unsplash.jpg","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_instructions","","instructions","54","434900","0.0-53.0-0.0","0","0","9nseM","People","[{""page_index"":0,""viewing_time"":13450},{""page_index"":1,""viewing_time"":51176},{""page_index"":2,""viewing_time"":5281},{""page_index"":3,""viewing_time"":14074},{""page_index"":4,""viewing_time"":2496}]","86478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","55","467763","0.0-53.0-1.0","0","0","9nseM","People","","32857","{""Q0"":""True"",""Q1"":""False"",""Q2"":""Consider carefully and take your time (up to 10 seconds)"",""Q3"":""True"",""Q4"":""K""}","deliberation_comprehension_check","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","56","470897","0.0-53.0-2.0-0.0","0","1","9nseM","People","","3131","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_instructions","","instructions","57","548866","0.0-53.1-0.1","0","0","9nseM","People","[{""page_index"":0,""viewing_time"":13865},{""page_index"":1,""viewing_time"":4680},{""page_index"":2,""viewing_time"":47454},{""page_index"":3,""viewing_time"":9654},{""page_index"":4,""viewing_time"":2314}]","77967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","58","845852","0.0-53.1-1.1","0","0","9nseM","People","","296982","{""Q0"":""True"",""Q1"":""False"",""Q2"":""Consider carefully and take your time (up to 10 seconds)"",""Q3"":""True"",""Q4"":""D""}","deliberation_comprehension_check","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","59","848866","0.0-53.1-2.1-0.1","0","1","9nseM","People","","3013","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
