"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2205","fullscreen","0","38622","0.0-0.0","0","0","A616I","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","51299","0.0-1.0-0.0","0","0","A616I","Scenes","[{""page_index"":0,""viewing_time"":10569},{""page_index"":1,""viewing_time"":2092}]","12662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","57538","0.0-1.0-1.0","0","0","A616I","Scenes","","6225","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","59222","0.0-2.0","0","0","A616I","Scenes","","1671","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","61696","0.0-3.0","0","0","A616I","Scenes","","2460","","","","89","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","63553","0.0-4.0","0","0","A616I","Scenes","","1846","","","","80","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","66575","0.0-5.0","0","0","A616I","Scenes","","3007","","","","75","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","68512","0.0-6.0","0","0","A616I","Scenes","","1924","","","","18","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","70266","0.0-7.0","0","0","A616I","Scenes","","1745","","","","71","130","lina-loos-04-C1NZk1hE-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","72803","0.0-8.0","0","0","A616I","Scenes","","2526","","","","38","103","anton-darius-FBJugtbHsWU-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","74511","0.0-9.0","0","0","A616I","Scenes","","1694","","","","66","132","meng-ji-8BH_M-53CyA-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","76477","0.0-10.0","0","0","A616I","Scenes","","1953","","","","62","139","samsommer-vddccTqwal8-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","78316","0.0-11.0","0","0","A616I","Scenes","","1828","","","","83","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","81412","0.0-12.0","0","0","A616I","Scenes","","3086","","","","56","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","85700","0.0-13.0","0","0","A616I","Scenes","","4275","","","","31","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","88642","0.0-14.0","0","0","A616I","Scenes","","2931","","","","51","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
