"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2034","fullscreen","0","8788","0.0-0.0","0","0","AT3xf","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","15594","0.0-1.0-0.0","0","0","AT3xf","Scenes","[{""page_index"":0,""viewing_time"":5081},{""page_index"":1,""viewing_time"":1725}]","6806","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","20595","0.0-1.0-1.0","0","0","AT3xf","Scenes","","5000","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","22397","0.0-2.0","0","0","AT3xf","Scenes","","1800","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","24693","0.0-3.0","0","0","AT3xf","Scenes","","2295","","","","70","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","26385","0.0-4.0","0","0","AT3xf","Scenes","","1690","","","","88","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","27881","0.0-5.0","0","0","AT3xf","Scenes","","1494","","","","79","139","samsommer-vddccTqwal8-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","29480","0.0-6.0","0","0","AT3xf","Scenes","","1597","","","","93","124","johannes-plenio-sPt5RIjKfpk-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","30785","0.0-7.0","0","0","AT3xf","Scenes","","1304","","","","92","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","32350","0.0-8.0","0","0","AT3xf","Scenes","","1565","","","","67","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","34201","0.0-9.0","0","0","AT3xf","Scenes","","1850","","","","59","107","benjamin-davies-Zm2n2O7Fph4-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","35911","0.0-10.0","0","0","AT3xf","Scenes","","1709","","","","92","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","37457","0.0-11.0","0","0","AT3xf","Scenes","","1544","","","","85","125","john-lee-oMneOBYhJxY-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","38998","0.0-12.0","0","0","AT3xf","Scenes","","1539","","","","82","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","40576","0.0-13.0","0","0","AT3xf","Scenes","","1577","","","","66","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","42033","0.0-14.0","0","0","AT3xf","Scenes","","1457","","","","67","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","43553","0.0-15.0","0","0","AT3xf","Scenes","","1518","","","","64","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","45274","0.0-16.0","0","0","AT3xf","Scenes","","1721","","","","57","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","46867","0.0-17.0","0","0","AT3xf","Scenes","","1591","","","","57","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","48644","0.0-18.0","0","0","AT3xf","Scenes","","1777","","","","56","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","51752","0.0-19.0","0","0","AT3xf","Scenes","","3108","","","","67","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","53357","0.0-20.0","0","0","AT3xf","Scenes","","1603","","","","75","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","54830","0.0-21.0","0","0","AT3xf","Scenes","","1473","","","","77","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","56320","0.0-22.0","0","0","AT3xf","Scenes","","1488","","","","66","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","58351","0.0-23.0","0","0","AT3xf","Scenes","","2031","","","","59","113","damian-denis-D8R_txR_0PE-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","59889","0.0-24.0","0","0","AT3xf","Scenes","","1538","","","","56","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","62129","0.0-25.0","0","0","AT3xf","Scenes","","2238","","","","56","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","64322","0.0-26.0","0","0","AT3xf","Scenes","","2191","","","","93","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","66220","0.0-27.0","0","0","AT3xf","Scenes","","1897","","","","79","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","67553","0.0-28.0","0","0","AT3xf","Scenes","","1332","","","","65","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","69500","0.0-29.0","0","0","AT3xf","Scenes","","1946","","","","95","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","71215","0.0-30.0","0","0","AT3xf","Scenes","","1714","","","","61","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","72947","0.0-31.0","0","0","AT3xf","Scenes","","1732","","","","57","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","74776","0.0-32.0","0","0","AT3xf","Scenes","","1827","","","","55","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","76134","0.0-33.0","0","0","AT3xf","Scenes","","1357","","","","67","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","77698","0.0-34.0","0","0","AT3xf","Scenes","","1563","","","","59","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","79033","0.0-35.0","0","0","AT3xf","Scenes","","1334","","","","61","103","anton-darius-FBJugtbHsWU-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","80530","0.0-36.0","0","0","AT3xf","Scenes","","1496","","","","82","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","81846","0.0-37.0","0","0","AT3xf","Scenes","","1315","","","","68","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
