"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2116","fullscreen","0","154308","0.0-0.0","0","0","AdUnY","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","172548","0.0-1.0-0.0","0","0","AdUnY","Scenes","[{""page_index"":0,""viewing_time"":16267},{""page_index"":1,""viewing_time"":1966}]","18233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","179749","0.0-1.0-1.0","0","0","AdUnY","Scenes","","7197","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","182727","0.0-2.0","0","0","AdUnY","Scenes","","2976","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","186302","0.0-3.0","0","0","AdUnY","Scenes","","3572","","","","100","118","henry-be-NLF6hTe4PAg-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","188686","0.0-4.0","0","0","AdUnY","Scenes","","2383","","","","100","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","190970","0.0-5.0","0","0","AdUnY","Scenes","","2282","","","","100","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","193461","0.0-6.0","0","0","AdUnY","Scenes","","2489","","","","99","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","195930","0.0-7.0","0","0","AdUnY","Scenes","","2467","","","","100","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","198382","0.0-8.0","0","0","AdUnY","Scenes","","2441","","","","100","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","200984","0.0-9.0","0","0","AdUnY","Scenes","","2599","","","","100","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","203566","0.0-10.0","0","0","AdUnY","Scenes","","2581","","","","100","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","206400","0.0-11.0","0","0","AdUnY","Scenes","","2832","","","","100","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","226548","0.0-12.0","0","0","AdUnY","Scenes","","20146","","","","100","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","229447","0.0-13.0","0","0","AdUnY","Scenes","","2897","","","","100","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","233862","0.0-14.0","0","0","AdUnY","Scenes","","4413","","","","100","125","john-lee-oMneOBYhJxY-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
