"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2036","fullscreen","0","794245","0.0-0.0","0","0","Aefo0","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","814982","0.0-1.0-0.0","0","0","Aefo0","Scenes","[{""page_index"":0,""viewing_time"":16749},{""page_index"":1,""viewing_time"":3973}]","20725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","825631","0.0-1.0-1.0","0","0","Aefo0","Scenes","","10630","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","832464","0.0-2.0","0","0","Aefo0","Scenes","","6820","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","842959","0.0-3.0","0","0","Aefo0","Scenes","","10480","","","","95","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","848370","0.0-4.0","0","0","Aefo0","Scenes","","5401","","","","87","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","854279","0.0-5.0","0","0","Aefo0","Scenes","","5903","","","","79","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","860950","0.0-6.0","0","0","Aefo0","Scenes","","6664","","","","100","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","865336","0.0-7.0","0","0","Aefo0","Scenes","","4380","","","","19","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","869899","0.0-8.0","0","0","Aefo0","Scenes","","4559","","","","69","107","benjamin-davies-Zm2n2O7Fph4-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","874581","0.0-9.0","0","0","Aefo0","Scenes","","4676","","","","73","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","878690","0.0-10.0","0","0","Aefo0","Scenes","","4098","","","","95","139","samsommer-vddccTqwal8-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","884590","0.0-11.0","0","0","Aefo0","Scenes","","5892","","","","66","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","889501","0.0-12.0","0","0","Aefo0","Scenes","","4903","","","","65","103","anton-darius-FBJugtbHsWU-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","895357","0.0-13.0","0","0","Aefo0","Scenes","","5847","","","","63","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","900886","0.0-14.0","0","0","Aefo0","Scenes","","5519","","","","87","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","904275","0.0-15.0","0","0","Aefo0","Scenes","","3380","","","","90","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","907310","0.0-16.0","0","0","Aefo0","Scenes","","3028","","","","90","124","johannes-plenio-sPt5RIjKfpk-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","910192","0.0-17.0","0","0","Aefo0","Scenes","","2874","","","","78","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","913378","0.0-18.0","0","0","Aefo0","Scenes","","3181","","","","86","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","916732","0.0-19.0","0","0","Aefo0","Scenes","","3349","","","","87","132","meng-ji-8BH_M-53CyA-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","919551","0.0-20.0","0","0","Aefo0","Scenes","","2815","","","","92","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","925375","0.0-21.0","0","0","Aefo0","Scenes","","5816","","","","75","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
