"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1444","fullscreen","0","17372","0.0-0.0","0","0","BAPFD","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","41429","0.0-1.0-0.0","0","0","BAPFD","People","[{""page_index"":0,""viewing_time"":18521},{""page_index"":1,""viewing_time"":5536}]","24057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","54803","0.0-1.0-1.0","0","0","BAPFD","People","","13364","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","59736","0.0-2.0","0","0","BAPFD","People","","4927","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","65636","0.0-3.0","0","0","BAPFD","People","","5793","","","","","100","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","70582","0.0-4.0","0","0","BAPFD","People","","4933","","","","","94","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","82626","0.0-5.0","0","0","BAPFD","People","","12030","","","","","85","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","93263","0.0-6.0","0","0","BAPFD","People","","10626","","","","","93","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","97637","0.0-7.0","0","0","BAPFD","People","","4367","","","","","73","44","rikonavt-HQjfrvdTfak-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","101689","0.0-8.0","0","0","BAPFD","People","","4050","","","","","73","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","106142","0.0-9.0","0","0","BAPFD","People","","4451","","","","","90","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","110859","0.0-10.0","0","0","BAPFD","People","","4714","","","","","83","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","117529","0.0-11.0","0","0","BAPFD","People","","6653","","","","","98","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","121771","0.0-12.0","0","0","BAPFD","People","","4234","","","","","80","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","126061","0.0-13.0","0","0","BAPFD","People","","4287","","","","","83","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","131997","0.0-14.0","0","0","BAPFD","People","","5933","","","","","70","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","135604","0.0-15.0","0","0","BAPFD","People","","3599","","","","","71","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","139747","0.0-16.0","0","0","BAPFD","People","","4140","","","","","73","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","143002","0.0-17.0","0","0","BAPFD","People","","3246","","","","","76","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","147029","0.0-18.0","0","0","BAPFD","People","","4016","","","","","93","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","150954","0.0-19.0","0","0","BAPFD","People","","3920","","","","","74","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","155099","0.0-20.0","0","0","BAPFD","People","","4115","","","","","87","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","159006","0.0-21.0","0","0","BAPFD","People","","3898","","","","","91","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","165081","0.0-22.0","0","0","BAPFD","People","","6063","","","","","70","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","170618","0.0-23.0","0","0","BAPFD","People","","5526","","","","","50","18","good-faces-xmSWVeGEnJw-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","175524","0.0-24.0","0","0","BAPFD","People","","4901","","","","","69","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","179075","0.0-25.0","0","0","BAPFD","People","","3540","","","","","86","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","182960","0.0-26.0","0","0","BAPFD","People","","3882","","","","","83","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","186711","0.0-27.0","0","0","BAPFD","People","","3747","","","","","97","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","191678","0.0-28.0","0","0","BAPFD","People","","4965","","","","","83","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","195828","0.0-29.0","0","0","BAPFD","People","","4148","","","","","98","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","199983","0.0-30.0","0","0","BAPFD","People","","4150","","","","","98","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","205629","0.0-31.0","0","0","BAPFD","People","","5638","","","","","73","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","209309","0.0-32.0","0","0","BAPFD","People","","3666","","","","","97","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","213020","0.0-33.0","0","0","BAPFD","People","","3709","","","","","99","24","joel-mott-LaK153ghdig-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","216501","0.0-34.0","0","0","BAPFD","People","","3477","","","","","79","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","223011","0.0-35.0","0","0","BAPFD","People","","6506","","","","","64","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","230061","0.0-36.0","0","0","BAPFD","People","","7047","","","","","44","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","232890","0.0-37.0","0","0","BAPFD","People","","2826","","","","","71","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","236046","0.0-38.0","0","0","BAPFD","People","","3155","","","","","78","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","240993","0.0-39.0","0","0","BAPFD","People","","4944","","","","","66","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","244409","0.0-40.0","0","0","BAPFD","People","","3404","","","","","71","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","247481","0.0-41.0","0","0","BAPFD","People","","3063","","","","","77","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","251221","0.0-42.0","0","0","BAPFD","People","","3736","","","","","94","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","258128","0.0-43.0","0","0","BAPFD","People","","6903","","","","","69","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","45","261448","0.0-44.0","0","0","BAPFD","People","","3315","","","","","83","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","46","267189","0.0-45.0","0","0","BAPFD","People","","5739","","","","","66","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","47","270245","0.0-46.0","0","0","BAPFD","People","","3051","","","","","68","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","48","273674","0.0-47.0","0","0","BAPFD","People","","3426","","","","","79","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","49","277430","0.0-48.0","0","0","BAPFD","People","","3753","","","","","79","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","50","283112","0.0-49.0","0","0","BAPFD","People","","5677","","","","","70","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","51","287987","0.0-50.0","0","0","BAPFD","People","","4875","","","","","76","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","52","290997","0.0-51.0","0","0","BAPFD","People","","3005","","","","","97","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","53","294608","0.0-52.0","0","0","BAPFD","People","","3607","","","","","96","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_instructions","","instructions","54","401994","0.0-53.0-0.0","0","0","BAPFD","People","[{""page_index"":0,""viewing_time"":26240},{""page_index"":1,""viewing_time"":36875},{""page_index"":2,""viewing_time"":9914},{""page_index"":3,""viewing_time"":29881},{""page_index"":4,""viewing_time"":4464}]","107375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","55","453533","0.0-53.0-1.0","0","0","BAPFD","People","","51521","{""Q0"":""True"",""Q1"":""False"",""Q2"":""Consider carefully and take your time (up to 10 seconds)"",""Q3"":""True"",""Q4"":""D""}","deliberation_comprehension_check","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","56","458920","0.0-53.0-2.0-0.0","0","1","BAPFD","People","","5384","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
