"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2059","fullscreen","0","54227","0.0-0.0","0","0","CdjSZ","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","62037","0.0-1.0-0.0","0","0","CdjSZ","Scenes","[{""page_index"":0,""viewing_time"":5627},{""page_index"":1,""viewing_time"":2182}]","7809","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","66502","0.0-1.0-1.0","0","0","CdjSZ","Scenes","","4463","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","69332","0.0-2.0","0","0","CdjSZ","Scenes","","2828","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","74909","0.0-3.0","0","0","CdjSZ","Scenes","","5575","","","","75","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","81031","0.0-4.0","0","0","CdjSZ","Scenes","","6120","","","","98","125","john-lee-oMneOBYhJxY-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","84363","0.0-5.0","0","0","CdjSZ","Scenes","","3331","","","","95","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","87786","0.0-6.0","0","0","CdjSZ","Scenes","","3422","","","","100","103","anton-darius-FBJugtbHsWU-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","91833","0.0-7.0","0","0","CdjSZ","Scenes","","4045","","","","57","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","94208","0.0-8.0","0","0","CdjSZ","Scenes","","2374","","","","44","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","96597","0.0-9.0","0","0","CdjSZ","Scenes","","2388","","","","69","139","samsommer-vddccTqwal8-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","99376","0.0-10.0","0","0","CdjSZ","Scenes","","2777","","","","86","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","103131","0.0-11.0","0","0","CdjSZ","Scenes","","3753","","","","64","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","107064","0.0-12.0","0","0","CdjSZ","Scenes","","3932","","","","40","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","111118","0.0-13.0","0","0","CdjSZ","Scenes","","4054","","","","77","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","113998","0.0-14.0","0","0","CdjSZ","Scenes","","2879","","","","38","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","116259","0.0-15.0","0","0","CdjSZ","Scenes","","2260","","","","100","113","damian-denis-D8R_txR_0PE-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","120362","0.0-16.0","0","0","CdjSZ","Scenes","","4101","","","","68","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","125383","0.0-17.0","0","0","CdjSZ","Scenes","","5020","","","","89","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
