"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1406","fullscreen","0","15748","0.0-0.0","0","0","CvY1u","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","30405","0.0-1.0-0.0","0","0","CvY1u","People","[{""page_index"":0,""viewing_time"":11849},{""page_index"":1,""viewing_time"":2805}]","14655","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","39517","0.0-1.0-1.0","0","0","CvY1u","People","","9108","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","42353","0.0-2.0","0","0","CvY1u","People","","2833","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","45991","0.0-3.0","0","0","CvY1u","People","","3635","","","","","83","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","49613","0.0-4.0","0","0","CvY1u","People","","3620","","","","","97","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","53260","0.0-5.0","0","0","CvY1u","People","","3646","","","","","68","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","59165","0.0-6.0","0","0","CvY1u","People","","5902","","","","","21","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","68477","0.0-7.0","0","0","CvY1u","People","","9310","","","","","87","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","83299","0.0-8.0","0","0","CvY1u","People","","14820","","","","","43","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","87307","0.0-9.0","0","0","CvY1u","People","","4006","","","","","66","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","92667","0.0-10.0","0","0","CvY1u","People","","5358","","","","","34","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
